cohort,cell,r2_step9,r2_chord,r2_both_quadratic
development_main,front_state,0.9999996008517026,1.3919854796595743e-05,0.9999996039015657
development_main,front_action,0.6663382810412013,0.625467424376108,0.8058144543623607
development_main,back_state,0.9999966952179211,0.0005540839976634349,0.9999967127249565
development_main,back_action,0.8654994131874328,0.6890675844387693,0.9314963169906719
external_8b,front_state,0.9999996202981802,6.714346667546778e-08,0.9999996208704252
external_8b,front_action,0.6634585577346124,0.5956043032834477,0.7988478090017483
external_8b,back_state,0.999996553304828,0.0005423341733299392,0.9999965541005553
external_8b,back_action,0.8585673311777317,0.6780665592115893,0.9288807052860073
legacy_main16x32,front_state,1.0,0.0,1.0
legacy_main16x32,front_action,0.6624098652982828,0.8014936583161272,0.8723228107046789
legacy_main16x32,back_state,1.0,2.220446049250313e-16,1.0
legacy_main16x32,back_action,0.8377051759467675,0.7851251975266367,0.9401904977993618
