family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L12,high,0.5,global,False,268,1569,0.5503080082135524,0.10962062460700063,0.14589003810560697,162,1548,0.09473684210526316,0.6044776119402985,0.1019970512650203,1.4303358410483744
circuit,dd_deficit,L12,high,0.6,global,False,245,992,0.5030800821355236,0.06930762244113743,0.19805982215036377,146,957,0.13236627379873073,0.5959183673469388,0.1285800990522512,1.5403614059270403
circuit,dd_deficit,L12,high,0.7,global,False,217,623,0.4455852156057495,0.04352686369035143,0.25833333333333336,130,570,0.18571428571428572,0.5990783410138248,0.15267961654232107,1.6919962152362773
circuit,dd_deficit,L12,high,0.75,global,False,193,457,0.39630390143737165,0.03192901558024174,0.2969230769230769,111,382,0.22515212981744423,0.5751295336787565,0.18179445433492902,1.6332900693221404
circuit,dd_deficit,L12,high,0.8,global,False,154,288,0.3162217659137577,0.02012156780549151,0.34841628959276016,75,219,0.25510204081632654,0.487012987012987,0.22685956390613185,1.5358236769639788
circuit,dd_deficit,L12,high,0.85,global,False,102,173,0.20944558521560575,0.012086913994270943,0.3709090909090909,44,120,0.2682926829268293,0.43137254901960786,0.25996384668108635,1.4267718209451945
circuit,dd_deficit,L12,high,0.9,global,False,54,49,0.11088295687885011,0.003423461189128764,0.5242718446601942,20,31,0.39215686274509803,0.37037037037037035,0.3349731818556068,1.5651158751155974
circuit,dd_deficit,L12,high,0.925,global,False,26,14,0.053388090349075976,0.000978131768322504,0.65,9,9,0.5,0.34615384615384615,0.4609644927491613,1.4100869160733913
circuit,dd_deficit,L12,high,0.95,global,False,14,3,0.028747433264887063,0.00020959966464053657,0.8235294117647058,6,1,0.8571428571428571,0.42857142857142855,0.504571303367399,1.6321368382796444
circuit,dd_deficit,L12,high,0.96,global,False,11,2,0.022587268993839837,0.00013973310976035772,0.8461538461538461,5,1,0.8333333333333334,0.45454545454545453,0.46491188767750524,1.8200305661807392
circuit,dd_deficit,L12,high,0.975,global,False,8,0,0.01642710472279261,0.0,1.0,5,0,1.0,0.625,0.42346344942935854,2.3614788982320856
circuit,dd_deficit,L12,high,0.98,global,False,7,0,0.014373716632443531,0.0,1.0,5,0,1.0,0.7142857142857143,0.43697410093513994,2.2884651466985453
circuit,dd_deficit,L12,high,0.99,global,False,6,0,0.012320328542094456,0.0,1.0,4,0,1.0,0.6666666666666666,0.3659789847025577,2.732397328258426
circuit,dd_deficit,L12,high,0.995,global,False,4,0,0.008213552361396304,0.0,1.0,4,0,1.0,1.0,0.2222222222222222,4.5
circuit,dd_deficit,L12,high,0.5,per_task,False,136,217,0.2792607802874743,0.015161042408998812,0.38526912181303113,20,211,0.08658008658008658,0.14705882352941177,0.3463394209566849,1.112403320271229
circuit,dd_deficit,L12,high,0.6,per_task,False,121,131,0.24845995893223818,0.00915251868930343,0.4801587301587302,18,125,0.1258741258741259,0.1487603305785124,0.42479977827841453,1.1303177513525755
circuit,dd_deficit,L12,high,0.7,per_task,False,116,78,0.23819301848049282,0.005449591280653951,0.5979381443298969,17,72,0.19101123595505617,0.14655172413793102,0.5194147245986774,1.1511767302936784
circuit,dd_deficit,L12,high,0.75,per_task,False,109,55,0.22381930184804927,0.003842660518409837,0.6646341463414634,17,51,0.25,0.1559633027522936,0.5637193135219944,1.1790160996772938
circuit,dd_deficit,L12,high,0.8,per_task,False,99,36,0.2032854209445585,0.0025151959756864388,0.7333333333333333,17,33,0.34,0.1717171717171717,0.6082030920067976,1.2057375948446136
circuit,dd_deficit,L12,high,0.85,per_task,False,92,29,0.188911704312115,0.002026130091525187,0.7603305785123967,17,26,0.3953488372093023,0.18478260869565216,0.6193880555823563,1.2275512445869246
circuit,dd_deficit,L12,high,0.9,per_task,False,75,19,0.1540041067761807,0.0013274645427233983,0.7978723404255319,17,16,0.5151515151515151,0.22666666666666666,0.6286080814679196,1.269268346920307
circuit,dd_deficit,L12,high,0.925,per_task,False,64,13,0.13141683778234087,0.0009082652134423251,0.8311688311688312,17,11,0.6071428571428571,0.265625,0.6312940643745379,1.3166111929031388
circuit,dd_deficit,L12,high,0.95,per_task,False,54,6,0.11088295687885011,0.00041919932928107315,0.9,17,5,0.7727272727272727,0.3148148148148148,0.6327348802977464,1.422396690975036
circuit,dd_deficit,L12,high,0.96,per_task,False,51,3,0.10472279260780287,0.00020959966464053657,0.9444444444444444,17,2,0.8947368421052632,0.3333333333333333,0.6517161740409741,1.449165268660443
circuit,dd_deficit,L12,high,0.975,per_task,False,31,1,0.06365503080082136,6.986655488017886e-05,0.96875,6,0,1.0,0.1935483870967742,0.7528233130136512,1.2868225296078646
circuit,dd_deficit,L12,high,0.98,per_task,False,30,1,0.061601642710472276,6.986655488017886e-05,0.967741935483871,6,0,1.0,0.2,0.7465870291012195,1.2962212009615133
circuit,dd_deficit,L12,high,0.99,per_task,False,18,1,0.03696098562628337,6.986655488017886e-05,0.9473684210526315,5,0,1.0,0.2777777777777778,0.7196427685539554,1.3164426329972945
circuit,dd_deficit,L12,high,0.995,per_task,False,10,1,0.02053388090349076,6.986655488017886e-05,0.9090909090909091,5,0,1.0,0.5,0.5794396443776609,1.5689138945045873
circuit,dd_deficit,L12,low,0.5,global,False,155,2363,0.3182751540041068,0.16509466918186264,0.06155679110405084,60,2351,0.02488593944421402,0.3870967741935484,0.06342647301451497,0.9705220577212884
