family,quantity,cohort,layer,survival_auc,survival_auc_early,abs_auc_gap
circuit,vol,development_main,L2,0.49896498536310224,0.5013753888389318,0.0010350146368977575
circuit,vol,development_main,L3,0.4611563771768732,0.45978603396145423,0.03884362282312681
circuit,vol,development_main,L4,0.4998156642597067,0.49846426228471613,0.00018433574029330657
circuit,vol,development_main,L5,0.4861373899168486,0.49581197999854487,0.013862610083151428
circuit,vol,development_main,L12,0.5316805551025006,0.5315606392148255,0.03168055510250056
circuit,vol,development_main,L13,0.4970731828597744,0.49453166150579186,0.0029268171402255794
circuit,vol,development_main,L14,0.5073446883632192,0.5119133216233257,0.007344688363219221
circuit,vol,development_main,L15,0.49158311955494427,0.4855797882592277,0.00841688044505573
circuit,vol,external_8b,L2,0.5205250373441094,0.5225082412530616,0.020525037344109376
circuit,vol,external_8b,L3,0.45212700363255975,0.45054376809833363,0.047872996367440246
circuit,vol,external_8b,L4,0.5199414936579675,0.5179869971158483,0.01994149365796749
circuit,vol,external_8b,L5,0.5047302845832633,0.5128759096900047,0.0047302845832633
circuit,vol,external_8b,L12,0.5387494420837204,0.5378533719620503,0.03874944208372044
circuit,vol,external_8b,L13,0.49328443423983764,0.49118362651409225,0.006715565760162356
circuit,vol,external_8b,L14,0.509769454480748,0.5141187488875907,0.009769454480747952
circuit,vol,external_8b,L15,0.4745145976921217,0.46769717520951537,0.025485402307878324
circuit,fiedler,development_main,L2,0.49818437538071975,0.5006950207742183,0.0018156246192802539
circuit,fiedler,development_main,L3,0.46163828762511605,0.46012665372445327,0.03836171237488395
circuit,fiedler,development_main,L4,0.4995488089428802,0.49813720083798096,0.0004511910571198263
circuit,fiedler,development_main,L5,0.4874750409795514,0.4970859347972667,0.01252495902044859
circuit,fiedler,development_main,L12,0.5388504299609325,0.5392746523730803,0.038850429960932464
circuit,fiedler,development_main,L13,0.4998497387358451,0.49680960050390727,0.00015026126415490504
circuit,fiedler,development_main,L14,0.5164473055195881,0.5210632800465158,0.016447305519588062
circuit,fiedler,development_main,L15,0.4954416806516824,0.4886367325795396,0.004558319348317574
circuit,fiedler,external_8b,L2,0.5198912002017744,0.5219651341812902,0.019891200201774373
circuit,fiedler,external_8b,L3,0.45249135792753137,0.4507685444446399,0.04750864207246863
circuit,fiedler,external_8b,L4,0.5197871102625885,0.517786217126357,0.019787110262588503
circuit,fiedler,external_8b,L5,0.5059542632178551,0.5139173543072874,0.0059542632178550825
circuit,fiedler,external_8b,L12,0.548138238708678,0.5477889289741709,0.04813823870867795
circuit,fiedler,external_8b,L13,0.4981073119863621,0.49595907906871955,0.0018926880136378998
circuit,fiedler,external_8b,L14,0.5191454900795072,0.523809084165726,0.019145490079507166
circuit,fiedler,external_8b,L15,0.48204913424404655,0.47468878760189503,0.01795086575595345
