key,quantity,frame,mode,level,quantile,representation,direction,development_alarms,external_alarms
action_consensus|global|0.5,action_consensus,token_graph,global,0.5,0.5,L15,high,1822,1818
action_consensus|global|0.6,action_consensus,token_graph,global,0.6,0.6,L15,high,1269,1258
action_consensus|global|0.7,action_consensus,token_graph,global,0.7,0.7,L15,high,913,941
action_consensus|global|0.75,action_consensus,token_graph,global,0.75,0.75,L15,high,774,789
action_consensus|global|0.8,action_consensus,token_graph,global,0.8,0.8,L15,high,626,638
action_consensus|global|0.85,action_consensus,token_graph,global,0.85,0.85,L15,high,460,449
action_consensus|global|0.9,action_consensus,token_graph,global,0.9,0.9,L15,high,234,189
action_consensus|global|0.925,action_consensus,token_graph,global,0.925,0.925,L15,high,109,100
action_consensus|global|0.95,action_consensus,token_graph,global,0.95,0.95,L15,high,46,40
action_consensus|global|0.96,action_consensus,token_graph,global,0.96,0.96,L15,high,31,31
action_consensus|global|0.975,action_consensus,token_graph,global,0.975,0.975,L15,high,21,20
action_consensus|global|0.98,action_consensus,token_graph,global,0.98,0.98,L15,high,17,18
action_consensus|global|0.99,action_consensus,token_graph,global,0.99,0.99,L15,high,11,13
action_consensus|global|0.995,action_consensus,token_graph,global,0.995,0.995,L15,high,9,11
action_consensus|global|selected,action_consensus,token_graph,global,selected,0.975,L15,high,21,20
action_consensus|per_task|0.5,action_consensus,token_graph,per_task,0.5,0.5,L2,low,787,699
action_consensus|per_task|0.6,action_consensus,token_graph,per_task,0.6,0.6,L2,low,608,567
action_consensus|per_task|0.7,action_consensus,token_graph,per_task,0.7,0.7,L2,low,482,476
action_consensus|per_task|0.75,action_consensus,token_graph,per_task,0.75,0.75,L2,low,421,421
action_consensus|per_task|0.8,action_consensus,token_graph,per_task,0.8,0.8,L2,low,353,365
action_consensus|per_task|0.85,action_consensus,token_graph,per_task,0.85,0.85,L2,low,277,299
action_consensus|per_task|0.9,action_consensus,token_graph,per_task,0.9,0.9,L2,low,217,213
action_consensus|per_task|0.925,action_consensus,token_graph,per_task,0.925,0.925,L2,low,174,167
action_consensus|per_task|0.95,action_consensus,token_graph,per_task,0.95,0.95,L2,low,145,135
action_consensus|per_task|0.96,action_consensus,token_graph,per_task,0.96,0.96,L2,low,121,113
action_consensus|per_task|0.975,action_consensus,token_graph,per_task,0.975,0.975,L2,low,87,75
action_consensus|per_task|0.98,action_consensus,token_graph,per_task,0.98,0.98,L2,low,75,60
action_consensus|per_task|0.99,action_consensus,token_graph,per_task,0.99,0.99,L2,low,35,22
action_consensus|per_task|0.995,action_consensus,token_graph,per_task,0.995,0.995,L2,low,17,11
action_consensus|per_task|selected,action_consensus,token_graph,per_task,selected,0.95,L2,low,145,135
conditional_effective_rank|global|0.5,conditional_effective_rank,token_graph,global,0.5,0.5,L3,high,2837,3702
conditional_effective_rank|global|0.6,conditional_effective_rank,token_graph,global,0.6,0.6,L3,high,1886,2721
conditional_effective_rank|global|0.7,conditional_effective_rank,token_graph,global,0.7,0.7,L3,high,1220,2030
conditional_effective_rank|global|0.75,conditional_effective_rank,token_graph,global,0.75,0.75,L3,high,911,1642
conditional_effective_rank|global|0.8,conditional_effective_rank,token_graph,global,0.8,0.8,L3,high,574,1228
conditional_effective_rank|global|0.85,conditional_effective_rank,token_graph,global,0.85,0.85,L3,high,268,716
conditional_effective_rank|global|0.9,conditional_effective_rank,token_graph,global,0.9,0.9,L3,high,114,359
conditional_effective_rank|global|0.925,conditional_effective_rank,token_graph,global,0.925,0.925,L3,high,62,246
conditional_effective_rank|global|0.95,conditional_effective_rank,token_graph,global,0.95,0.95,L3,high,31,143
conditional_effective_rank|global|0.96,conditional_effective_rank,token_graph,global,0.96,0.96,L3,high,23,104
conditional_effective_rank|global|0.975,conditional_effective_rank,token_graph,global,0.975,0.975,L3,high,9,45
conditional_effective_rank|global|0.98,conditional_effective_rank,token_graph,global,0.98,0.98,L3,high,7,23
conditional_effective_rank|global|0.99,conditional_effective_rank,token_graph,global,0.99,0.99,L3,high,1,7
conditional_effective_rank|global|0.995,conditional_effective_rank,token_graph,global,0.995,0.995,L3,high,0,4
conditional_effective_rank|global|selected,conditional_effective_rank,token_graph,global,selected,0.925,L3,high,62,246
conditional_effective_rank|per_task|0.5,conditional_effective_rank,token_graph,per_task,0.5,0.5,L13,low,391,369
conditional_effective_rank|per_task|0.6,conditional_effective_rank,token_graph,per_task,0.6,0.6,L13,low,306,273
conditional_effective_rank|per_task|0.7,conditional_effective_rank,token_graph,per_task,0.7,0.7,L13,low,252,220
conditional_effective_rank|per_task|0.75,conditional_effective_rank,token_graph,per_task,0.75,0.75,L13,low,225,194
conditional_effective_rank|per_task|0.8,conditional_effective_rank,token_graph,per_task,0.8,0.8,L13,low,207,169
conditional_effective_rank|per_task|0.85,conditional_effective_rank,token_graph,per_task,0.85,0.85,L13,low,176,146
conditional_effective_rank|per_task|0.9,conditional_effective_rank,token_graph,per_task,0.9,0.9,L13,low,138,113
conditional_effective_rank|per_task|0.925,conditional_effective_rank,token_graph,per_task,0.925,0.925,L13,low,113,100
conditional_effective_rank|per_task|0.95,conditional_effective_rank,token_graph,per_task,0.95,0.95,L13,low,85,77
conditional_effective_rank|per_task|0.96,conditional_effective_rank,token_graph,per_task,0.96,0.96,L13,low,73,71
conditional_effective_rank|per_task|0.975,conditional_effective_rank,token_graph,per_task,0.975,0.975,L13,low,50,38
conditional_effective_rank|per_task|0.98,conditional_effective_rank,token_graph,per_task,0.98,0.98,L13,low,42,32
conditional_effective_rank|per_task|0.99,conditional_effective_rank,token_graph,per_task,0.99,0.99,L13,low,23,22
conditional_effective_rank|per_task|0.995,conditional_effective_rank,token_graph,per_task,0.995,0.995,L13,low,17,14
conditional_effective_rank|per_task|selected,conditional_effective_rank,token_graph,per_task,selected,0.9,L13,low,138,113
conditional_energy|global|0.5,conditional_energy,token_graph,global,0.5,0.5,L14,low,2683,3537
conditional_energy|global|0.6,conditional_energy,token_graph,global,0.6,0.6,L14,low,1696,2141
conditional_energy|global|0.7,conditional_energy,token_graph,global,0.7,0.7,L14,low,1060,1307
conditional_energy|global|0.75,conditional_energy,token_graph,global,0.75,0.75,L14,low,793,980
conditional_energy|global|0.8,conditional_energy,token_graph,global,0.8,0.8,L14,low,571,699
conditional_energy|global|0.85,conditional_energy,token_graph,global,0.85,0.85,L14,low,336,427
conditional_energy|global|0.9,conditional_energy,token_graph,global,0.9,0.9,L14,low,148,195
conditional_energy|global|0.925,conditional_energy,token_graph,global,0.925,0.925,L14,low,91,118
conditional_energy|global|0.95,conditional_energy,token_graph,global,0.95,0.95,L14,low,52,70
conditional_energy|global|0.96,conditional_energy,token_graph,global,0.96,0.96,L14,low,43,58
conditional_energy|global|0.975,conditional_energy,token_graph,global,0.975,0.975,L14,low,32,41
conditional_energy|global|0.98,conditional_energy,token_graph,global,0.98,0.98,L14,low,29,37
conditional_energy|global|0.99,conditional_energy,token_graph,global,0.99,0.99,L14,low,20,27
conditional_energy|global|0.995,conditional_energy,token_graph,global,0.995,0.995,L14,low,17,17
conditional_energy|global|selected,conditional_energy,token_graph,global,selected,0.975,L14,low,32,41
conditional_energy|per_task|0.5,conditional_energy,token_graph,per_task,0.5,0.5,L4,low,1118,1142
