cohort,suite,chunk,phase,cap,n_risk,n_safe,safe_alive,risk_alive,survival_prior,frontier_routing,frontier_null_control,frontier_length_leak,union_routing,union_null_control,survival_baseline_recall,fpr_if_all_survivors_alarm
development_main,libero_goal,4,0.166667,30,102,3898,3898,102,0.0255,0.0392157,0.0294118,0,0.0392157,0.0294118,0.005,1
development_main,libero_goal,5,0.2,30,102,3898,3898,102,0.0255,0.0588235,0.0294118,0,0.0392157,0.0294118,0.005,1
development_main,libero_goal,6,0.233333,30,102,3898,3898,102,0.0255,0.0686275,0.0294118,0,0.0392157,0.0294118,0.005,1
development_main,libero_goal,7,0.266667,30,102,3898,3777,102,0.0262954,0.0686275,0.0294118,0,0.0392157,0.0294118,0.00516018,0.968958
development_main,libero_goal,8,0.3,30,102,3898,3093,102,0.0319249,0.147059,0.0294118,0,0.0392157,0.0294118,0.00630133,0.793484
development_main,libero_goal,9,0.333333,30,102,3898,1925,102,0.0503207,0.147059,0.0490196,1,0.0392157,0.0294118,0.0101247,0.493843
development_main,libero_goal,10,0.366667,30,102,3898,1564,102,0.0612245,0.147059,0.0588235,1,0.0392157,0.0490196,0.0124616,0.401231
development_main,libero_goal,11,0.4,30,102,3898,1546,102,0.0618932,0.401961,0.0686275,1,0.0392157,0.0588235,0.0126067,0.396614
development_main,libero_goal,12,0.433333,30,102,3898,1271,102,0.0742899,0.401961,0.0784314,1,0.0392157,0.0588235,0.0153344,0.326065
development_main,libero_goal,13,0.466667,30,102,3898,708,102,0.125926,0.401961,0.0784314,1,0.0392157,0.0588235,0.0275282,0.181632
development_main,libero_goal,14,0.5,30,102,3898,483,102,0.174359,0.401961,0.0980392,1,0.0392157,0.0588235,0.040352,0.12391
development_main,libero_goal,15,0.533333,30,102,3898,401,102,0.202783,0.401961,0.117647,1,0.0392157,0.0588235,0.0486035,0.102873
development_main,libero_goal,16,0.566667,30,102,3898,382,102,0.210744,0.401961,0.117647,1,0.0392157,0.0588235,0.0510209,0.097999
development_main,libero_goal,17,0.6,30,102,3898,357,102,0.222222,0.401961,0.117647,1,0.0392157,0.0588235,0.0545938,0.0915854
development_main,libero_goal,18,0.633333,30,102,3898,199,102,0.33887,0.5,0.166667,1,0.0392157,0.0588235,0.0979397,0.0510518
development_main,libero_goal,19,0.666667,30,102,3898,70,102,0.593023,0.5,0.372549,1,0.0392157,0.0588235,0.278429,0.0179579
development_main,libero_goal,20,0.7,30,102,3898,27,102,0.790698,0.5,0.392157,1,0.0392157,0.0588235,0.721852,0.00692663
development_main,libero_goal,21,0.733333,30,102,3898,16,102,0.864407,0.901961,1,1,0.0392157,0.0588235,1,0.00410467
development_main,libero_goal,22,0.766667,30,102,3898,10,102,0.910714,0.911765,1,1,0.0392157,0.0588235,1,0.00256542
development_main,libero_goal,23,0.8,30,102,3898,5,102,0.953271,0.911765,1,1,0.0392157,0.0588235,1,0.00128271
development_main,libero_goal,24,0.833333,30,102,3898,5,102,0.953271,0.990196,1,1,0.0392157,0.0588235,1,0.00128271
development_main,libero_goal,25,0.866667,30,102,3898,3,102,0.971429,0.990196,1,1,0.0392157,0.0588235,1,0.000769625
development_main,libero_goal,26,0.9,30,102,3898,1,102,0.990291,0.990196,1,1,0.0392157,0.0588235,1,0.000256542
development_main,libero_goal,27,0.933333,30,102,3898,0,102,1,0.990196,1,1,0.0392157,0.0588235,0,0
development_main,libero_goal,28,0.966667,30,102,3898,0,102,1,0.990196,1,1,0.0392157,0.0588235,0,0
development_main,libero_goal,29,1,30,102,3898,0,102,1,0.990196,1,1,0.0392157,0.0588235,0,0
external_8b,libero_goal,4,0.166667,30,106,3894,3894,106,0.0265,0.0283019,0.0188679,0,0.0283019,0.0188679,0.005,1
external_8b,libero_goal,5,0.2,30,106,3894,3894,106,0.0265,0.0471698,0.0283019,0,0.0377358,0.0283019,0.005,1
external_8b,libero_goal,6,0.233333,30,106,3894,3894,106,0.0265,0.0849057,0.0283019,0,0.0377358,0.0283019,0.005,1
external_8b,libero_goal,7,0.266667,30,106,3894,3771,106,0.0273407,0.0849057,0.0283019,0,0.0377358,0.0283019,0.00516309,0.968413
external_8b,libero_goal,8,0.3,30,106,3894,3073,106,0.0333438,0.141509,0.0283019,0,0.0377358,0.0283019,0.00633583,0.789163
external_8b,libero_goal,9,0.333333,30,106,3894,1921,106,0.052294,0.141509,0.0377358,1,0.0377358,0.0283019,0.0101353,0.493323
external_8b,libero_goal,10,0.366667,30,106,3894,1566,106,0.0633971,0.141509,0.0566038,1,0.0377358,0.0377358,0.012433,0.402157
external_8b,libero_goal,11,0.4,30,106,3894,1553,106,0.0638939,0.198113,0.0660377,1,0.0377358,0.0471698,0.012537,0.398819
external_8b,libero_goal,12,0.433333,30,106,3894,1277,106,0.076645,0.320755,0.0660377,1,0.0377358,0.0471698,0.0152467,0.32794
external_8b,libero_goal,13,0.466667,30,106,3894,729,106,0.126946,0.320755,0.0660377,1,0.0377358,0.0471698,0.0267078,0.187211
external_8b,libero_goal,14,0.5,30,106,3894,495,106,0.176373,0.320755,0.0943396,1,0.0377358,0.0471698,0.0393333,0.127119
external_8b,libero_goal,15,0.533333,30,106,3894,413,106,0.204239,0.40566,0.103774,1,0.0377358,0.0471698,0.0471429,0.106061
external_8b,libero_goal,16,0.566667,30,106,3894,394,106,0.212,0.40566,0.103774,1,0.0377358,0.0471698,0.0494162,0.101181
external_8b,libero_goal,17,0.6,30,106,3894,369,106,0.223158,0.40566,0.103774,1,0.0377358,0.0471698,0.0527642,0.0947612
external_8b,libero_goal,18,0.633333,30,106,3894,221,106,0.324159,0.462264,0.160377,1,0.0377358,0.0471698,0.0880995,0.056754
external_8b,libero_goal,19,0.666667,30,106,3894,83,106,0.560847,0.5,0.283019,1,0.0377358,0.0471698,0.234578,0.0213148
external_8b,libero_goal,20,0.7,30,106,3894,33,106,0.76259,0.830189,0.377358,1,0.0377358,0.0471698,0.59,0.00847458
external_8b,libero_goal,21,0.733333,30,106,3894,18,106,0.854839,0.943396,1,1,0.0377358,0.0471698,1,0.0046225
external_8b,libero_goal,22,0.766667,30,106,3894,9,106,0.921739,0.943396,1,1,0.0377358,0.0471698,1,0.00231125
external_8b,libero_goal,23,0.8,30,106,3894,6,106,0.946429,0.943396,1,1,0.0377358,0.0471698,1,0.00154083
