cohort,arm,tp,n_risk,fp,recall,suites
development_main,best_single,224.0,487.0,52.0,0.459958932238193,4.0
development_main,length_leak,487.0,487.0,2.0,1.0,4.0
development_main,length_only_all_survivors,0.0,487.0,0.0,0.0,4.0
development_main,null_control,71.0,487.0,56.0,0.1457905544147844,4.0
development_main,null_mv:crossfit,42.0,487.0,60.0,0.08624229979466119,4.0
development_main,stacked_mv:crossfit,231.0,487.0,57.0,0.47433264887063653,4.0
external_8b,best_single,240.0,564.0,63.0,0.425531914893617,4.0
external_8b,length_leak,564.0,564.0,4.0,1.0,4.0
external_8b,length_only_all_survivors,0.0,564.0,0.0,0.0,4.0
external_8b,null_control,80.0,564.0,62.0,0.14184397163120568,4.0
external_8b,null_mv:crossfit,59.0,564.0,52.0,0.10460992907801418,4.0
external_8b,null_mv:dev_fitted_transfer,69.0,564.0,61.0,0.12234042553191489,4.0
external_8b,stacked_mv:crossfit,256.0,564.0,46.0,0.45390070921985815,4.0
external_8b,stacked_mv:dev_fitted_transfer,263.0,564.0,45.0,0.46631205673758863,4.0
