cohort_d,representation_d,suite,cap_d,chunk,phase_d,quantity,layer,auc_d,se_d,ci_lo_d,ci_hi_d,effect_d,auc_equal_d,se_equal_d,ci_equal_lo_d,ci_equal_hi_d,n_tasks_d,pairs_d,n_alive_d,n_alive_risk_d,prior_d,in_window_65_d,in_window_cross_d,abs_effect_d,cohort_e,representation_e,cap_e,phase_e,auc_e,se_e,ci_lo_e,ci_hi_e,effect_e,auc_equal_e,se_equal_e,ci_equal_lo_e,ci_equal_hi_e,n_tasks_e,pairs_e,n_alive_e,n_alive_risk_e,prior_e,in_window_65_e,in_window_cross_e,abs_effect_e,same,min_abs
development_main,raw,libero_spatial,22,12,0.590909,expert_load_effective_rank,L5,0.0787938,0.0138982,0.0555074,0.110704,-0.421206,0.14942,0.0285128,0.101664,0.214257,4,11308,760,126,0.165789,True,True,0.421206,external_8b,raw,22,0.590909,0.0889257,0.0153833,0.0630341,0.124044,-0.411074,0.142972,0.0250516,0.100513,0.199391,4,12994,764,140,0.183246,True,True,0.411074,True,0.411074
development_main,raw,libero_object,28,9,0.357143,mobility_d0,L15,0.889862,0.0239048,0.83359,0.928733,0.389862,0.920097,0.0152721,0.884579,0.945361,6,13356,4000,37,0.00925,True,True,0.389862,external_8b,raw,28,0.357143,0.907886,0.0098638,0.886645,0.925481,0.407886,0.927912,0.00776426,0.911133,0.941725,7,16903,3600,44,0.0122222,True,True,0.407886,True,0.389862
development_main,raw,libero_object,28,8,0.321429,flow_path,L12,0.886718,0.0296705,0.814378,0.933178,0.386718,0.916241,0.0191621,0.870225,0.946935,6,13356,4000,37,0.00925,True,True,0.386718,external_8b,raw,28,0.321429,0.910548,0.0181925,0.867907,0.94037,0.410548,0.905526,0.0304646,0.826673,0.950647,7,16903,3600,44,0.0122222,True,True,0.410548,True,0.386718
development_main,raw,libero_object,28,8,0.321429,hb_entropy_action,L12,0.113282,0.0282114,0.0686188,0.181357,-0.386718,0.0884999,0.0199447,0.0564293,0.136167,6,13356,4000,37,0.00925,True,True,0.386718,external_8b,raw,28,0.321429,0.0983849,0.0133513,0.0751392,0.127828,-0.401615,0.0894875,0.0173376,0.0608273,0.129785,7,16903,3600,44,0.0122222,True,True,0.401615,True,0.386718
development_main,raw,libero_object,28,8,0.321429,token_entropy_d0,L12,0.113432,0.0279492,0.0690826,0.180726,-0.386568,0.0889669,0.0196387,0.0572588,0.135706,6,13356,4000,37,0.00925,True,True,0.386568,external_8b,raw,28,0.321429,0.111607,0.0155476,0.084574,0.145905,-0.388393,0.103269,0.0244415,0.0642409,0.161906,7,16903,3600,44,0.0122222,True,True,0.388393,True,0.386568
development_main,raw,libero_object,28,8,0.321429,selected_mass,L15,0.886418,0.0278606,0.819402,0.93067,0.386418,0.914653,0.0176684,0.873051,0.943503,6,13356,4000,37,0.00925,True,True,0.386418,external_8b,raw,28,0.321429,0.903153,0.0150206,0.869459,0.928862,0.403153,0.916326,0.0165487,0.877656,0.94356,7,16903,3600,44,0.0122222,True,True,0.403153,True,0.386418
development_main,raw,libero_spatial,22,12,0.590909,token_entropy_d0,L5,0.0960824,0.0184873,0.0654526,0.138915,-0.403918,0.190746,0.0298098,0.138994,0.256037,4,11308,760,126,0.165789,True,True,0.403918,external_8b,raw,22,0.590909,0.115553,0.0189616,0.0832591,0.158212,-0.384447,0.254237,0.0291345,0.201441,0.315405,4,12994,764,140,0.183246,True,True,0.384447,True,0.384447
development_main,raw,libero_object,28,8,0.321429,flow_path,L14,0.883648,0.0289284,0.813963,0.929491,0.383648,0.915157,0.0177966,0.873145,0.944146,6,13356,4000,37,0.00925,True,True,0.383648,external_8b,raw,28,0.321429,0.919127,0.0137099,0.887858,0.942244,0.419127,0.927933,0.014529,0.893741,0.951717,7,16903,3600,44,0.0122222,True,True,0.419127,True,0.383648
development_main,raw,libero_object,28,8,0.321429,flow_endpoint,L12,0.8826,0.0320501,0.80393,0.93236,0.3826,0.908181,0.0224398,0.853735,0.943697,6,13356,4000,37,0.00925,True,True,0.3826,external_8b,raw,28,0.321429,0.910489,0.0175654,0.869573,0.939463,0.410489,0.907335,0.0279721,0.836095,0.949482,7,16903,3600,44,0.0122222,True,True,0.410489,True,0.3826
development_main,raw,libero_object,28,9,0.357143,mobility,L3,0.88245,0.0206946,0.835459,0.917348,0.38245,0.91693,0.0137337,0.885741,0.940181,6,13356,4000,37,0.00925,True,True,0.38245,external_8b,raw,28,0.357143,0.887594,0.0185535,0.845785,0.919151,0.387594,0.903217,0.01594,0.867163,0.930273,7,16903,3600,44,0.0122222,True,True,0.387594,True,0.38245
