q0,fp_lead0,tp_all_lead0,tp_drop_lead0,tp_grasp_lead0,fp_lead2,tp_all_lead2,tp_drop_lead2,tp_grasp_lead2,fp_lead4,tp_all_lead4,tp_drop_lead4,tp_grasp_lead4,fp_lead8,tp_all_lead8,tp_drop_lead8,tp_grasp_lead8,fp_lead12,tp_all_lead12,tp_drop_lead12,tp_grasp_lead12,in_protocol_sweep
2,14313,487,218,116,14313,487,218,116,14313,487,218,116,11317,487,218,116,5536,487,218,116,True
3,14313,487,218,116,14313,487,218,116,14313,487,218,116,10029,487,218,116,4321,487,218,116,True
4,14313,487,218,116,14313,487,218,116,14176,487,218,116,9427,487,218,116,3425,487,218,116,True
5,14313,487,218,116,14313,487,218,116,13179,487,218,116,7855,487,218,116,3067,487,218,116,True
6,14313,487,218,116,14176,487,218,116,11317,487,218,116,5536,487,218,116,2840,487,218,116,True
7,14176,487,218,116,13179,487,218,116,10029,487,218,116,4321,487,218,116,2572,487,218,116,True
8,13179,487,218,116,11317,487,218,116,9427,487,218,116,3425,487,218,116,2372,487,218,116,True
9,11317,487,218,116,10029,487,218,116,7855,487,218,116,3067,487,218,116,2289,487,218,116,True
10,10029,487,218,116,9427,487,218,116,5536,487,218,116,2840,487,218,116,2080,487,218,116,True
11,9427,487,218,116,7855,487,218,116,4321,487,218,116,2572,487,218,116,1655,361,134,94,True
12,7855,487,218,116,5536,487,218,116,3425,487,218,116,2372,487,218,116,1279,361,134,94,True
13,5536,487,218,116,4321,487,218,116,3067,487,218,116,2289,487,218,116,951,361,134,94,True
14,4321,487,218,116,3425,487,218,116,2840,487,218,116,2080,487,218,116,597,361,134,94,True
15,3425,487,218,116,3067,487,218,116,2572,487,218,116,1655,361,134,94,455,361,134,94,True
16,3067,487,218,116,2840,487,218,116,2372,487,218,116,1279,361,134,94,379,361,134,94,True
17,2840,487,218,116,2572,487,218,116,2289,487,218,116,951,361,134,94,347,324,117,94,True
18,2572,487,218,116,2372,487,218,116,2080,487,218,116,597,361,134,94,328,324,117,94,True
19,2372,487,218,116,2289,487,218,116,1655,361,134,94,455,361,134,94,318,222,41,89,True
20,2289,487,218,116,2080,487,218,116,1279,361,134,94,379,361,134,94,303,222,41,89,True
21,2080,487,218,116,1655,361,134,94,951,361,134,94,347,324,117,94,293,222,41,89,True
22,1655,361,134,94,1279,361,134,94,597,361,134,94,328,324,117,94,288,222,41,89,True
23,1279,361,134,94,951,361,134,94,455,361,134,94,318,222,41,89,285,222,41,89,True
24,951,361,134,94,597,361,134,94,379,361,134,94,303,222,41,89,278,222,41,89,True
25,597,361,134,94,455,361,134,94,347,324,117,94,293,222,41,89,261,222,41,89,True
26,455,361,134,94,379,361,134,94,328,324,117,94,288,222,41,89,235,222,41,89,True
27,379,361,134,94,347,324,117,94,318,222,41,89,285,222,41,89,192,222,41,89,True
28,347,324,117,94,328,324,117,94,303,222,41,89,278,222,41,89,101,222,41,89,True
29,328,324,117,94,318,222,41,89,293,222,41,89,261,222,41,89,54,222,41,89,True
30,318,222,41,89,303,222,41,89,288,222,41,89,235,222,41,89,28,222,41,89,True
31,303,222,41,89,293,222,41,89,285,222,41,89,192,222,41,89,18,222,41,89,True
32,293,222,41,89,288,222,41,89,278,222,41,89,101,222,41,89,13,222,41,89,True
33,288,222,41,89,285,222,41,89,261,222,41,89,54,222,41,89,9,222,41,89,True
34,285,222,41,89,278,222,41,89,235,222,41,89,28,222,41,89,8,222,41,89,True
35,278,222,41,89,261,222,41,89,192,222,41,89,18,222,41,89,6,222,41,89,True
36,261,222,41,89,235,222,41,89,101,222,41,89,13,222,41,89,5,222,41,89,True
37,235,222,41,89,192,222,41,89,54,222,41,89,9,222,41,89,4,222,41,89,True
38,192,222,41,89,101,222,41,89,28,222,41,89,8,222,41,89,2,222,41,89,True
39,101,222,41,89,54,222,41,89,18,222,41,89,6,222,41,89,1,222,41,89,True
40,54,222,41,89,28,222,41,89,13,222,41,89,5,222,41,89,0,222,41,89,False
41,28,222,41,89,18,222,41,89,9,222,41,89,4,222,41,89,0,0,0,0,False
42,18,222,41,89,13,222,41,89,8,222,41,89,2,222,41,89,0,0,0,0,False
43,13,222,41,89,9,222,41,89,6,222,41,89,1,222,41,89,0,0,0,0,False
44,9,222,41,89,8,222,41,89,5,222,41,89,0,222,41,89,0,0,0,0,False
45,8,222,41,89,6,222,41,89,4,222,41,89,0,0,0,0,0,0,0,0,False
46,6,222,41,89,5,222,41,89,2,222,41,89,0,0,0,0,0,0,0,0,False
47,5,222,41,89,4,222,41,89,1,222,41,89,0,0,0,0,0,0,0,0,False
48,4,222,41,89,2,222,41,89,0,222,41,89,0,0,0,0,0,0,0,0,False
49,2,222,41,89,1,222,41,89,0,0,0,0,0,0,0,0,0,0,0,0,False
50,1,222,41,89,0,222,41,89,0,0,0,0,0,0,0,0,0,0,0,0,False
51,0,222,41,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
