budget_dev_fp_lead4,pool,arm,selected_for,n_folds,tp_drop,tp_grasp,tp_all,fp,n_drop,n_grasp,n_risk
19,headline,threshold,all,39,37,12,79,7,241,143,564
19,headline,threshold,drop,39,5,5,34,59,241,143,564
19,headline,threshold,grasp,39,80,9,122,9,241,143,564
19,headline,change_point,all,39,32,20,95,43,241,143,564
19,headline,change_point,drop,39,42,20,80,27,241,143,564
19,headline,change_point,grasp,39,45,18,102,28,241,143,564
19,headline,persistence,all,39,56,22,112,15,241,143,564
19,headline,persistence,drop,39,61,7,84,31,241,143,564
19,headline,persistence,grasp,39,0,3,4,46,241,143,564
19,flagged,threshold,all,39,37,12,79,7,241,143,564
19,flagged,threshold,drop,39,5,5,34,59,241,143,564
19,flagged,threshold,grasp,39,57,12,107,8,241,143,564
19,flagged,change_point,all,39,32,20,95,43,241,143,564
19,flagged,change_point,drop,39,42,20,80,27,241,143,564
19,flagged,change_point,grasp,39,47,19,105,28,241,143,564
19,flagged,persistence,all,39,38,25,123,4,241,143,564
19,flagged,persistence,drop,39,61,7,84,31,241,143,564
19,flagged,persistence,grasp,39,38,26,125,5,241,143,564
19,null_noise,threshold,all,39,2,0,2,13,241,143,564
19,null_noise,threshold,drop,39,2,0,2,9,241,143,564
19,null_noise,threshold,grasp,39,0,0,0,11,241,143,564
19,null_noise,change_point,all,39,3,1,5,23,241,143,564
19,null_noise,change_point,drop,39,3,2,6,12,241,143,564
19,null_noise,change_point,grasp,39,1,2,5,21,241,143,564
19,null_noise,persistence,all,39,14,21,58,20,241,143,564
19,null_noise,persistence,drop,39,16,22,58,16,241,143,564
19,null_noise,persistence,grasp,39,9,24,52,20,241,143,564
19,null_elapsed,threshold,all,0,0,0,0,0,241,143,564
19,null_elapsed,threshold,drop,0,0,0,0,0,241,143,564
19,null_elapsed,threshold,grasp,0,0,0,0,0,241,143,564
19,null_elapsed,change_point,all,0,0,0,0,0,241,143,564
19,null_elapsed,change_point,drop,0,0,0,0,0,241,143,564
19,null_elapsed,change_point,grasp,0,0,0,0,0,241,143,564
19,null_elapsed,persistence,all,39,50,112,274,14,241,143,564
19,null_elapsed,persistence,drop,39,50,112,274,14,241,143,564
19,null_elapsed,persistence,grasp,39,50,112,274,14,241,143,564
19,headline,any,all,39,32,20,95,43,241,143,564
19,headline,any,drop,39,34,20,72,27,241,143,564
19,headline,any,grasp,39,0,3,4,46,241,143,564
19,flagged,any,all,39,40,29,138,38,241,143,564
19,flagged,any,drop,39,34,20,72,27,241,143,564
19,flagged,any,grasp,39,38,26,125,5,241,143,564
19,null_noise,any,all,39,14,21,58,20,241,143,564
19,null_noise,any,drop,39,16,22,58,16,241,143,564
19,null_noise,any,grasp,39,9,24,52,20,241,143,564
19,null_elapsed,any,all,39,50,112,274,14,241,143,564
19,null_elapsed,any,drop,39,50,112,274,14,241,143,564
19,null_elapsed,any,grasp,39,50,112,274,14,241,143,564
38,headline,threshold,all,39,23,13,66,123,241,143,564
38,headline,threshold,drop,39,51,11,119,124,241,143,564
38,headline,threshold,grasp,39,78,12,122,15,241,143,564
38,headline,change_point,all,39,57,20,126,35,241,143,564
38,headline,change_point,drop,39,25,12,69,90,241,143,564
38,headline,change_point,grasp,39,56,17,119,36,241,143,564
38,headline,persistence,all,39,95,18,164,40,241,143,564
38,headline,persistence,drop,39,102,29,177,27,241,143,564
38,headline,persistence,grasp,39,24,3,31,146,241,143,564
38,flagged,threshold,all,39,23,13,66,123,241,143,564
38,flagged,threshold,drop,39,51,11,119,124,241,143,564
38,flagged,threshold,grasp,39,76,8,125,22,241,143,564
38,flagged,change_point,all,39,57,20,126,35,241,143,564
38,flagged,change_point,drop,39,25,12,69,90,241,143,564
38,flagged,change_point,grasp,39,56,17,119,36,241,143,564
38,flagged,persistence,all,39,29,22,106,7,241,143,564
38,flagged,persistence,drop,39,102,29,177,27,241,143,564
38,flagged,persistence,grasp,39,38,25,123,4,241,143,564
38,null_noise,threshold,all,39,6,0,7,37,241,143,564
38,null_noise,threshold,drop,39,2,0,2,9,241,143,564
38,null_noise,threshold,grasp,39,1,1,2,28,241,143,564
38,null_noise,change_point,all,39,4,3,11,50,241,143,564
38,null_noise,change_point,drop,39,4,4,9,39,241,143,564
38,null_noise,change_point,grasp,39,2,2,6,32,241,143,564
38,null_noise,persistence,all,39,16,28,79,29,241,143,564
38,null_noise,persistence,drop,39,15,24,73,33,241,143,564
38,null_noise,persistence,grasp,39,13,28,78,28,241,143,564
38,null_elapsed,threshold,all,0,0,0,0,0,241,143,564
38,null_elapsed,threshold,drop,0,0,0,0,0,241,143,564
38,null_elapsed,threshold,grasp,0,0,0,0,0,241,143,564
38,null_elapsed,change_point,all,0,0,0,0,0,241,143,564
38,null_elapsed,change_point,drop,0,0,0,0,0,241,143,564
38,null_elapsed,change_point,grasp,0,0,0,0,0,241,143,564
38,null_elapsed,persistence,all,39,50,112,274,14,241,143,564
38,null_elapsed,persistence,drop,39,50,112,274,14,241,143,564
38,null_elapsed,persistence,grasp,39,50,112,274,14,241,143,564
38,headline,any,all,39,56,17,119,35,241,143,564
38,headline,any,drop,39,23,4,55,91,241,143,564
38,headline,any,grasp,39,50,10,101,112,241,143,564
38,flagged,any,all,39,21,16,76,35,241,143,564
38,flagged,any,drop,39,23,4,55,91,241,143,564
38,flagged,any,grasp,39,38,25,123,4,241,143,564
38,null_noise,any,all,39,16,28,79,29,241,143,564
38,null_noise,any,drop,39,15,24,73,33,241,143,564
38,null_noise,any,grasp,39,13,28,78,28,241,143,564
38,null_elapsed,any,all,39,50,112,274,14,241,143,564
38,null_elapsed,any,drop,39,50,112,274,14,241,143,564
38,null_elapsed,any,grasp,39,50,112,274,14,241,143,564
57,headline,threshold,all,39,11,16,64,63,241,143,564
