detector,cohort,budget_dev_fp_lead4,arm,config,n_drop,n_grasp,n_risk,alarms,median_lead_at_lead4,tp_lead0,fp_lead0,tp_drop_lead0,tp_grasp_lead0,tp_other_lead0,tp_lead2,fp_lead2,tp_drop_lead2,tp_grasp_lead2,tp_other_lead2,tp_lead4,fp_lead4,tp_drop_lead4,tp_grasp_lead4,tp_other_lead4,tp_lead8,fp_lead8,tp_drop_lead8,tp_grasp_lead8,tp_other_lead8,tp_lead12,fp_lead12,tp_drop_lead12,tp_grasp_lead12,tp_other_lead12,base_protocol_tp_all,excess_protocol_tp_all,base_protocol_tp_drop,excess_protocol_tp_drop,base_protocol_tp_grasp,excess_protocol_tp_grasp
single_undifferentiated,development_main,10,threshold,selected_mass|L2|sign+1|threshold|k304,218,116,487,304,9.0,141,163,88,24,29,140,11,87,24,29,139,6,87,24,28,102,2,61,20,21,23,0,16,4,3,0,139,0,87,0,24
drop_head_only,development_main,10,threshold,token_entropy_d0|L3|sign-1|threshold|k608,218,116,487,608,10.0,129,479,87,22,20,129,182,87,22,20,129,5,87,22,20,127,0,87,22,18,41,0,22,11,8,0,129,0,87,0,22
grasp_head_only,development_main,10,threshold,query_top1_churn|L15|sign+1|threshold|k108,218,116,487,111,9.0,85,26,5,36,44,83,10,5,34,44,77,3,5,32,40,46,1,4,20,22,2,0,0,0,2,0,77,0,5,0,32
union_of_two_mode_heads,development_main,10,threshold,token_entropy_d0|L3|sign-1|threshold|k608 OR query_top1_churn|L15|sign+1|threshold|k108,218,116,487,718,10.0,213,505,91,58,64,211,192,91,56,64,205,8,91,54,60,172,1,90,42,40,43,0,22,11,10,0,205,0,91,0,54
union_of_two_undifferentiated_heads,development_main,10,threshold,selected_mass|L2|sign+1|threshold|k215 OR token_entropy_d0|L3|sign-1|threshold|k608,218,116,487,655,10.0,136,519,89,23,24,135,185,88,23,24,135,6,88,23,24,134,1,88,23,23,48,0,25,13,10,0,135,0,88,0,23
single_undifferentiated,external_8b,10,threshold,selected_mass|L2|sign+1|threshold|k304,241,143,564,304,9.0,184,120,101,30,53,184,55,101,30,53,178,47,100,29,49,135,14,66,27,42,42,6,16,4,22,274,-96,50,50,112,-83
drop_head_only,external_8b,10,threshold,token_entropy_d0|L3|sign-1|threshold|k608,241,143,564,608,10.0,149,459,92,27,30,149,211,92,27,30,148,29,91,27,30,137,4,83,25,29,58,2,28,16,14,274,-126,50,41,112,-85
grasp_head_only,external_8b,10,threshold,query_top1_churn|L15|sign+1|threshold|k108,241,143,564,108,9.0,91,17,13,30,48,91,11,13,30,48,83,8,12,28,43,50,2,9,16,25,0,0,0,0,0,0,83,0,12,0,28
union_of_two_mode_heads,external_8b,10,threshold,token_entropy_d0|L3|sign-1|threshold|k608 OR query_top1_churn|L15|sign+1|threshold|k108,241,143,564,712,10.0,237,475,105,57,75,237,221,105,57,75,228,36,103,55,70,186,6,92,41,53,58,2,28,16,14,274,-46,50,53,112,-57
union_of_two_undifferentiated_heads,external_8b,10,threshold,selected_mass|L2|sign+1|threshold|k215 OR token_entropy_d0|L3|sign-1|threshold|k608,241,143,564,660,11.0,172,488,94,29,49,172,227,94,29,49,171,44,94,29,48,163,6,89,28,46,76,3,32,18,26,274,-103,50,44,112,-83
single_undifferentiated,development_main,10,change_point,token_entropy_d0|L3|sign-1|change_point|k430,218,116,487,430,10.0,146,284,95,23,28,144,96,94,22,28,144,9,94,22,28,142,3,94,22,26,14,0,9,0,5,0,144,0,94,0,22
drop_head_only,development_main,10,change_point,token_entropy_d0|L3|sign-1|change_point|k304,218,116,487,304,10.0,140,164,93,22,25,139,55,92,22,25,139,5,92,22,25,134,2,88,22,24,11,0,7,0,4,0,139,0,92,0,22
grasp_head_only,development_main,10,change_point,token_differentiation_d0|L2|sign-1|change_point|k152,218,116,487,152,8.0,140,12,67,37,36,139,7,66,37,36,139,3,66,37,36,97,0,46,26,25,35,0,6,16,13,0,139,0,66,0,37
union_of_two_mode_heads,development_main,10,change_point,token_entropy_d0|L3|sign-1|change_point|k304 OR token_differentiation_d0|L2|sign-1|change_point|k152,218,116,487,449,9.0,273,176,158,56,59,271,62,156,56,59,271,8,156,56,59,230,2,133,48,49,46,0,13,16,17,0,271,0,156,0,56
union_of_two_undifferentiated_heads,development_main,10,change_point,token_differentiation_d0|L2|sign-1|change_point|k152 OR token_entropy_d0|L3|sign-1|change_point|k304,218,116,487,449,9.0,273,176,158,56,59,271,62,156,56,59,271,8,156,56,59,230,2,133,48,49,46,0,13,16,17,0,271,0,156,0,56
single_undifferentiated,external_8b,10,change_point,token_entropy_d0|L3|sign-1|change_point|k430,241,143,564,430,10.0,161,269,97,30,34,161,69,97,30,34,158,10,95,30,33,149,5,89,29,31,6,0,3,1,2,0,158,0,95,0,30
drop_head_only,external_8b,10,change_point,token_entropy_d0|L3|sign-1|change_point|k304,241,143,564,304,10.0,157,147,95,30,32,157,31,95,30,32,157,7,95,30,32,138,4,83,28,27,3,0,1,1,1,0,157,0,95,0,30
grasp_head_only,external_8b,10,change_point,token_differentiation_d0|L2|sign-1|change_point|k152,241,143,564,152,9.5,135,17,37,54,44,132,12,37,53,42,130,7,37,52,41,123,1,33,51,39,45,0,9,23,13,0,130,0,37,0,52
union_of_two_mode_heads,external_8b,10,change_point,token_entropy_d0|L3|sign-1|change_point|k304 OR token_differentiation_d0|L2|sign-1|change_point|k152,241,143,564,456,10.0,292,164,132,84,76,289,43,132,83,74,287,14,132,82,73,261,5,116,79,66,48,0,10,24,14,0,287,0,132,0,82
union_of_two_undifferentiated_heads,external_8b,10,change_point,token_differentiation_d0|L2|sign-1|change_point|k152 OR token_entropy_d0|L3|sign-1|change_point|k304,241,143,564,456,10.0,292,164,132,84,76,289,43,132,83,74,287,14,132,82,73,261,5,116,79,66,48,0,10,24,14,0,287,0,132,0,82
single_undifferentiated,development_main,10,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152,218,116,487,498,8.0,182,316,96,38,48,173,137,94,35,44,163,10,89,35,39,85,1,48,17,20,24,1,11,3,10,0,163,0,89,0,35
drop_head_only,development_main,10,persistence,hb_entropy_action|L2|sign-1|persist_run|g900|k152,218,116,487,173,8.0,131,42,87,22,22,131,13,87,22,22,130,3,87,22,21,68,1,31,18,19,8,1,4,2,2,0,130,0,87,0,22
grasp_head_only,development_main,10,persistence,mobility_d0|L12|sign-1|persist_cycles|g900|k76,218,116,487,78,12.0,71,7,4,51,16,68,6,3,51,14,66,4,3,51,12,56,4,2,43,11,35,4,1,26,8,0,66,0,3,0,51
union_of_two_mode_heads,development_main,10,persistence,hb_entropy_action|L2|sign-1|persist_run|g900|k152 OR mobility_d0|L12|sign-1|persist_cycles|g900|k76,218,116,487,251,8.0,202,49,91,73,38,199,19,90,73,36,196,7,90,73,33,124,5,33,61,30,43,5,5,28,10,0,196,0,90,0,73
union_of_two_undifferentiated_heads,development_main,10,persistence,flow_endpoint|L12|sign+1|persist_run|g900|k152 OR selected_mass|L3|sign+1|persist_run|g900|k152,218,116,487,201,8.0,162,39,101,23,38,162,21,101,23,38,162,6,101,23,38,105,3,54,21,30,27,1,14,1,12,0,162,0,101,0,23
single_undifferentiated,external_8b,10,persistence,mobility_d0|L3|sign+1|persist_cycles|g975|k152,241,143,564,235,6.0,169,66,69,41,59,165,33,68,41,56,143,25,57,36,50,48,11,10,15,23,43,4,8,14,21,0,143,0,57,0,36
drop_head_only,external_8b,10,persistence,hb_entropy_action|L2|sign-1|persist_run|g900|k152,241,143,564,157,6.0,143,14,92,26,25,141,9,92,26,23,141,7,92,26,23,27,5,13,6,8,6,1,4,0,2,0,141,0,92,0,26
grasp_head_only,external_8b,10,persistence,mobility_d0|L12|sign-1|persist_cycles|g900|k76,241,143,564,106,12.0,95,11,4,64,27,90,10,4,61,25,83,7,4,57,22,68,2,1,46,21,44,1,0,31,13,0,83,0,4,0,57
union_of_two_mode_heads,external_8b,10,persistence,hb_entropy_action|L2|sign-1|persist_run|g900|k152 OR mobility_d0|L12|sign-1|persist_cycles|g900|k76,241,143,564,263,7.0,238,25,96,90,52,231,19,96,87,48,224,14,96,83,45,95,7,14,52,29,50,2,4,31,15,0,224,0,96,0,83
union_of_two_undifferentiated_heads,external_8b,10,persistence,flow_endpoint|L12|sign+1|persist_run|g900|k152 OR selected_mass|L3|sign+1|persist_run|g900|k152,241,143,564,183,7.0,164,19,104,26,34,164,15,104,26,34,161,9,103,24,34,49,3,33,3,13,17,3,11,0,6,0,161,0,103,0,24
single_undifferentiated,development_main,10,any,mobility_d0|L3|sign+1|persist_cycles|g975|k152,218,116,487,498,8.0,182,316,96,38,48,173,137,94,35,44,163,10,89,35,39,85,1,48,17,20,24,1,11,3,10,0,163,0,89,0,35
drop_head_only,development_main,10,any,token_entropy_d0|L3|sign-1|change_point|k304,218,116,487,304,10.0,140,164,93,22,25,139,55,92,22,25,139,5,92,22,25,134,2,88,22,24,11,0,7,0,4,0,139,0,92,0,22
