cohort,target,null_ceiling,grid,n_null_cells,null_p99
development_main,all_risk,0.4444444444444444,all_cells,16416,0.10198945919725508
development_main,drop,0.4414893617021277,all_cells,16200,0.1850620274002166
development_main,grasp,0.4128205128205128,all_cells,10152,0.09018738574040208
external_8b,all_risk,0.4477124183006535,all_cells,16416,0.09437853333688018
external_8b,drop,0.4481481481481482,all_cells,16200,0.17059180873995702
external_8b,grasp,0.3905660377358491,all_cells,10152,0.08279675230411795
development_main,all_risk,0.1641513388880155,headline_cells,13392,0.10198945919725508
development_main,drop,0.387905604719764,headline_cells,11232,0.1850620274002166
development_main,grasp,0.1424330946098757,headline_cells,4968,0.09018738574040208
external_8b,all_risk,0.2185682326621923,headline_cells,12528,0.09437853333688018
external_8b,drop,0.2744464040760337,headline_cells,10800,0.17059180873995702
external_8b,grasp,0.1301197792831188,headline_cells,5184,0.08279675230411795
