bundle,mode,mode_short,n_mode,bundle_caught,head::expert_load_effective_rank|global,head::flow_path|global,head::flow_endpoint|global,head::conditional_energy|global,head::flow_settling_log_ratio|global,head::expert_load_effective_rank|per_task,head::mobility|per_task,head::action_consensus|per_task,head::conditional_energy|per_task,head::v7_guard|task_agnostic
global_single_17fp,object_released_or_dropped_before_goal,dropped,241,117,108.0,24.0,,,,,,,,
global_single_17fp,stable_grasp_not_observed,no_grasp,143,67,65.0,7.0,,,,,,,,
global_single_17fp,object_moved_but_goal_unmet,moved_unmet,89,37,36.0,7.0,,,,,,,,
global_single_17fp,goal_predicate_regressed,regressed,26,10,9.0,2.0,,,,,,,,
global_single_17fp,object_released_outside_goal,released_outside,25,14,9.0,8.0,,,,,,,,
global_single_17fp,timeout_while_holding_target,timeout_holding,23,7,7.0,1.0,,,,,,,,
global_single_17fp,approached_target_without_observed_contact,no_contact,14,3,3.0,1.0,,,,,,,,
global_single_17fp,no_meaningful_target_progress,no_meaningful_target_progress,2,0,0.0,0.0,,,,,,,,
global_single_17fp,mechanism_threshold_not_reached,mechanism,1,0,0.0,0.0,,,,,,,,
global_combination_13fp,object_released_or_dropped_before_goal,dropped,241,66,,24.0,39.0,16.0,3.0,,,,,
global_combination_13fp,stable_grasp_not_observed,no_grasp,143,16,,7.0,7.0,6.0,0.0,,,,,
global_combination_13fp,object_moved_but_goal_unmet,moved_unmet,89,12,,7.0,8.0,3.0,0.0,,,,,
global_combination_13fp,goal_predicate_regressed,regressed,26,5,,2.0,0.0,3.0,0.0,,,,,
global_combination_13fp,object_released_outside_goal,released_outside,25,11,,8.0,4.0,3.0,0.0,,,,,
global_combination_13fp,timeout_while_holding_target,timeout_holding,23,3,,1.0,0.0,2.0,0.0,,,,,
global_combination_13fp,approached_target_without_observed_contact,no_contact,14,1,,1.0,1.0,0.0,0.0,,,,,
global_combination_13fp,no_meaningful_target_progress,no_meaningful_target_progress,2,0,,0.0,0.0,0.0,0.0,,,,,
global_combination_13fp,mechanism_threshold_not_reached,mechanism,1,0,,0.0,0.0,0.0,0.0,,,,,
per_task_single_93fp,object_released_or_dropped_before_goal,dropped,241,219,,,,,,202.0,152.0,51.0,,
per_task_single_93fp,stable_grasp_not_observed,no_grasp,143,62,,,,,,60.0,36.0,11.0,,
per_task_single_93fp,object_moved_but_goal_unmet,moved_unmet,89,60,,,,,,56.0,43.0,16.0,,
per_task_single_93fp,goal_predicate_regressed,regressed,26,17,,,,,,17.0,12.0,1.0,,
per_task_single_93fp,object_released_outside_goal,released_outside,25,24,,,,,,22.0,10.0,10.0,,
per_task_single_93fp,timeout_while_holding_target,timeout_holding,23,18,,,,,,9.0,12.0,8.0,,
per_task_single_93fp,approached_target_without_observed_contact,no_contact,14,6,,,,,,4.0,4.0,3.0,,
per_task_single_93fp,no_meaningful_target_progress,no_meaningful_target_progress,2,2,,,,,,0.0,2.0,0.0,,
per_task_single_93fp,mechanism_threshold_not_reached,mechanism,1,1,,,,,,0.0,1.0,1.0,,
per_task_combination_57fp,object_released_or_dropped_before_goal,dropped,241,203,,,,,,202.0,,,25.0,
per_task_combination_57fp,stable_grasp_not_observed,no_grasp,143,60,,,,,,60.0,,,0.0,
per_task_combination_57fp,object_moved_but_goal_unmet,moved_unmet,89,57,,,,,,56.0,,,7.0,
per_task_combination_57fp,goal_predicate_regressed,regressed,26,17,,,,,,17.0,,,2.0,
per_task_combination_57fp,object_released_outside_goal,released_outside,25,22,,,,,,22.0,,,3.0,
per_task_combination_57fp,timeout_while_holding_target,timeout_holding,23,9,,,,,,9.0,,,0.0,
per_task_combination_57fp,approached_target_without_observed_contact,no_contact,14,4,,,,,,4.0,,,0.0,
per_task_combination_57fp,no_meaningful_target_progress,no_meaningful_target_progress,2,0,,,,,,0.0,,,0.0,
per_task_combination_57fp,mechanism_threshold_not_reached,mechanism,1,0,,,,,,0.0,,,0.0,
task_agnostic_v7guard_80fp,object_released_or_dropped_before_goal,dropped,241,206,,24.0,39.0,16.0,,,,,,188.0
task_agnostic_v7guard_80fp,stable_grasp_not_observed,no_grasp,143,124,,7.0,7.0,6.0,,,,,,119.0
task_agnostic_v7guard_80fp,object_moved_but_goal_unmet,moved_unmet,89,63,,7.0,8.0,3.0,,,,,,60.0
task_agnostic_v7guard_80fp,goal_predicate_regressed,regressed,26,22,,2.0,0.0,3.0,,,,,,22.0
task_agnostic_v7guard_80fp,object_released_outside_goal,released_outside,25,23,,8.0,4.0,3.0,,,,,,16.0
task_agnostic_v7guard_80fp,timeout_while_holding_target,timeout_holding,23,19,,1.0,0.0,2.0,,,,,,18.0
task_agnostic_v7guard_80fp,approached_target_without_observed_contact,no_contact,14,13,,1.0,1.0,0.0,,,,,,13.0
task_agnostic_v7guard_80fp,no_meaningful_target_progress,no_meaningful_target_progress,2,2,,0.0,0.0,0.0,,,,,,2.0
task_agnostic_v7guard_80fp,mechanism_threshold_not_reached,mechanism,1,1,,0.0,0.0,0.0,,,,,,1.0
