task,risk_rate,n_risk,no_grasp_share,dropped_share
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.13,52,0.019230769230769232,0.9038461538461539
libero_goal/put_the_bowl_on_the_plate,0.03,12,0.0,0.6666666666666666
libero_goal/put_the_bowl_on_the_stove,0.015,6,0.0,0.6666666666666666
libero_goal/put_the_bowl_on_top_of_the_cabinet,0.0375,15,0.0,0.9333333333333333
libero_goal/put_the_cream_cheese_in_the_bowl,0.025,10,0.4,0.3
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0.015,6,0.0,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.345,138,0.5797101449275363,0.050724637681159424
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0.015,6,0.6666666666666666,0.0
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.0425,17,0.23529411764705882,0.35294117647058826
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,0.1075,43,0.023255813953488372,0.46511627906976744
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0.02,8,0.0,1.0
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0.0275,11,0.0,0.7272727272727273
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.0125,5,0.0,0.6
libero_object/pick_up_the_milk_and_place_it_in_the_basket,0.02,8,0.0,0.25
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0.02,8,0.0,0.875
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.03,12,0.08333333333333333,0.08333333333333333
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.035,14,0.0,0.9285714285714286
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0.0225,9,0.0,1.0
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0.0225,9,0.1111111111111111,0.7777777777777778
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0.0625,25,0.0,1.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0.0875,35,0.5714285714285714,0.34285714285714286
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0.0275,11,0.0,0.6363636363636364
