cohort,suite,feature,n,finite_n,late_n,auc,average_precision
development_main,libero_long,graph_conditional_release,158,158,9,0.9209545115585384,0.35154241470030945
development_main,libero_long,graph_gap_release,158,158,9,0.9101416853094705,0.3298745743867695
development_main,libero_long,graph_homeostasis_release,158,158,9,0.7591349739000746,0.44555000983572407
development_main,libero_long,route_activity_release,158,158,9,0.8791946308724833,0.3445409754676996
development_main,libero_long,layer_back_handoff,158,158,9,0.8896346010439969,0.36092605427847896
development_main,libero_long,restart_graph_route_equal,158,158,9,0.9187173750932139,0.3362883378152464
development_main,libero_long,restart_graph_route_layer_equal,158,158,9,0.9246830723340791,0.5686006022962544
development_main,libero_long,restart_homeostasis_route_layer_equal,158,158,9,0.9090231170768084,0.5863305530973406
development_main,libero_object,graph_conditional_release,27,27,4,0.8260869565217391,0.5875
development_main,libero_object,graph_gap_release,27,27,4,0.7771739130434783,0.6547619047619048
development_main,libero_object,graph_homeostasis_release,27,27,4,0.5652173913043479,0.20104166666666667
development_main,libero_object,route_activity_release,27,27,4,0.6086956521739131,0.27566287878787876
development_main,libero_object,layer_back_handoff,27,27,4,0.6086956521739131,0.3092948717948718
development_main,libero_object,restart_graph_route_equal,27,27,4,0.75,0.4354166666666667
development_main,libero_object,restart_graph_route_layer_equal,27,27,4,0.7282608695652174,0.43087121212121215
development_main,libero_object,restart_homeostasis_route_layer_equal,27,27,4,0.6630434782608696,0.31845238095238093
development_main,libero_spatial,graph_conditional_release,96,96,7,0.5658105939004816,0.1506541555594912
development_main,libero_spatial,graph_gap_release,96,96,7,0.5248796147672552,0.09359197465509758
development_main,libero_spatial,graph_homeostasis_release,96,96,7,0.4542536115569823,0.07921396500231648
development_main,libero_spatial,route_activity_release,96,96,7,0.4735152487961476,0.11380877433886644
development_main,libero_spatial,layer_back_handoff,96,96,7,0.6324237560192616,0.2535879624004432
development_main,libero_spatial,restart_graph_route_equal,96,96,7,0.5152487961476726,0.1300999315388806
development_main,libero_spatial,restart_graph_route_layer_equal,96,96,7,0.5409309791332263,0.14823321557204394
development_main,libero_spatial,restart_homeostasis_route_layer_equal,96,96,7,0.5168539325842696,0.11132593771274837
external_8b,libero_long,graph_conditional_release,196,196,15,0.7263351749539595,0.1910625842992994
external_8b,libero_long,graph_gap_release,196,196,15,0.7285451197053407,0.19818596093693708
external_8b,libero_long,graph_homeostasis_release,196,196,15,0.7926335174953959,0.29016236006307045
external_8b,libero_long,route_activity_release,196,196,15,0.7701657458563537,0.21233276326534575
external_8b,libero_long,layer_back_handoff,196,196,15,0.8394106813996316,0.2943520079030592
external_8b,libero_long,restart_graph_route_equal,196,196,15,0.7675874769797422,0.23268853593619854
external_8b,libero_long,restart_graph_route_layer_equal,196,196,15,0.7959484346224678,0.34650280346499535
external_8b,libero_long,restart_homeostasis_route_layer_equal,196,196,15,0.8206261510128914,0.340635286653201
external_8b,libero_object,graph_conditional_release,31,30,3,0.7530864197530864,0.3041958041958042
external_8b,libero_object,graph_gap_release,31,30,3,0.728395061728395,0.2936507936507936
external_8b,libero_object,graph_homeostasis_release,31,30,3,0.7407407407407408,0.3032407407407407
external_8b,libero_object,route_activity_release,31,31,3,0.7976190476190477,0.4880952380952381
external_8b,libero_object,layer_back_handoff,31,31,3,0.6190476190476191,0.42254901960784313
external_8b,libero_object,restart_graph_route_equal,31,31,3,0.8214285714285714,0.49831649831649827
external_8b,libero_object,restart_graph_route_layer_equal,31,31,3,0.8214285714285714,0.49831649831649827
external_8b,libero_object,restart_homeostasis_route_layer_equal,31,31,3,0.7976190476190477,0.4880952380952381
external_8b,libero_spatial,graph_conditional_release,95,95,9,0.7351421188630491,0.2872345919022581
external_8b,libero_spatial,graph_gap_release,95,95,9,0.7241602067183461,0.274974803243067
external_8b,libero_spatial,graph_homeostasis_release,95,95,9,0.38242894056847543,0.10570096070253837
external_8b,libero_spatial,route_activity_release,95,95,9,0.4470284237726098,0.11281267831926195
external_8b,libero_spatial,layer_back_handoff,95,95,9,0.4599483204134367,0.21737681363917982
external_8b,libero_spatial,restart_graph_route_equal,95,95,9,0.6214470284237726,0.1900617477902424
external_8b,libero_spatial,restart_graph_route_layer_equal,95,95,9,0.6098191214470284,0.18270546149358607
external_8b,libero_spatial,restart_homeostasis_route_layer_equal,95,95,9,0.42377260981912146,0.10524699993860762
