quantity,family,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_fp,dev_lift
mobility_s0,primary_step_mobility,per_task,True,L13,low,0.75,291,35,40,24,1.3674461774145015
mobility_s0,primary_step_mobility,global,True,back_median,low,0.975,97,7,17,6,1.380350790651016
mobility_s1,primary_step_mobility,per_task,True,L13,low,0.75,295,39,40,26,1.388987770494702
mobility_s1,primary_step_mobility,global,True,L13,low,0.975,89,8,18,7,1.4060414802175745
mobility_s2,primary_step_mobility,per_task,True,L13,low,0.75,300,37,39,25,1.4141132927736404
mobility_s2,primary_step_mobility,global,True,back_median,low,0.975,112,4,18,3,1.4970675131609161
mobility_s3,primary_step_mobility,per_task,True,L13,low,0.75,304,37,40,23,1.4361270847875058
mobility_s3,primary_step_mobility,global,True,back_median,low,0.975,118,3,18,2,1.6085837973551316
mobility_s4,primary_step_mobility,per_task,True,L13,low,0.75,314,35,38,22,1.429196950979885
mobility_s4,primary_step_mobility,global,True,L14,low,0.96,170,18,19,12,1.6261057332216384
mobility_s5,primary_step_mobility,per_task,True,L12,low,0.85,265,30,33,19,1.3116996978979387
mobility_s5,primary_step_mobility,global,True,L14,low,0.96,175,17,20,8,1.6258669089858224
mobility_s6,primary_step_mobility,per_task,True,all_median,low,0.7,283,29,34,21,1.3085256938555316
mobility_s6,primary_step_mobility,global,True,L14,low,0.96,183,24,21,12,1.6023142532030246
mobility_s7,primary_step_mobility,per_task,True,L12,low,0.9,212,23,31,12,1.3201417333610295
mobility_s7,primary_step_mobility,global,True,back_median,low,0.96,187,22,21,9,1.6352972696190888
mobility_s8,primary_step_mobility,per_task,True,all_median,low,0.85,286,28,30,14,1.2817716553139296
mobility_s8,primary_step_mobility,global,True,L14,low,0.96,211,28,22,14,1.5938221206067782
mobility_s9,primary_step_mobility,per_task,True,L2,low,0.7,243,31,41,18,1.31229780486713
mobility_s9,primary_step_mobility,global,True,L12,low,0.975,172,15,18,5,1.7428417708393027
mobility_settling_log_ratio,derived_step_summary,per_task,True,L15,low,0.95,162,30,33,20,1.4322514011116059
mobility_settling_log_ratio,derived_step_summary,global,True,all_median,high,0.96,27,8,8,5,1.6396144303702898
mobility_step_range,derived_step_summary,per_task,True,L2,high,0.85,154,29,32,21,1.3672428747977425
mobility_step_range,derived_step_summary,global,True,all_median,low,0.975,190,15,19,5,1.5671396344712194
token_differentiation_s0,exploratory_within_query,per_task,True,L12,low,0.7,39,17,29,17,2.812908060656694
token_differentiation_s0,exploratory_within_query,global,True,L5,high,0.98,16,2,6,2,1.5003102150860375
token_differentiation_s3,exploratory_within_query,per_task,True,L14,low,0.8,65,9,25,8,1.5688474251498883
token_differentiation_s3,exploratory_within_query,global,True,front_median,high,0.99,10,4,7,4,2.867643469594094
token_differentiation_s6,exploratory_within_query,per_task,True,L14,low,0.9,44,0,23,0,1.9210312179793667
token_differentiation_s6,exploratory_within_query,global,True,front_median,high,0.975,39,5,9,5,1.2803507991383245
token_differentiation_s9,exploratory_within_query,per_task,True,L2,high,0.95,111,33,33,20,1.429232361050093
token_differentiation_s9,exploratory_within_query,global,True,L15,low,0.975,15,6,13,6,3.428669193249158
conditional_effective_rank_s0,exploratory_within_query,per_task,True,L13,low,0.9,61,11,22,9,1.4776829115202395
conditional_effective_rank_s0,exploratory_within_query,global,True,back_median,low,0.95,20,7,11,6,1.6811942565650697
conditional_effective_rank_s3,exploratory_within_query,per_task,True,L13,low,0.85,78,15,23,14,1.381940196856302
conditional_effective_rank_s3,exploratory_within_query,global,True,L12,low,0.95,35,16,16,9,1.5338706969968405
conditional_effective_rank_s6,exploratory_within_query,per_task,True,L13,low,0.85,84,11,22,9,1.3256764399358298
conditional_effective_rank_s6,exploratory_within_query,global,True,L3,high,0.925,33,12,26,10,3.8464083555300617
conditional_effective_rank_s9,exploratory_within_query,per_task,True,L13,low,0.9,118,20,26,16,1.2737293276309822
conditional_effective_rank_s9,exploratory_within_query,global,True,L3,high,0.925,42,20,27,17,2.9898808562259394
load_entropy_s0,exploratory_within_query,per_task,True,L5,low,0.99,32,6,10,4,1.624165100779083
load_entropy_s0,exploratory_within_query,global,True,front_median,low,0.975,55,16,35,16,3.120664898726426
load_entropy_s3,exploratory_within_query,per_task,True,back_median,low,0.975,104,21,25,14,1.4608271778404687
load_entropy_s3,exploratory_within_query,global,True,front_median,low,0.975,87,24,38,23,2.118502638817752
load_entropy_s6,exploratory_within_query,per_task,True,L15,low,0.975,111,29,36,22,1.5647177105891086
load_entropy_s6,exploratory_within_query,global,True,L2,low,0.975,45,8,15,8,1.8947247125050137
load_entropy_s9,exploratory_within_query,per_task,True,L3,low,0.85,322,45,58,32,1.453000774065528
load_entropy_s9,exploratory_within_query,global,True,L3,low,0.925,214,15,12,8,1.2105769156948392
flow_speed_s1,exploratory_within_query,per_task,True,L13,high,0.975,101,23,29,15,1.5519010217809899
flow_speed_s1,exploratory_within_query,global,True,L4,low,0.98,1,0,1,0,13.460784313725492
flow_speed_s3,exploratory_within_query,per_task,True,L15,high,0.975,105,22,31,16,1.523192583918443
flow_speed_s3,exploratory_within_query,global,True,L5,low,0.99,1,0,1,0,4.931372549019608
flow_speed_s6,exploratory_within_query,per_task,True,all_median,high,0.975,104,21,28,12,1.5502528014007746
flow_speed_s6,exploratory_within_query,global,True,L14,high,0.99,61,3,5,3,1.0834543972359467
flow_speed_s9,exploratory_within_query,per_task,True,front_median,high,0.9,253,56,64,40,1.3640806167476243
flow_speed_s9,exploratory_within_query,global,True,L12,low,0.925,6,0,6,0,5.086276239653339
