cohort,quantity,task,layer,early_mean,late_mean,late_minus_early,step_argmax
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L2,3.461915969848633,3.4628937244415283,0.0009777545928955078,8
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L3,3.4634883403778076,3.463059663772583,-0.0004286766052246094,1
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L4,3.4636175632476807,3.4628422260284424,-0.0007753372192382812,1
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L5,3.462860107421875,3.4622058868408203,-0.0006542205810546875,0
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L12,3.4641764163970947,3.4616897106170654,-0.002486705780029297,0
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L13,3.4640185832977295,3.461148977279663,-0.0028696060180664062,0
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L14,3.4641926288604736,3.461637496948242,-0.0025551319122314453,0
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,L15,3.463751792907715,3.4597396850585938,-0.004012107849121094,0
development_main,token_entropy,libero_goal/open_the_middle_drawer_of_the_cabinet,back_minus_front,0.0010645389556884766,-0.0016962686786428094,-0.002760807517915964,-1
development_main,token_entropy,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,L2,3.4619903564453125,3.462529182434082,0.0005388259887695312,7
development_main,token_entropy,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,L3,3.463266611099243,3.4624640941619873,-0.0008025169372558594,1
development_main,token_entropy,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,L4,3.4635684490203857,3.462400197982788,-0.0011682510375976562,1
development_main,token_entropy,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,L5,3.4626071453094482,3.461287498474121,-0.0013196468353271484,0
development_main,token_entropy,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,L12,3.4640166759490967,3.4615557193756104,-0.002460956573486328,0
development_main,token_entropy,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,L13,3.463759660720825,3.4606716632843018,-0.0030879974365234375,0
