dataset,outcome,axis,mixed_snapshots,mean_within_snapshot_difference,bootstrap_95_low,bootstrap_95_high,wilcoxon_p_two_sided,mean_within_snapshot_auc,auc_bootstrap_95_low,auc_bootstrap_95_high,auc_wilcoxon_p_vs_half
rolling_star_k16,success,state|flow_nonsettling,15,0.09340462928435447,-0.30850970291662894,0.46036084206392247,0.5614013671875,0.4296967846967847,0.3047186100936101,0.5516031746031747,0.3792364621156362
rolling_star_k16,success,state|flow_curvature,15,-3.391144582190559e-05,-7.018997842828512e-05,-3.539857496932957e-06,0.0946044921875,0.4055311355311355,0.30974206349206346,0.5000583028083027,0.06886372478553608
rolling_star_k16,success,state|flow_directness,15,0.0068042299845231325,-0.012948561932131992,0.028147180817272296,0.638671875,0.5401078551078553,0.41249567562067574,0.6681648606023606,0.5132306597464762
rolling_star_k16,success,state|flow_late_motion,15,-3.0609018883471255e-05,-6.653689929202854e-05,8.316677255312535e-06,0.083251953125,0.3941625966625967,0.2717705280830281,0.5229473188848187,0.10509210407281745
rolling_star_k16,success,state|diversity,15,6.762763252577778e-06,-1.5058847352721013e-05,2.7232243159791347e-05,0.638671875,0.5462942612942612,0.4000815018315019,0.6883096764346764,0.5893477680038375
rolling_star_k16,success,state|token_coherence,15,-4.4188377669840405e-06,-3.3678240561606325e-05,2.7275897783882527e-05,0.5994873046875,0.46047415547415554,0.3271457061457061,0.5948286528286525,0.5508544798435477
rolling_star_k16,loop,state|flow_nonsettling,18,0.09744062016817986,-0.13010338404458818,0.3319079249135987,0.468292236328125,0.5557617344075677,0.47365715688632354,0.6371170096300305,0.2667122567179575
rolling_star_k16,loop,state|flow_curvature,18,1.1943835453581229e-05,-3.278602537597808e-05,5.760033722103668e-05,0.49507904052734375,0.5389748176206509,0.40600006764069263,0.664340158780263,0.49960553493782556
rolling_star_k16,loop,state|flow_directness,18,-0.0011881337610263238,-0.015942474124624354,0.015249963479547466,0.6396942138671875,0.4610339506172839,0.3522704475308642,0.578631779100529,0.39564020702970115
rolling_star_k16,loop,state|flow_late_motion,18,-9.673728096128982e-06,-7.527059438278583e-05,4.244007160704405e-05,0.7337265014648438,0.5015412057078724,0.37340139991181653,0.6262571649029982,0.962238472101115
rolling_star_k16,loop,state|diversity,18,-1.1797709393805392e-05,-2.7071231223866153e-05,1.938375751152602e-06,0.19638824462890625,0.40756523569023567,0.2996767025412859,0.5125164842873176,0.2310039321866274
rolling_star_k16,loop,state|token_coherence,18,1.716575268295717e-05,-2.2081433543997953e-06,3.875073518545373e-05,0.2121429443359375,0.5940355940355941,0.4950506553631553,0.6944987824675325,0.21448302048346435
rolling_star_k16,static,state|flow_nonsettling,12,0.06974555582123595,-0.2446854344960087,0.3500809662062257,0.38037109375,0.5035400363525363,0.41394322691197694,0.5815284541847042,0.5029296875
rolling_star_k16,static,state|flow_curvature,12,2.660439001750721e-05,-4.091795450508343e-06,5.6299871223859214e-05,0.1513671875,0.6243342016779517,0.4865844853930792,0.7538326249849686,0.06689453125
rolling_star_k16,static,state|flow_directness,12,-0.0066355150600487895,-0.023641126967935782,0.011196700693744933,0.423828125,0.4274352672790172,0.27238676760161135,0.5889786819083693,0.43603515625
rolling_star_k16,static,state|flow_late_motion,12,3.7518908319513844e-05,-3.385202069706663e-07,7.501700452749287e-05,0.10986328125,0.6422234015984015,0.5266451625631313,0.7502559636544011,0.05224609375
rolling_star_k16,static,state|diversity,12,7.094328278654573e-06,-5.490467185850604e-06,1.934927289059205e-05,0.423828125,0.5569664421226921,0.462468284030784,0.6640734309093684,0.4775390625
rolling_star_k16,static,state|token_coherence,12,-1.015692132480539e-05,-2.9859640508921502e-05,1.0265256029585529e-05,0.30126953125,0.41856661856661853,0.32845883500180373,0.513927284376503,0.169921875
fork_pilot_n32,success,state|flow_nonsettling,1,0.1737179102529075,0.1737179102529075,0.1737179102529075,nan,0.5072463768115942,0.5072463768115942,0.5072463768115942,nan
fork_pilot_n32,success,state|flow_curvature,1,-2.3021665289278334e-05,-2.3021665289278334e-05,-2.3021665289278334e-05,nan,0.4444444444444444,0.4444444444444444,0.4444444444444444,nan
fork_pilot_n32,success,state|flow_directness,1,-0.013452380031779176,-0.013452380031779176,-0.013452380031779176,nan,0.5217391304347826,0.5217391304347826,0.5217391304347826,nan
fork_pilot_n32,success,state|flow_late_motion,1,-5.700975287579839e-06,-5.700975287579839e-06,-5.700975287579839e-06,nan,0.48792270531400966,0.48792270531400966,0.48792270531400966,nan
fork_pilot_n32,success,state|diversity,1,2.0361500949667155e-05,2.0361500949667155e-05,2.0361500949667155e-05,nan,0.6859903381642513,0.6859903381642513,0.6859903381642513,nan
fork_pilot_n32,success,state|token_coherence,1,-3.032004775638253e-05,-3.032004775638253e-05,-3.032004775638253e-05,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,nan
fork_pilot_n32,loop,state|flow_nonsettling,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,loop,state|flow_curvature,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,loop,state|flow_directness,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,loop,state|flow_late_motion,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,loop,state|diversity,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,loop,state|token_coherence,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,static,state|flow_nonsettling,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,static,state|flow_curvature,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,static,state|flow_directness,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,static,state|flow_late_motion,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,static,state|diversity,0,nan,nan,nan,nan,nan,nan,nan,nan
fork_pilot_n32,static,state|token_coherence,0,nan,nan,nan,nan,nan,nan,nan,nan
