corpus,event,lead,axis,auc_event_high,events,pairs
main16x32,loop,-8,flow|all|edge_action|early_speed,0.5589503953989935,98,1391
main16x32,loop,-8,flow|all|edge_action|late_speed,0.5280373831775701,98,1391
main16x32,loop,-8,flow|all|edge_action|path,0.5517613227893602,98,1391
main16x32,loop,-8,flow|all|edge_action|endpoint,0.5769230769230769,98,1391
main16x32,loop,-8,flow|all|edge_action|efficiency,0.5582314881380301,98,1391
main16x32,loop,-8,flow|all|edge_action|curvature,0.5269590222861251,98,1391
main16x32,loop,-8,flow|all|edge_action|settling_log_ratio,0.5337886412652768,98,1391
main16x32,loop,-8,flow|all|edge_state|early_speed,0.5,98,1391
main16x32,loop,-8,flow|all|edge_state|late_speed,0.5,98,1391
main16x32,loop,-8,flow|all|edge_state|path,0.5,98,1391
main16x32,loop,-8,flow|all|edge_state|endpoint,0.5,98,1391
main16x32,loop,-8,flow|all|edge_state|efficiency,0.5,98,1391
main16x32,loop,-8,flow|all|edge_state|curvature,0.5,98,1391
main16x32,loop,-8,flow|all|edge_state|settling_log_ratio,0.5,98,1391
main16x32,loop,-8,flow|all|token_gram|early_speed,0.5147375988497483,98,1391
main16x32,loop,-8,flow|all|token_gram|late_speed,0.5762041696621136,98,1391
main16x32,loop,-8,flow|all|token_gram|path,0.5632638389647735,98,1391
main16x32,loop,-8,flow|all|token_gram|endpoint,0.5402588066139468,98,1391
main16x32,loop,-8,flow|all|token_gram|efficiency,0.4845434938892883,98,1391
main16x32,loop,-8,flow|all|token_gram|curvature,0.49928109273903665,98,1391
main16x32,loop,-8,flow|all|token_gram|settling_log_ratio,0.5384615384615384,98,1391
main16x32,loop,-8,flow|all|expert_load|early_speed,0.5150970524802301,98,1391
main16x32,loop,-8,flow|all|expert_load|late_speed,0.5427749820273184,98,1391
main16x32,loop,-8,flow|all|expert_load|path,0.5406182602444285,98,1391
main16x32,loop,-8,flow|all|expert_load|endpoint,0.595255212077642,98,1391
main16x32,loop,-8,flow|all|expert_load|efficiency,0.6358734723220705,98,1391
main16x32,loop,-8,flow|all|expert_load|curvature,0.5107836089144501,98,1391
main16x32,loop,-8,flow|all|expert_load|settling_log_ratio,0.5747663551401869,98,1391
main16x32,loop,-8,flow|all|spectrum|early_speed,0.5280373831775701,98,1391
main16x32,loop,-8,flow|all|spectrum|late_speed,0.42990654205607476,98,1391
main16x32,loop,-8,flow|all|spectrum|path,0.46621135873472325,98,1391
main16x32,loop,-8,flow|all|spectrum|endpoint,0.4485981308411215,98,1391
main16x32,loop,-8,flow|all|spectrum|efficiency,0.4072609633357297,98,1391
main16x32,loop,-8,flow|all|spectrum|curvature,0.5384615384615384,98,1391
main16x32,loop,-8,flow|all|spectrum|settling_log_ratio,0.3968368080517613,98,1391
main16x32,loop,-8,flow|front|edge_action|early_speed,0.5262401150251618,98,1391
main16x32,loop,-8,flow|front|edge_action|late_speed,0.5269590222861251,98,1391
main16x32,loop,-8,flow|front|edge_action|path,0.5255212077641984,98,1391
main16x32,loop,-8,flow|front|edge_action|endpoint,0.5614665708123652,98,1391
main16x32,loop,-8,flow|front|edge_action|efficiency,0.5427749820273184,98,1391
main16x32,loop,-8,flow|front|edge_action|curvature,0.4974838245866283,98,1391
main16x32,loop,-8,flow|front|edge_action|settling_log_ratio,0.51725377426312,98,1391
main16x32,loop,-8,flow|front|edge_state|early_speed,0.5,98,1391
