corpus,event,lead,score,status,auc_event_high,events,pairs
grid50x8,loop,-8,main_ranked_loop_top4,main16x32_rank_locked,0.600132625994695,354,1508
grid50x8,loop,-6,main_ranked_loop_top4,main16x32_rank_locked,0.5697399527186762,409,1692
grid50x8,loop,-4,main_ranked_loop_top4,main16x32_rank_locked,0.6077586206896551,360,1392
grid50x8,loop,-2,main_ranked_loop_top4,main16x32_rank_locked,0.660377358490566,306,1113
grid50x8,loop,0,main_ranked_loop_top4,main16x32_rank_locked,0.7917888563049853,284,1023
grid50x8,static,-8,main_ranked_static_top4,main16x32_rank_locked,0.6167664670658682,116,334
grid50x8,static,-6,main_ranked_static_top4,main16x32_rank_locked,0.8881578947368421,110,304
grid50x8,static,-4,main_ranked_static_top4,main16x32_rank_locked,0.972027972027972,104,286
grid50x8,static,-2,main_ranked_static_top4,main16x32_rank_locked,0.9887640449438202,100,267
grid50x8,static,0,main_ranked_static_top4,main16x32_rank_locked,0.9597989949748744,92,199
main16x32,loop,-8,main_ranked_loop_top4,main16x32_rank_locked,0.5017972681524083,98,1391
main16x32,loop,-6,main_ranked_loop_top4,main16x32_rank_locked,0.6112469437652812,116,1636
main16x32,loop,-4,main_ranked_loop_top4,main16x32_rank_locked,0.5990299110751819,107,1237
main16x32,loop,-2,main_ranked_loop_top4,main16x32_rank_locked,0.6847635726795096,103,1142
main16x32,loop,0,main_ranked_loop_top4,main16x32_rank_locked,0.724910394265233,103,1116
main16x32,static,-8,main_ranked_static_top4,main16x32_rank_locked,0.6712662337662337,126,1232
main16x32,static,-6,main_ranked_static_top4,main16x32_rank_locked,0.8791836734693877,126,1225
main16x32,static,-4,main_ranked_static_top4,main16x32_rank_locked,0.9528301886792453,126,1166
main16x32,static,-2,main_ranked_static_top4,main16x32_rank_locked,0.9841121495327103,126,1070
main16x32,static,0,main_ranked_static_top4,main16x32_rank_locked,0.993514915693904,126,771
