corpus,event,coordinate,events,event_mean,control_mean,paired_difference,bootstrap_95_low,bootstrap_95_high
main16x32,loop,settling,103,0.3216439251464618,0.3773538597988712,-0.0557099346524096,-0.09870414981977481,-0.01099444102954535
main16x32,loop,responsiveness,103,0.6071671472673473,0.48329042433338315,0.12387672293396458,0.0689667871509989,0.18029036769360976
main16x32,loop,coherence,103,0.4142121397729766,0.44816992033132985,-0.03395778055835362,-0.0711416988308642,0.0045261412329025644
main16x32,static,settling,126,0.40347836497634776,0.45579499132011514,-0.05231662634376737,-0.08671991423513079,-0.017910958582811966
main16x32,static,responsiveness,126,0.034090402180004024,0.28634219667637184,-0.2522517944963678,-0.26971000788991184,-0.23497814002335704
main16x32,static,coherence,126,0.775860202130447,0.5844141155026275,0.19144608662781962,0.15698047049704725,0.2255962923663287
grid50x8,loop,settling,306,0.4137486486145648,0.4212891526296581,-0.007540504015093386,-0.05613725424380989,0.04100482918886018
grid50x8,loop,responsiveness,306,0.767748813885507,0.6906599873305677,0.07708882655493927,0.050262833637287466,0.10246999888182722
grid50x8,loop,coherence,306,0.2677211262736334,0.34350994587591654,-0.07578881960228312,-0.10025058762409336,-0.05109239874820433
grid50x8,static,settling,100,0.3577483482429982,0.4014840685148526,-0.04373572027185427,-0.13071507288009435,0.04405400986692202
grid50x8,static,responsiveness,100,0.046583109397115845,0.30491455551224983,-0.25833144611513403,-0.3044341360115812,-0.21372154958734196
grid50x8,static,coherence,100,0.6692818024128319,0.512042467254886,0.15723933515794594,0.10548056473198335,0.20977557595715596
