cohort,offset,layer,n,late_n,auc_high_means_late,average_precision
development_main,+1,L12,360,20,0.4410294117647059,0.04831536874113402
development_main,+1,L13,360,20,0.6192647058823529,0.0877160833895468
development_main,+1,L14,360,20,0.5084558823529411,0.05981800838330655
development_main,+1,L15,360,20,0.4053676470588235,0.045494194524826614
development_main,+1,L2,360,20,0.5563970588235294,0.061850620503728394
development_main,+1,L3,360,20,0.5145588235294117,0.0617360207841405
development_main,+1,L4,360,20,0.5200735294117647,0.05756703094951439
development_main,+1,L5,360,20,0.4621323529411765,0.05435335596847402
development_main,+1,all_mean,360,20,0.52125,0.05600241691743796
development_main,+1,back_mean,360,20,0.49183823529411763,0.05412778453964352
development_main,+1,back_minus_front,360,20,0.4580147058823529,0.051151827430606804
development_main,+1,front_mean,360,20,0.5125,0.055407886429756595
development_main,+2,L12,339,19,0.41916118421052634,0.0468434225425449
development_main,+2,L13,339,19,0.5919407894736842,0.12007965437012244
development_main,+2,L14,339,19,0.5056743421052631,0.05790841104527385
development_main,+2,L15,339,19,0.3728618421052632,0.04387458635744479
development_main,+2,L2,339,19,0.5169407894736842,0.061717174744948256
development_main,+2,L3,339,19,0.4620065789473684,0.052827839755653444
development_main,+2,L4,339,19,0.4962171052631579,0.05481813661655665
development_main,+2,L5,339,19,0.424671052631579,0.04840050048926589
development_main,+2,all_mean,339,19,0.47409539473684204,0.052219521294490034
development_main,+2,back_mean,339,19,0.4744243421052632,0.05153194463909011
development_main,+2,back_minus_front,339,19,0.4934210526315789,0.054715034225417625
development_main,+2,front_mean,339,19,0.4789473684210526,0.052161542434510225
development_main,+4,L12,301,18,0.4931291715744012,0.05966550102832875
development_main,+4,L13,301,18,0.5461327051433058,0.06785574200593855
development_main,+4,L14,301,18,0.511385944248135,0.06320889936454324
development_main,+4,L15,301,18,0.4729093050647821,0.05689204138313805
development_main,+4,L2,301,18,0.545838241067923,0.0672323050382799
development_main,+4,L3,301,18,0.48468786808009423,0.05614156899168723
development_main,+4,L4,301,18,0.5350412249705536,0.06620268911897306
development_main,+4,L5,301,18,0.45160973694542594,0.056100947142121306
development_main,+4,all_mean,301,18,0.5064782096584217,0.06334366383628916
development_main,+4,back_mean,301,18,0.5051040439733019,0.06232651412165344
development_main,+4,back_minus_front,301,18,0.5084413034943069,0.05901926512551944
development_main,+4,front_mean,301,18,0.5225755791126816,0.06177555752988114
development_main,+8,L12,198,10,0.5393617021276595,0.06020511068432043
development_main,+8,L13,198,10,0.6585106382978724,0.10164788769284462
development_main,+8,L14,198,10,0.6292553191489362,0.07105401637440499
development_main,+8,L15,198,10,0.49148936170212765,0.05552104696755772
development_main,+8,L2,198,10,0.652127659574468,0.08887566056809294
development_main,+8,L3,198,10,0.6021276595744681,0.06514910143122937
