quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,L2,low,0.5,per_task,262,103,0.5379876796714579,0.007196255152658423,0.7178082191780822,51,87,0.3695652173913043,0.1946564885496183,0.5454527627259871,1.3159860362439477
mobility,adjacent_query,L2,low,0.5,global,318,2345,0.6529774127310062,0.1638370711940194,0.1194141945174615,232,2313,0.09115913555992142,0.7295597484276729,0.08888362136282589,1.3434893030517827
mobility,adjacent_query,L2,low,0.6,per_task,250,59,0.5133470225872689,0.004122126737930553,0.8090614886731392,46,44,0.5111111111111111,0.184,0.6163959141186259,1.3125678969335846
mobility,adjacent_query,L2,low,0.6,global,304,1947,0.6242299794661191,0.13603018235170825,0.13505108840515326,197,1902,0.09385421629347308,0.6480263157894737,0.10112057408431863,1.3355451116460428
mobility,adjacent_query,L2,low,0.7,per_task,243,31,0.4989733059548255,0.0021658632012855447,0.8868613138686131,41,18,0.6949152542372882,0.16872427983539096,0.6758079687243,1.31229780486713
mobility,adjacent_query,L2,low,0.7,global,295,1695,0.6057494866529775,0.11842381052190316,0.14824120603015076,167,1635,0.09267480577136515,0.5661016949152542,0.1127064762858793,1.3152856066064724
mobility,adjacent_query,L2,low,0.75,per_task,234,20,0.4804928131416838,0.0013973310976035773,0.9212598425196851,38,9,0.8085106382978723,0.1623931623931624,0.7053809139207181,1.3060458885952093
mobility,adjacent_query,L2,low,0.75,global,286,1600,0.5872689938398358,0.11178648780828618,0.15164369034994699,147,1517,0.08834134615384616,0.513986013986014,0.12406000633238644,1.2223414687216545
mobility,adjacent_query,L2,low,0.8,per_task,226,14,0.46406570841889117,0.000978131768322504,0.9416666666666667,35,4,0.8974358974358975,0.15486725663716813,0.7290488246129954,1.2916373154658556
mobility,adjacent_query,L2,low,0.8,global,265,1449,0.5441478439425051,0.10123663802137917,0.15460910151691948,95,1342,0.06610995128740431,0.3584905660377358,0.15341566656237654,1.0077790944124843
mobility,adjacent_query,L2,low,0.85,per_task,206,14,0.42299794661190965,0.000978131768322504,0.9363636363636364,28,4,0.875,0.13592233009708737,0.7295016672785644,1.2835661361224562
mobility,adjacent_query,L2,low,0.85,global,142,918,0.2915811088295688,0.0641374973800042,0.1339622641509434,26,887,0.028477546549835708,0.18309859154929578,0.15902029680719815,0.8424224255685047
mobility,adjacent_query,L2,low,0.9,per_task,182,10,0.3737166324435318,0.0006986655488017886,0.9479166666666666,26,1,0.9629629629629629,0.14285714285714285,0.7410600153183262,1.2791361658603104
mobility,adjacent_query,L2,low,0.9,global,72,387,0.14784394250513347,0.02703835673862922,0.1568627450980392,14,382,0.03535353535353535,0.19444444444444445,0.1703718235168198,0.9207082595001579
mobility,adjacent_query,L2,low,0.925,per_task,170,7,0.3490759753593429,0.000489065884161252,0.96045197740113,26,1,0.9629629629629629,0.15294117647058825,0.7391432899120568,1.2994124285636206
mobility,adjacent_query,L2,low,0.925,global,50,198,0.1026694045174538,0.013833577866275414,0.20161290322580644,5,195,0.025,0.1,0.20776485014815926,0.9703898570043691
mobility,adjacent_query,L2,low,0.95,per_task,139,5,0.28542094455852157,0.0003493327744008943,0.9652777777777778,24,0,1.0,0.17266187050359713,0.7208406929131362,1.3391000081818314
mobility,adjacent_query,L2,low,0.95,global,33,66,0.06776180698151951,0.004611192622091804,0.3333333333333333,3,64,0.04477611940298507,0.09090909090909091,0.2964090082263497,1.1245722096232202
mobility,adjacent_query,L2,low,0.96,per_task,129,4,0.2648870636550308,0.00027946621952071543,0.9699248120300752,22,0,1.0,0.17054263565891473,0.7235292064616594,1.3405468685547424
mobility,adjacent_query,L2,low,0.96,global,20,19,0.04106776180698152,0.0013274645427233983,0.5128205128205128,1,18,0.05263157894736842,0.05,0.41400413070200015,1.238684531845023
mobility,adjacent_query,L2,low,0.975,per_task,96,2,0.1971252566735113,0.00013973310976035772,0.9795918367346939,7,0,1.0,0.07291666666666667,0.7903499357657046,1.2394406482562037
mobility,adjacent_query,L2,low,0.975,global,11,6,0.022587268993839837,0.00041919932928107315,0.6470588235294118,1,5,0.16666666666666666,0.09090909090909091,0.5790269753932806,1.1174934001821302
mobility,adjacent_query,L2,low,0.98,per_task,84,2,0.17248459958932238,0.00013973310976035772,0.9767441860465116,5,0,1.0,0.05952380952380952,0.7917843225202825,1.2335987948555158
mobility,adjacent_query,L2,low,0.98,global,10,3,0.02053388090349076,0.00020959966464053657,0.7692307692307693,1,2,0.3333333333333333,0.1,0.6956268954855549,1.1058094133836474
mobility,adjacent_query,L2,low,0.99,per_task,36,1,0.07392197125256673,6.986655488017886e-05,0.972972972972973,4,0,1.0,0.1111111111111111,0.7427484708202488,1.309962943307682
mobility,adjacent_query,L2,low,0.99,global,6,1,0.012320328542094456,6.986655488017886e-05,0.8571428571428571,0,0,0.0,0.0,0.8820734845668314,0.9717363373231684
mobility,adjacent_query,L2,low,0.995,per_task,21,1,0.043121149897330596,6.986655488017886e-05,0.9545454545454546,2,0,1.0,0.09523809523809523,0.720730701508124,1.3244134772503444
mobility,adjacent_query,L2,low,0.995,global,4,1,0.008213552361396304,6.986655488017886e-05,0.8,0,0,0.0,0.0,0.8852746919744625,0.9036743140320989
mobility,adjacent_query,L2,high,0.5,per_task,43,416,0.08829568788501027,0.029064486830154404,0.09368191721132897,35,408,0.07900677200902935,0.813953488372093,0.054884658527432524,1.706887128841382
