quantity,frame,mode,feasible,representation,direction,quantile,dev_low_prior_tp,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,per_task,True,L2,low,0.7,41,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383
mobility,adjacent_query,global,True,L12,low,0.975,18,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853
conditional_query_d1,adjacent_query,per_task,True,front_median,low,0.95,22,155,22,0.274822695035461,0.0014631550944400106,0.8757062146892656,37,12,0.7551020408163265,0.23870967741935484,0.6080416798227896,1.4402075445625462
conditional_query_d1,adjacent_query,global,True,L5,low,0.95,24,194,31,0.34397163120567376,0.0020617185421654693,0.8622222222222222,38,10,0.7916666666666666,0.1958762886597938,0.4994217760998185,1.7264409833220637
partial_query_d1,adjacent_query,per_task,True,all_median,low,0.9,26,156,20,0.2765957446808511,0.0013301409949454642,0.8863636363636364,42,12,0.7777777777777778,0.2692307692307692,0.6422757645658748,1.3800359366863932
partial_query_d1,adjacent_query,global,True,L3,high,0.925,30,65,173,0.11524822695035461,0.011505719606278265,0.27310924369747897,37,168,0.18048780487804877,0.5692307692307692,0.15404120866125848,1.772962222713111
flow_path,denoising_steps,per_task,True,L3,high,0.96,38,153,37,0.2712765957446808,0.0024607608406491087,0.8052631578947368,43,21,0.671875,0.28104575163398693,0.58461568341509,1.37742311870717
flow_path,denoising_steps,global,True,L15,high,0.99,2,50,4,0.08865248226950355,0.00026602819898909286,0.9259259259259259,3,4,0.42857142857142855,0.06,0.7499984373666172,1.2345704734759482
flow_endpoint,denoising_steps,per_task,True,L12,high,0.96,36,162,39,0.2872340425531915,0.0025937749401436553,0.8059701492537313,42,23,0.6461538461538462,0.25925925925925924,0.5578528296792264,1.4447720014563268
flow_endpoint,denoising_steps,global,True,back_median,high,0.99,5,59,9,0.10460992907801418,0.0005985634477254589,0.8676470588235294,5,7,0.4166666666666667,0.0847457627118644,0.7899495654019094,1.0983575367651341
flow_settling_log_ratio,denoising_steps,per_task,True,front_median,high,0.85,70,304,87,0.5390070921985816,0.00578611332801277,0.7774936061381074,83,62,0.5724137931034483,0.2730263157894737,0.5501162247905625,1.4133260774741025
flow_settling_log_ratio,denoising_steps,global,True,L12,low,0.95,2,3,2,0.005319148936170213,0.00013301409949454643,0.6,3,2,0.6,1.0,0.13219577022243054,4.538723130024882
action_consensus,token_graph,per_task,True,L2,low,0.95,34,101,34,0.17907801418439717,0.002261239691407289,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.49748101671935324,1.5038727569582924
action_consensus,token_graph,global,True,L15,high,0.975,13,15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053
state_action_alignment,token_graph,per_task,True,L4,high,0.95,15,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.39168403645985306,1.9278346078158923
state_action_alignment,token_graph,global,True,L14,high,0.975,2,33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.5457194138418074,1.4748935595203234
conditional_energy,token_graph,per_task,True,L4,low,0.95,15,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327506
conditional_energy,token_graph,global,True,L14,low,0.975,2,33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.547199161584969,1.4709051206313053
conditional_effective_rank,token_graph,per_task,True,L13,low,0.9,26,103,10,0.18262411347517732,0.0006650704974727321,0.911504424778761,25,7,0.78125,0.24271844660194175,0.6906157065227762,1.3198431720705444
conditional_effective_rank,token_graph,global,True,L3,high,0.925,27,88,158,0.15602836879432624,0.010508113860069168,0.35772357723577236,46,155,0.22885572139303484,0.5227272727272727,0.18227520306494632,1.962546584618601
partial_edge_std,token_graph,per_task,True,L15,low,0.9,24,103,14,0.18262411347517732,0.000931098696461825,0.8803418803418803,29,10,0.7435897435897436,0.2815533980582524,0.6360839097041088,1.384002750126779
partial_edge_std,token_graph,global,True,L3,high,0.9,52,99,147,0.17553191489361702,0.009776536312849162,0.4024390243902439,55,143,0.2777777777777778,0.5555555555555556,0.20027358768763975,2.0094463230863724
expert_load_effective_rank,expert_load,per_task,True,L3,low,0.85,58,370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162688757758398,1.5479067335088585
expert_load_effective_rank,expert_load,global,True,L3,low,0.925,12,237,36,0.42021276595744683,0.0023942537909018356,0.8681318681318682,30,22,0.5769230769230769,0.12658227848101267,0.6711226645210323,1.293551706753098
