rule,group,alarms,tp,fp,recall,precision,matched_prior,net_gain,lift
front_lock,all,276,240,36,0.425531914893617,0.8695652173913043,0.6236602119207122,0.24590500547059213,1.3942932397647563
front_lock,libero_goal,65,64,1,,0.9846153846153847,0.6522078407905092,0.3324075438248755,1.5096650531247533
front_lock,libero_long,112,82,30,,0.7321428571428571,0.3436373071660571,0.3885055499768,2.130568602055367
front_lock,libero_object,16,15,1,,0.9375,0.7643437930066354,0.17315620699336465,1.226542308026385
front_lock,libero_spatial,83,79,4,,0.9518072289156626,0.9520461415425169,-0.00023891262685427073,0.999749053521222
front_lock,"prior[0.00,0.25)",86,62,24,,0.7209302325581395,0.11951463835723695,0.6014155942009025,6.032150056825948
front_lock,"prior[0.25,0.75)",45,37,8,,0.8222222222222222,0.4815513925549428,0.3406708296672794,1.7074443869008444
front_lock,"prior[0.75,1.01)",145,141,4,,0.9724137931034482,0.9667734270787707,0.0056403660246775456,1.005834217063372
back_lock,all,555,409,146,0.725177304964539,0.736936936936937,0.5250742644682098,0.21186267246872714,1.4034908713023664
back_lock,libero_goal,96,85,11,,0.8854166666666666,0.6690244400940584,0.21639222657260826,1.323444426846627
back_lock,libero_long,325,202,123,,0.6215384615384615,0.3354741848357545,0.286064276702707,1.8527162137461093
back_lock,libero_object,19,18,1,,0.9473684210526315,0.6727480284362243,0.27462039261640725,1.4082069080971538
back_lock,libero_spatial,115,104,11,,0.9043478260869565,0.9163351992949422,-0.011987373207985708,0.986918135178907
back_lock,"prior[0.00,0.25)",191,70,121,,0.36649214659685864,0.09761281990273663,0.268879326694122,3.7545493200794606
back_lock,"prior[0.25,0.75)",167,149,18,,0.8922155688622755,0.4970170136941563,0.3951985551681192,1.7951408991630777
back_lock,"prior[0.75,1.01)",197,190,7,,0.9644670050761421,0.9633011517335512,0.0011658533425908946,1.0012102688141635
all_lock,all,458,382,76,0.6773049645390071,0.834061135371179,0.5793810303810997,0.2546801049900793,1.4395727364814797
all_lock,libero_goal,84,81,3,,0.9642857142857143,0.7219767701430223,0.242308944142692,1.335618754180541
all_lock,libero_long,260,191,69,,0.7346153846153847,0.38315783332286735,0.3514575512925173,1.917265734187306
all_lock,libero_object,18,17,1,,0.9444444444444444,0.7200926639612875,0.22435178048315696,1.3115595974120606
all_lock,libero_spatial,96,93,3,,0.96875,0.9596641521591781,0.009085847840821892,1.0094677370415257
all_lock,"prior[0.00,0.25)",117,65,52,,0.5555555555555556,0.10932856381048424,0.44622699174507136,5.0815224877424
all_lock,"prior[0.25,0.75)",160,141,19,,0.88125,0.4878416769339854,0.3934083230660146,1.80642622733369
all_lock,"prior[0.75,1.01)",181,176,5,,0.9723756906077348,0.9641458654103833,0.008229825197351492,1.0085358714823183
L5_switching,all,39,34,5,0.06028368794326241,0.8717948717948718,0.5912943010533122,0.28050057074155965,1.4743840254199732
L5_switching,libero_goal,15,13,2,,0.8666666666666667,0.5274673015797448,0.33919936508692194,1.6430718341611557
L5_switching,libero_long,7,5,2,,0.7142857142857143,0.6422974202518275,0.07198829403388685,1.1120793759465237
L5_switching,libero_object,15,14,1,,0.9333333333333333,0.596337946829965,0.33699538650336835,1.5651080705073033
L5_switching,libero_spatial,2,2,0,,1.0,0.8536585365853658,0.14634146341463417,1.1714285714285715
L5_switching,"prior[0.00,0.25)",13,11,2,,0.8461538461538461,0.16695740199482964,0.6791964441590165,5.068082253580167
L5_switching,"prior[0.25,0.75)",9,6,3,,0.6666666666666666,0.5903095545035622,0.07635711216310448,1.1293509677770999
L5_switching,"prior[0.75,1.01)",17,17,0,,1.0,0.916308560271431,0.08369143972856896,1.0913354336707033
v4,all,491,410,81,0.7269503546099291,0.835030549898167,0.5753389203059673,0.2596916295921997,1.4513715662658364
v4,libero_goal,93,88,5,,0.946236559139785,0.6734675100034104,0.27276904913637456,1.405021838596183
v4,libero_long,267,196,71,,0.7340823970037453,0.3899517550775592,0.34413064192618614,1.8824954303840498
v4,libero_object,33,31,2,,0.9393939393939394,0.6638405198106864,0.2755534195832531,1.4150897864171281
v4,libero_spatial,98,95,3,,0.9693877551020408,0.9575007722495086,0.011886982852532202,1.0124145934886355
v4,"prior[0.00,0.25)",130,76,54,,0.5846153846153846,0.11509144762891879,0.4695239369864659,5.079572780249656
v4,"prior[0.25,0.75)",169,147,22,,0.8698224852071006,0.493298546153667,0.3765239390534336,1.7632780229928815
v4,"prior[0.75,1.01)",192,187,5,,0.9739583333333334,0.959177434263025,0.014780899070308329,1.0154099737361577
