cohort,budget,family,n_sole_catches,share_of_sole,detector
development_main,0.002,2,55,0.3873239436619718,moe-combination-rules-0906::conditional_query_d1|global|0.95
development_main,0.002,5,24,0.16901408450704225,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.9
development_main,0.002,3,19,0.13380281690140844,moe-combination-rules-0906::flow_path|global|0.975
development_main,0.002,9,18,0.1267605633802817,moe-combination-rules-0906::mobility|per_task|0.7
development_main,0.002,4,17,0.11971830985915492,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.95
development_main,0.002,6,4,0.028169014084507043,moe-failure-modes-0906::v7_turbulence|task_agnostic
development_main,0.002,1,3,0.02112676056338028,moe-combination-rules-0906::conditional_energy|global|0.95
development_main,0.002,7,2,0.014084507042253521,moe-combination-rules-0906::conditional_energy|per_task|0.925
external_8b,0.002,2,55,0.39855072463768115,moe-combination-rules-0906::conditional_query_d1|global|0.95
external_8b,0.002,3,23,0.16666666666666666,moe-combination-rules-0906::flow_path|global|0.975
external_8b,0.002,5,20,0.14492753623188406,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.9
external_8b,0.002,9,14,0.10144927536231885,moe-combination-rules-0906::mobility|per_task|0.7
external_8b,0.002,4,13,0.09420289855072464,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.95
external_8b,0.002,6,12,0.08695652173913043,moe-failure-modes-0906::v7_turbulence|task_agnostic
external_8b,0.002,7,1,0.007246376811594203,moe-combination-rules-0906::conditional_energy|per_task|0.925
development_main,0.005,5,40,0.273972602739726,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.8
development_main,0.005,9,30,0.2054794520547945,moe-failure-modes-0906::v7_guard|task_agnostic
development_main,0.005,2,27,0.18493150684931506,moe-combination-rules-0906::conditional_query_d1|global|0.925
development_main,0.005,3,23,0.15753424657534246,moe-combination-rules-0906::flow_path|global|0.95
development_main,0.005,4,17,0.11643835616438356,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.85
development_main,0.005,1,7,0.04794520547945205,moe-combination-rules-0906::conditional_energy|global|0.9
development_main,0.005,7,2,0.0136986301369863,moe-combination-rules-0906::state_action_alignment|per_task|0.9
external_8b,0.005,5,42,0.2916666666666667,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.8
external_8b,0.005,3,29,0.2013888888888889,moe-combination-rules-0906::flow_path|global|0.95
external_8b,0.005,9,25,0.1736111111111111,moe-failure-modes-0906::v7_guard|task_agnostic
external_8b,0.005,2,23,0.1597222222222222,moe-combination-rules-0906::conditional_query_d1|global|0.925
external_8b,0.005,4,16,0.1111111111111111,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.85
external_8b,0.005,1,9,0.0625,moe-combination-rules-0906::conditional_energy|global|0.9
development_main,0.01,5,44,0.3055555555555556,moe-combination-rules-0906::expert_load_effective_rank|per_task|0.7
development_main,0.01,2,30,0.20833333333333334,moe-combination-rules-0906::conditional_query_d1|global|0.9
development_main,0.01,3,27,0.1875,moe-combination-rules-0906::flow_path|global|0.925
development_main,0.01,9,22,0.1527777777777778,moe-failure-modes-0906::v7_guard|task_agnostic
development_main,0.01,4,14,0.09722222222222222,moe-combination-rules-0906::flow_settling_log_ratio|per_task|0.7
