band,model,blocks,baseline,nested,n_rows,n_episodes,n_tasks,positive_rate,logloss,logloss_ci_lo,logloss_ci_hi,decrement,decrement_ci_lo,decrement_ci_hi,decrement_excludes_zero
all,S0,S0,,True,221781,14800,37,0.08301883389469793,0.2206163410726207,0.12418966085380916,0.3469265312049186,,,,False
all,S1,S0+S1,S0,True,221781,14800,37,0.08301883389469793,0.20946482940812308,0.12116814602772627,0.32311228254952173,0.011151511664497639,-6.304389922093462e-05,0.02434415632809389,False
all,S2,S0+S1+S2,S1,True,221781,14800,37,0.08301883389469793,0.2073080668626932,0.12003815388008862,0.31888614629825013,0.002156762545429851,0.000648554983405683,0.004093676550501375,True
all,S3,S0+S1+S2+S3,S2,True,221781,14800,37,0.08301883389469793,0.20661113291006555,0.11880189629646981,0.31929464963108234,0.0006969339526276542,-0.0009038458058969884,0.0024782316149726917,False
all,S4,S0+S1+S2+S3+S4,S3,True,221781,14800,37,0.08301883389469793,0.20808295039253433,0.11791646496546071,0.32185712994019744,-0.0014718174824687664,-0.0059037669068793125,0.003622282435994961,False
all,S5,S0+S1+S2+S3+S4+S5,S4,True,221781,14800,37,0.08301883389469793,0.20564101596106837,0.11366754855261965,0.3252656954072894,0.002441934431465951,-0.003568499994314868,0.007309145831082522,False
all,S4_shuffled,S0+S1+S2+S3+S4shuf,S3,False,221781,14800,37,0.08301883389469793,0.20787398088266407,0.11756368061867234,0.3218912380309755,-0.0012628479725985016,-0.005967345891355487,0.004026771848271919,False
all,S5_raw_graph,S0+S1+S2+S3+S4+S5raw,S4,False,221781,14800,37,0.08301883389469793,0.20464062914955639,0.1127508207028518,0.3238721385545922,0.003442321242977945,-0.001982656283193601,0.0081211178790591,False
all,S5_utilisation_only,S0+S1+S2+S3+S4+S5util,S4,False,221781,14800,37,0.08301883389469793,0.2066032547172028,0.117494607173554,0.31827769351422325,0.001479695675331529,-0.0007501675514873171,0.004123257261486333,False
low_prior,S0,S0,,True,205292,14800,37,0.04609044677824757,0.18975866496126645,0.11329529796837738,0.29774785231086215,,,,False
low_prior,S1,S0+S1,S0,True,205292,14800,37,0.04609044677824757,0.18955104020393618,0.11309380635138386,0.2949390729863498,0.00020762475733028377,-0.004434872650443566,0.004814110313724749,False
low_prior,S2,S0+S1+S2,S1,True,205292,14800,37,0.04609044677824757,0.1878180137067856,0.11212407909577385,0.2916600378262329,0.001733026497150549,0.000475444773836204,0.0035046768245855084,True
low_prior,S3,S0+S1+S2+S3,S2,True,205292,14800,37,0.04609044677824757,0.18840049685080532,0.11176883319214413,0.29504410747195703,-0.0005824831440196924,-0.003249269318623356,0.0019101961564309139,False
low_prior,S4,S0+S1+S2+S3+S4,S3,True,205292,14800,37,0.04609044677824757,0.18971927186220777,0.10982174117328188,0.3003353427416965,-0.0013187750114024642,-0.006377639519875327,0.0039754987649988525,False
low_prior,S5,S0+S1+S2+S3+S4+S5,S4,True,205292,14800,37,0.04609044677824757,0.18917385759605007,0.10658023392549963,0.30747313382446545,0.0005454142661577027,-0.006716500056594928,0.00593185265024633,False
low_prior,S4_shuffled,S0+S1+S2+S3+S4shuf,S3,False,205292,14800,37,0.04609044677824757,0.18931299973746335,0.10950839531985673,0.29992910626301206,-0.0009125028866580475,-0.005949193399866309,0.0044401015818667676,False
low_prior,S5_raw_graph,S0+S1+S2+S3+S4+S5raw,S4,False,205292,14800,37,0.04609044677824757,0.18968494024245622,0.10570883948592993,0.3089259476914492,3.433161975157226e-05,-0.008349937115831485,0.005981619922663344,False
low_prior,S5_utilisation_only,S0+S1+S2+S3+S4+S5util,S4,False,205292,14800,37,0.04609044677824757,0.1892804217719502,0.10926670168594489,0.2983431622610254,0.00043885009025757573,-0.0011382390652797704,0.001973577495457338,False
high_prior,S0,S0,,True,16489,2248,34,0.5427860998241252,0.6048018007276372,0.41791753279689176,0.6934016414176578,,,,False
high_prior,S1,S0+S1,S0,True,16489,2248,34,0.5427860998241252,0.457396275420981,0.3330557800815329,0.5219495655731571,0.14740552530665627,0.07063950364724708,0.17652822886953376,True
high_prior,S2,S0+S1+S2,S1,True,16489,2248,34,0.5427860998241252,0.44996389756695115,0.32189066741393924,0.5141856718933484,0.007432377854029797,0.0017225740234578474,0.018209982266648852,True
high_prior,S3,S0+S1+S2+S3,S2,True,16489,2248,34,0.5427860998241252,0.43333791427203955,0.3147988331702366,0.4911679694426206,0.016625983294911644,0.0024041007239856303,0.023323596443829198,True
high_prior,S4,S0+S1+S2+S3+S4,S3,True,16489,2248,34,0.5427860998241252,0.4367151471811637,0.32424957541572674,0.486589674624609,-0.0033772329091242043,-0.045275134830699344,0.014670654769568995,False
high_prior,S5,S0+S1+S2+S3+S4+S5,S4,True,16489,2248,34,0.5427860998241252,0.41066108237330573,0.2942846668399599,0.4653166771844293,0.02605406480785803,0.010449487586754572,0.06038801027860787,True
high_prior,S4_shuffled,S0+S1+S2+S3+S4shuf,S3,False,16489,2248,34,0.5427860998241252,0.438962642491044,0.3230543714084968,0.49008993380567323,-0.005624728219004455,-0.042599494013074904,0.011534626118057808,False
high_prior,S5_raw_graph,S0+S1+S2+S3+S4+S5raw,S4,False,16489,2248,34,0.5427860998241252,0.39084253873269464,0.28129999109458714,0.4407718808039919,0.04587260844846912,0.030791088221557707,0.07158139642793022,True
high_prior,S5_utilisation_only,S0+S1+S2+S3+S4+S5util,S4,False,16489,2248,34,0.5427860998241252,0.4222766746333142,0.31691884692384903,0.47308634917576425,0.014438472547849527,-0.014082532735900996,0.025198470066143362,False
low_prior_window_defined,S0,S0,,True,146092,14800,37,0.05143334337266928,0.20671834260079727,0.12025859336464038,0.33026641511434535,,,,False
low_prior_window_defined,S1,S0+S1,S0,True,146092,14800,37,0.05143334337266928,0.2055559894935798,0.12014030178220488,0.3252997607251419,0.0011623531072174696,-0.005376595798300159,0.007655633923766969,False
low_prior_window_defined,S2,S0+S1+S2,S1,True,146092,14800,37,0.05143334337266928,0.20311464080836403,0.1186317975798323,0.32043641265345163,0.0024413486852157763,0.0007865189213835562,0.004747761648905988,True
low_prior_window_defined,S3,S0+S1+S2+S3,S2,True,146092,14800,37,0.05143334337266928,0.20275635998101163,0.11733314370318822,0.32139094504438953,0.0003582808273523902,-0.001996248596687547,0.002976761849715179,False
low_prior_window_defined,S4,S0+S1+S2+S3+S4,S3,True,146092,14800,37,0.05143334337266928,0.20481037883249845,0.11428352653717101,0.3287702798059827,-0.0020540188514868007,-0.009255703934973474,0.005552584548103261,False
low_prior_window_defined,S5,S0+S1+S2+S3+S4+S5,S4,True,146092,14800,37,0.05143334337266928,0.20301901199883357,0.10913341009910787,0.33617205840040576,0.0017913668336648593,-0.007307046441587757,0.008938191146508054,False
low_prior_window_defined,S4_shuffled,S0+S1+S2+S3+S4shuf,S3,False,146092,14800,37,0.05143334337266928,0.20426044483074052,0.1139201129105352,0.32818816987570004,-0.001504084849728886,-0.008774085707385621,0.006043833878205164,False
low_prior_window_defined,S5_raw_graph,S0+S1+S2+S3+S4+S5raw,S4,False,146092,14800,37,0.05143334337266928,0.20396433765474076,0.10874061214997896,0.339073820200217,0.0008460411777576976,-0.010437351396981123,0.009377576028977349,False
low_prior_window_defined,S5_utilisation_only,S0+S1+S2+S3+S4+S5util,S4,False,146092,14800,37,0.05143334337266928,0.20446115182768923,0.11398987341904049,0.32846406284342583,0.0003492270048092211,-0.0015668322224414145,0.0024138199397872127,False
