cohort,channel,risk_total,detected,earlier_than_clock,share_earlier,share_earlier_ci95,median_lead_chunks_when_earlier,median_lead_env_steps_when_earlier
development_main,v4,487,372,196,0.4024640657084189,"[0.20831505847953216, 0.5463325222940608]",10.0,100.0
development_main,v7_freeze,487,309,169,0.3470225872689938,"[0.15857339911931667, 0.48264923689065864]",12.0,120.0
development_main,v7_turbulence,487,138,70,0.1437371663244353,"[0.03956697863593623, 0.2519631460392939]",11.5,115.0
development_main,v7_guard,487,382,207,0.42505133470225875,"[0.17438330856246387, 0.6044660072841533]",12.0,120.0
development_main,progress_ratio,487,36,25,0.0513347022587269,"[0.016411435574976024, 0.13240604246701806]",10.0,100.0
external_8b,v4,564,410,230,0.4078014184397163,"[0.2174693990678311, 0.5399266246841034]",9.0,90.0
external_8b,v7_freeze,564,343,204,0.3617021276595745,"[0.15606671262661082, 0.5055090423576785]",12.0,120.0
external_8b,v7_turbulence,564,167,68,0.12056737588652482,"[0.021948073945025164, 0.24812617100031975]",12.5,125.0
external_8b,v7_guard,564,439,250,0.4432624113475177,"[0.18181818181818182, 0.6187404088429628]",12.0,120.0
external_8b,progress_ratio,564,43,33,0.05851063829787234,"[0.024575487208178128, 0.1279093023255814]",8.0,80.0
