channel,quantile,cohort,tp,fp,recall,precision,timely_fpr,median_alarm_chunk,share_earlier_than_clock,share_earlier_ci95,median_lead_env_steps,clock_fp,guard_fp,shared_fp,guard_only_fp
clock_only,,development_main,487,60,1.0,0.8903107861060329,0.004191993292810731,21.0,0.0,"[0.0, 0.0]",,,,,
v7_guard_only,,development_main,382,67,0.784394250513347,0.8507795100222717,0.0046810591769719835,25.0,0.42505133470225875,"[0.15789168396629624, 0.6002602694554362]",120.0,,,,
clock_OR_v7guard,,development_main,487,118,1.0,0.8049586776859504,0.008244253475861106,21.0,0.42505133470225875,"[0.15789168396629624, 0.6002602694554362]",120.0,60.0,67.0,9.0,58.0
clock_OR_freeze,0.8,development_main,487,2751,1.0,0.15040148239654108,0.19220289247537203,15.0,0.5154004106776181,"[0.21408063184812337, 0.720006559667416]",160.0,,,,
clock_OR_freeze,0.9,development_main,487,1201,1.0,0.28850710900473936,0.08390973241109481,21.0,0.45790554414784396,"[0.1880145282456895, 0.6391144620884603]",140.0,,,,
clock_OR_freeze,0.95,development_main,487,438,1.0,0.5264864864864864,0.03060155103751834,21.0,0.41478439425051333,"[0.16814763743335173, 0.5782445560808388]",130.0,,,,
clock_OR_freeze,0.9725,development_main,487,129,1.0,0.7905844155844156,0.009012785579543072,21.0,0.35523613963039014,"[0.14685812049370647, 0.49671133056243544]",120.0,,,,
clock_OR_freeze,0.98,development_main,487,76,1.0,0.8650088809946714,0.005309858170893593,21.0,0.30184804928131415,"[0.11034309912712817, 0.43686752830153486]",110.0,,,,
clock_OR_freeze,0.99,development_main,487,61,1.0,0.8886861313868614,0.00426185984769091,21.0,0.19096509240246407,"[0.034636073267368686, 0.3096992282989023]",90.0,,,,
clock_OR_freeze,0.995,development_main,487,60,1.0,0.8903107861060329,0.004191993292810731,21.0,0.10882956878850103,"[0.019186716237215858, 0.18021609329029822]",70.0,,,,
clock_only,,external_8b,564,55,1.0,0.9111470113085622,0.0036578877361000267,21.0,0.0,"[0.0, 0.0]",,,,,
v7_guard_only,,external_8b,439,80,0.7783687943262412,0.8458574181117534,0.005320563979781857,25.0,0.4432624113475177,"[0.1748692570725416, 0.6165002618998818]",120.0,,,,
clock_OR_v7guard,,external_8b,564,118,1.0,0.8269794721407625,0.007847831870178238,21.0,0.4432624113475177,"[0.1748692570725416, 0.6165002618998818]",120.0,55.0,80.0,17.0,63.0
clock_OR_freeze,0.8,external_8b,564,2425,1.0,0.18869187019069922,0.16127959563713753,15.0,0.549645390070922,"[0.26470199190787425, 0.7410506520627345]",160.0,,,,
clock_OR_freeze,0.9,external_8b,564,987,1.0,0.36363636363636365,0.06564245810055866,21.0,0.46631205673758863,"[0.2015838221502023, 0.6468085220708738]",140.0,,,,
clock_OR_freeze,0.95,external_8b,564,350,1.0,0.6170678336980306,0.023277467411545624,21.0,0.4166666666666667,"[0.1782667054394074, 0.576277404683225]",130.0,,,,
clock_OR_freeze,0.9725,external_8b,564,115,1.0,0.8306332842415317,0.007648310720936419,21.0,0.37056737588652483,"[0.15681445406632358, 0.5128684762106416]",120.0,,,,
clock_OR_freeze,0.98,external_8b,564,72,1.0,0.8867924528301887,0.004788507581803671,21.0,0.3102836879432624,"[0.11988369467028004, 0.4424286873840445]",110.0,,,,
clock_OR_freeze,0.99,external_8b,564,58,1.0,0.9067524115755627,0.0038574088853418464,21.0,0.21099290780141844,"[0.051161676201798054, 0.3317291859798868]",80.0,,,,
clock_OR_freeze,0.995,external_8b,564,56,1.0,0.9096774193548387,0.0037243947858473,21.0,0.1099290780141844,"[0.012281838345668133, 0.18217825845560853]",60.0,,,,
