candidate,cohort,quantile,cut,tp,fp,recall,timely_fpr,earlier_than_clock,share_earlier,share_earlier_ci95,median_lead_env_steps
guard,development_main,,,382,67,0.784394250513347,0.0046810591769719835,207,0.42505133470225875,"[0.15789168396629624, 0.6002602694554362]",120.0
guard,external_8b,,,439,80,0.7783687943262412,0.005320563979781857,250,0.4432624113475177,"[0.1748692570725416, 0.6165002618998818]",120.0
freeze_only,development_main,0.9725,0.544162392616272,323,77,0.6632443531827515,0.0053797247257737725,173,0.35523613963039014,"[0.14685812049370647, 0.49671133056243544]",120.0
freeze_only,external_8b,0.9725,0.544162392616272,354,74,0.6276595744680851,0.004921521681298217,209,0.37056737588652483,"[0.15681445406632358, 0.5128684762106416]",120.0
turbulence_only,development_main,0.9275,0.6804947257041931,189,69,0.38809034907597534,0.004820792286732341,97,0.19917864476386038,"[0.0478970630168235, 0.32478629678170956]",120.0
turbulence_only,external_8b,0.9275,0.6804947257041931,226,76,0.40070921985815605,0.005054535780792764,104,0.18439716312056736,"[0.06162249515190692, 0.31797949038587714]",125.0
fused_max,development_main,0.9875,2.6292219161987305,133,63,0.2731006160164271,0.004401592957451268,34,0.06981519507186858,"[0.01345141335682255, 0.15916424392520007]",140.0
fused_max,external_8b,0.9875,2.6292219161987305,144,65,0.2553191489361702,0.004322958233572758,54,0.09574468085106383,"[0.03782755768023438, 0.1876773611293735]",60.0
shared_q,development_main,0.9725,0.9725,343,77,0.704312114989733,0.0053797247257737725,179,0.3675564681724846,"[0.15266981516842476, 0.5117607827690545]",120.0
shared_q,external_8b,0.9725,0.9725,382,77,0.6773049645390071,0.005121042830540037,217,0.38475177304964536,"[0.1649661074656432, 0.5255111351109787]",120.0
