cohort,subset,base,candidate,structurally_nested,subset_episodes,base_detects,base_misses,candidate_detects,both_detect,candidate_only,candidate_only_frac_of_base_misses,candidate_only_ci_low,candidate_only_ci_high,earlier,earlier_frac_of_base_detects,redundant,redundant_frac_of_base_detects,later,later_frac_of_base_detects,base_only,base_only_frac_of_base_detects,redundant_frac_of_both_detect,median_lead_gain_chunks,median_lead_gain_steps,timely_episodes,base_timely_alarms,candidate_timely_alarms,added_false_alarms,added_false_alarms_frac_timely,added_false_alarms_frac_base_silent_timely,added_false_alarms_ci_low,added_false_alarms_ci_high
development_main,all_risk,v4,v7_freeze,False,487,372,115,309,291,18,0.1565217391304348,0.02702702702702703,0.24561403508771928,97,0.260752688172043,163,0.4381720430107527,31,0.08333333333333333,81,0.21774193548387097,0.5601374570446735,1.0,10.0,14313.0,67.0,52.0,15.0,0.0010479983232026828,0.001052927137442089,0.0002762025608547204,0.0020216887548881427
development_main,loop,v4,v7_freeze,False,256,171,85,113,106,7,0.08235294117647059,0.0,0.11764705882352941,18,0.10526315789473684,71,0.4152046783625731,17,0.09941520467836257,65,0.38011695906432746,0.6698113207547169,0.0,0.0,,,,,,,,
development_main,static,v4,v7_freeze,False,135,132,3,130,129,1,0.3333333333333333,0.0,1.0,75,0.5681818181818182,48,0.36363636363636365,6,0.045454545454545456,3,0.022727272727272728,0.37209302325581395,2.0,20.0,,,,,,,,
development_main,pure_phantom,v4,v7_freeze,False,22,12,10,15,12,3,0.3,0.0,0.5,2,0.16666666666666666,9,0.75,1,0.08333333333333333,0,0.0,0.75,1.0,10.0,,,,,,,,
development_main,all_risk,v4,v7_turbulence,False,487,372,115,138,85,53,0.4608695652173913,0.30900252525252525,0.5926587301587297,25,0.06720430107526881,23,0.06182795698924731,37,0.09946236559139784,287,0.771505376344086,0.27058823529411763,0.0,0.0,14313.0,67.0,24.0,14.0,0.000978131768322504,0.0009827319949459498,0.0001372299787166759,0.002264388607341656
development_main,loop,v4,v7_turbulence,False,256,171,85,79,39,40,0.47058823529411764,0.2856227106227106,0.6786071428571427,11,0.06432748538011696,13,0.07602339181286549,15,0.08771929824561403,132,0.7719298245614035,0.3333333333333333,0.0,0.0,,,,,,,,
development_main,static,v4,v7_turbulence,False,135,132,3,30,29,1,0.3333333333333333,0.0,1.0,9,0.06818181818181818,6,0.045454545454545456,14,0.10606060606060606,103,0.7803030303030303,0.20689655172413793,0.0,0.0,,,,,,,,
development_main,pure_phantom,v4,v7_turbulence,False,22,12,10,3,0,3,0.3,0.0,0.75,0,0.0,0,0.0,0,0.0,12,1.0,,,,,,,,,,,
development_main,all_risk,v4,v7_guard,False,487,372,115,382,319,63,0.5478260869565217,0.3333333333333333,0.6800289855072462,120,0.3225806451612903,163,0.4381720430107527,36,0.0967741935483871,53,0.1424731182795699,0.5109717868338558,1.0,10.0,14313.0,67.0,67.0,28.0,0.001956263536645008,0.0019654639898918995,0.0005515140202192097,0.0037798353298747803
development_main,loop,v4,v7_guard,False,256,171,85,171,128,43,0.5058823529411764,0.2856227106227106,0.6786071428571427,29,0.1695906432748538,78,0.45614035087719296,21,0.12280701754385964,43,0.25146198830409355,0.609375,0.0,0.0,,,,,,,,
development_main,static,v4,v7_guard,False,135,132,3,132,131,1,0.3333333333333333,0.0,1.0,82,0.6212121212121212,45,0.3409090909090909,4,0.030303030303030304,1,0.007575757575757576,0.3435114503816794,2.0,20.0,,,,,,,,
development_main,pure_phantom,v4,v7_guard,False,22,12,10,18,12,6,0.6,0.0,1.0,2,0.16666666666666666,9,0.75,1,0.08333333333333333,0,0.0,0.75,1.0,10.0,,,,,,,,
development_main,all_risk,v4,progress_ratio,False,487,372,115,36,25,11,0.09565217391304348,0.032965225563909774,0.35297181372549,19,0.051075268817204304,2,0.005376344086021506,4,0.010752688172043012,347,0.9327956989247311,0.08,4.0,40.0,14313.0,67.0,58.0,58.0,0.004052260183050374,0.004071318264776078,0.001607792934629743,0.0069326159145171274
development_main,loop,v4,progress_ratio,False,256,171,85,35,25,10,0.11764705882352941,0.03816071015498496,0.47834138486312355,19,0.1111111111111111,2,0.011695906432748537,4,0.023391812865497075,146,0.8538011695906432,0.08,4.0,40.0,,,,,,,,
