design,scope,layer,token_role,relative_query,metric,n_strata,n_pairs,n_tasks,auc,auc_lo,auc_hi,auc_abs,null_auc,null_lo,null_hi,null_abs_mean,n_strata_null,delta_abs,delta_abs_lo,delta_abs_hi,p_boot,exceeds_null_paired,exceeds_null_disjoint,q_bh,exceeds_null_bh
primary,both,L2,state,-1,hellinger_to_pre,193,786,12,0.4424870466321244,0.35070777600665326,0.5764754901960784,0.0575129533678756,0.5002936507936507,0.4172966497922009,0.5859499999999997,0.03293579325186427,168,0.024577160116011326,-0.06089805653407856,0.13017837442213723,0.241,False,False,0.2892,False
primary,both,L2,state,0,hellinger_to_pre,193,786,12,0.6060449050086356,0.4452555945590171,0.6915316552730052,0.10604490500863561,0.5002487599206349,0.41393405092175584,0.5857629695008336,0.03304888811288005,168,0.07299601689575556,-0.06382907823079557,0.1714001070761053,0.1865,False,False,0.25267741935483873,False
primary,both,L2,state,1,hellinger_to_pre,193,786,12,0.45138169257340244,0.16712170253508246,0.6558141891051937,0.04861830742659756,0.49893625992063495,0.4159912487887597,0.5851804373065015,0.03332231357500282,168,0.01529599385159474,-0.04031511465122301,0.3076436144840464,0.1425,False,False,0.22691943127962083,False
primary,both,L2,state,2,hellinger_to_pre,193,786,12,0.5812607944732298,0.3855941463414635,0.6900000000000001,0.08126079447322976,0.4983536706349206,0.415,0.5871401515151513,0.033605559879733043,168,0.047655234593496715,-0.05486620867180136,0.16872447568471646,0.173,False,False,0.24468049792531119,False
primary,both,L2,state,3,hellinger_to_pre,193,786,12,0.5949050086355786,0.38930742539902846,0.717948717948718,0.0949050086355786,0.49949737578414594,0.41622181056701035,0.5838774781458824,0.03303233155525779,168,0.06187267708032081,-0.04833193644154902,0.19110189615260167,0.146,False,False,0.22698666666666664,False
primary,both,L2,state,4,hellinger_to_pre,189,770,12,0.5705467372134039,0.3658892706131079,0.6698880308365345,0.07054673721340388,0.49960374894043713,0.40590922667535567,0.5833333333333333,0.03462079477275836,162,0.035925942440645516,-0.05924451754385981,0.15016314055007784,0.192,False,False,0.25298054474708176,False
primary,both,L2,state,5,hellinger_to_pre,180,740,11,0.6648148148148147,0.4341959711224965,0.7990145309882746,0.16481481481481475,0.4999586480273681,0.40544023722627737,0.5925114329268291,0.03597186874483366,156,0.1288429460699811,-0.07733809345327335,0.2703569146333772,0.1845,False,False,0.25097975708502024,False
primary,both,L2,action,-1,hellinger_to_pre,193,786,12,0.6096718480138169,0.47308762325521836,0.6928982385769094,0.10967184801381691,0.4997628968253968,0.41519879862700226,0.5863888888888887,0.033190629945753156,168,0.07648121806806375,-0.07885910222337454,0.17061322186818711,0.273,False,False,0.3185,False
primary,both,L2,action,0,hellinger_to_pre,193,786,12,0.6975820379965457,0.57,0.822725400457666,0.19758203799654572,0.5017358630952381,0.4145572916666667,0.5833333333333333,0.03283567232517648,168,0.16474636567136924,0.021933026256053173,0.28624325641905424,0.012,True,False,0.06503225806451612,False
primary,both,L2,action,1,hellinger_to_pre,193,786,12,0.7379101899827288,0.5837471590909091,0.8455156249999995,0.23791018998272884,0.5003301091269841,0.41199440052700925,0.5837935984460383,0.03367858003675357,168,0.20423160994597528,0.0353587853977032,0.31660183142339793,0.0055,True,False,0.0462,True
primary,both,L2,action,2,hellinger_to_pre,193,786,12,0.7472366148531954,0.7063648659560722,0.8333333333333334,0.24723661485319537,0.4998224206349206,0.4112759216589862,0.5865975131905649,0.034279244655735924,168,0.21295737019745944,0.13939736804596525,0.29694253814603455,0.0015,True,True,0.028,True
primary,both,L2,action,3,hellinger_to_pre,193,786,12,0.795077720207254,0.7601690136357844,0.8382807239057237,0.295077720207254,0.500145246708963,0.4126646403242148,0.5838666749980077,0.03206050291670215,168,0.26301721729055183,0.1853120020245559,0.3148760778489346,0.001,True,True,0.028,True
primary,both,L2,action,4,hellinger_to_pre,189,770,12,0.7074074074074074,0.6633108439014332,0.8159881746868048,0.20740740740740737,0.4997771432946362,0.40642817982456136,0.5857902435167615,0.035223172315570594,162,0.17218423509183678,0.09729908670295036,0.26655506922569766,0.0005,True,True,0.021,True
primary,both,L2,action,5,hellinger_to_pre,180,740,11,0.7046296296296297,0.6198966070051541,0.8541678113553113,0.20462962962962972,0.5011241719164798,0.4036949424524126,0.5903046452128943,0.0352971101283854,156,0.1693325195012443,0.06441524362668075,0.32686030788433523,0.003,True,True,0.029647058823529412,True
primary,both,L3,state,-1,hellinger_to_pre,193,786,12,0.39870466321243525,0.303091824930107,0.5905615097856477,0.10129533678756475,0.5007065972222222,0.4166666666666667,0.589188406622617,0.032843109270219856,168,0.0684522275173449,-0.06966433332286975,0.17667178551748564,0.212,False,False,0.26678651685393256,False
primary,both,L3,state,0,hellinger_to_pre,193,786,12,0.7578583765112262,0.5309073916737468,0.8710322567912788,0.25785837651122623,0.5011996527777778,0.4079540250085208,0.5886821428571428,0.03321121992094326,168,0.22464715659028298,-0.007709813756494743,0.35305560658403345,0.0325,False,False,0.12184615384615385,False
