method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
v4:front_lock,per_task,libero_goal,30,102,4000,69,68,1,0.9855072463768116,0.6666666666666666,0.6936610375891791,1.4207331722161374,25.0
v4:front_lock,per_task,libero_long,52,222,2800,74,56,18,0.7567567567567568,0.25225225225225223,0.451950251266445,1.6744249054761884,32.0
v4:front_lock,per_task,libero_object,28,37,4000,16,16,0,1.0,0.43243243243243246,0.7712544907162175,1.296588884780898,21.0
v4:front_lock,per_task,libero_spatial,22,126,4000,86,82,4,0.9534883720930233,0.6507936507936508,0.9526016790254582,1.000930811993185,19.0
v4:back_lock,per_task,libero_goal,30,102,4000,93,84,9,0.9032258064516129,0.8235294117647058,0.6561902200118004,1.3764694731892988,24.0
v4:back_lock,per_task,libero_long,52,222,2800,264,160,104,0.6060606060606061,0.7207207207207207,0.3463189855396834,1.750006876221806,31.0
v4:back_lock,per_task,libero_object,28,37,4000,21,20,1,0.9523809523809523,0.5405405405405406,0.670206492219566,1.4210261515475493,20.0
v4:back_lock,per_task,libero_spatial,22,126,4000,102,100,2,0.9803921568627451,0.7936507936507936,0.9665754849494667,1.014294457213552,18.0
v4:all_lock,per_task,libero_goal,30,102,4000,83,82,1,0.9879518072289156,0.803921568627451,0.7205844788841408,1.3710423082645435,24.0
v4:all_lock,per_task,libero_long,52,222,2800,214,155,59,0.7242990654205608,0.6981981981981982,0.4141653695945259,1.7488160976125562,33.0
v4:all_lock,per_task,libero_object,28,37,4000,17,17,0,1.0,0.4594594594594595,0.6773985406717927,1.476235834532911,20.0
v4:all_lock,per_task,libero_spatial,22,126,4000,96,95,1,0.9895833333333334,0.753968253968254,0.9780073947047511,1.011836248571594,18.0
v4:L5_switching,per_task,libero_goal,30,102,4000,13,11,2,0.8461538461538461,0.10784313725490197,0.43761807811853337,1.9335440843571747,15.0
v4:L5_switching,per_task,libero_long,52,222,2800,5,4,1,0.8,0.018018018018018018,0.42599786739153256,1.8779436735177923,31.0
v4:L5_switching,per_task,libero_object,28,37,4000,14,10,4,0.7142857142857143,0.2702702702702703,0.3693134775453106,1.934090569976774,17.0
v4:L5_switching,per_task,libero_spatial,22,126,4000,1,1,0,1.0,0.007936507936507936,0.8811188811188811,1.1349206349206349,14.0
v4_dual_regime,per_task,libero_goal,30,102,4000,93,91,2,0.978494623655914,0.8921568627450981,0.6747696565641789,1.4501165162616454,24.0
