dataset,outcome,axis,mixed_snapshots,mean_within_snapshot_auc_high,bootstrap_95_low,bootstrap_95_high,wilcoxon_p_vs_half
rolling_star_k16,success,fork|action_relation|front|d0,15,0.48742877492877495,0.35540694953194957,0.6184863909238908,0.7534928259969147
rolling_star_k16,success,fork|action_relation|front|d9,15,0.4891280016280018,0.3707181522181522,0.6132877747252746,0.9749290343737146
rolling_star_k16,success,fork|action_relation|front|log_ratio,15,0.5289896214896216,0.3995584554334554,0.6451335470085471,0.6374349641110031
rolling_star_k16,success,fork|action_relation|front|path,15,0.5149562474562475,0.38911787749287746,0.6428834198209197,0.864569301686742
rolling_star_k16,success,fork|action_relation|front|terminal_z,15,0.4891280016280018,0.37182264957264965,0.6082218406593407,0.9749290343737146
rolling_star_k16,success,fork|action_relation|back|d0,15,0.4568162393162393,0.3309249084249084,0.5762965506715505,0.6090906738709916
rolling_star_k16,success,fork|action_relation|back|d9,15,0.5031512006512008,0.3657357804232804,0.6452454212454212,0.8752302103290907
rolling_star_k16,success,fork|action_relation|back|log_ratio,15,0.5846957671957672,0.4722549603174603,0.7025798992673993,0.1400483976968418
rolling_star_k16,success,fork|action_relation|back|path,15,0.4782102157102158,0.33467824074074076,0.6143696072446071,0.8195635407773726
rolling_star_k16,success,fork|action_relation|back|terminal_z,15,0.5031512006512008,0.3663691239316239,0.6374541361416362,0.8752302103290907
rolling_star_k16,success,fork|action_shape|front|d0,15,0.5010989010989011,0.36586881868131865,0.6361778846153846,1.0
rolling_star_k16,success,fork|action_shape|front|d9,15,0.47995115995115994,0.36510317460317465,0.5916016483516483,0.7530794336304054
rolling_star_k16,success,fork|action_shape|front|log_ratio,15,0.5093070818070817,0.39572260378510377,0.6239456654456654,0.8067084790004491
rolling_star_k16,success,fork|action_shape|front|path,15,0.5101750101750101,0.3794166666666666,0.6380586843711844,0.7332196494460775
rolling_star_k16,success,fork|action_shape|front|terminal_z,15,0.47995115995115994,0.3642936507936508,0.5984789377289378,0.7530794336304054
rolling_star_k16,success,fork|action_shape|back|d0,15,0.4412413512413513,0.3244437321937322,0.5504552045177044,0.3631006743163896
rolling_star_k16,success,fork|action_shape|back|d9,15,0.5273473748473749,0.39486126373626373,0.6665911172161173,0.6831652607455685
rolling_star_k16,success,fork|action_shape|back|log_ratio,15,0.5845024420024421,0.4481597222222222,0.7128144841269842,0.22194815136169888
rolling_star_k16,success,fork|action_shape|back|path,15,0.4773728123728124,0.33930016280016284,0.6187100122100122,0.8202088262254849
rolling_star_k16,success,fork|action_shape|back|terminal_z,15,0.5273473748473749,0.39736568986568993,0.6648663766788767,0.6831652607455685
rolling_star_k16,success,fork|action_conditional|front|d0,15,0.47416157916157925,0.3640073005698007,0.5784585622710622,0.92495987663281
rolling_star_k16,success,fork|action_conditional|front|d9,15,0.4610164835164835,0.3490085470085471,0.5703459249084247,0.5320471843202862
rolling_star_k16,success,fork|action_conditional|front|log_ratio,15,0.44037240537240535,0.3353490537240537,0.5531645299145297,0.2996939404663821
rolling_star_k16,success,fork|action_conditional|front|path,15,0.518474765974766,0.3961847781847782,0.6401646062271059,0.7534928259969147
rolling_star_k16,success,fork|action_conditional|front|terminal_z,15,0.4610164835164835,0.3469246031746032,0.572090354090354,0.5320471843202862
rolling_star_k16,success,fork|action_conditional|back|d0,15,0.39412698412698416,0.2958730158730159,0.48447741147741147,0.043687372682288915
rolling_star_k16,success,fork|action_conditional|back|d9,15,0.471001221001221,0.3387706807081807,0.609151633089133,0.6493649881002945
rolling_star_k16,success,fork|action_conditional|back|log_ratio,15,0.6066432641432641,0.5106668701668702,0.7043044108669108,0.07354388753800377
rolling_star_k16,success,fork|action_conditional|back|path,15,0.5087932437932439,0.37846219983719986,0.6415973748473747,0.9773355078878551
rolling_star_k16,success,fork|action_conditional|back|terminal_z,15,0.471001221001221,0.3388694291819292,0.6085914987789988,0.6493649881002945
rolling_star_k16,success,fork|action_partial|front|d0,15,0.44130036630036623,0.33545703601953597,0.5571066086691087,0.2327906324247151
rolling_star_k16,success,fork|action_partial|front|d9,15,0.494047619047619,0.3799652014652014,0.6119455128205128,0.7982331767109356
rolling_star_k16,success,fork|action_partial|front|log_ratio,15,0.5424063899063898,0.4141582722832723,0.6703203093203092,0.6494310040576072
rolling_star_k16,success,fork|action_partial|front|path,15,0.4633150183150183,0.3521210317460316,0.5814923687423686,0.4212952556860037
rolling_star_k16,success,fork|action_partial|front|terminal_z,15,0.494047619047619,0.3747976190476191,0.6070644841269841,0.7982331767109356
rolling_star_k16,success,fork|action_partial|back|d0,15,0.4589652014652014,0.33549694749694753,0.5797241300366299,0.5696715815879663
rolling_star_k16,success,fork|action_partial|back|d9,15,0.5076058201058201,0.3761935032560033,0.6436833028083028,0.9095246058894703
rolling_star_k16,success,fork|action_partial|back|log_ratio,15,0.5754761904761904,0.44356379731379725,0.7073113553113552,0.32015779990933857
rolling_star_k16,success,fork|action_partial|back|path,15,0.44214896214896215,0.30107432844932847,0.5785688339438338,0.42101120786000534
rolling_star_k16,success,fork|action_partial|back|terminal_z,15,0.5076058201058201,0.3742695614570615,0.6442512718762716,0.9095246058894703
rolling_star_k16,success,fork|action_relation|conversion|log_ratio,15,0.5354477004477005,0.42862082824582826,0.6439199735449735,0.7197265625
rolling_star_k16,success,fork|action_shape|conversion|log_ratio,15,0.5420075295075295,0.41170830789580787,0.675898478835979,0.4698999453680509
rolling_star_k16,success,fork|action_conditional|conversion|log_ratio,15,0.5990873015873015,0.47542406898656897,0.7142246642246642,0.07323920333262476
rolling_star_k16,success,fork|action_partial|conversion|log_ratio,15,0.5344281644281644,0.43071891534391527,0.6466967846967848,0.803955078125
rolling_star_k16,success,single|flow|action_relation|gap_initial,15,0.5125020350020351,0.38362016687016687,0.641694240944241,0.7332196494460775
rolling_star_k16,success,single|flow|action_relation|gap_terminal,15,0.452977207977208,0.3490462962962963,0.5615095136345134,0.3964934999283882
rolling_star_k16,success,single|flow|action_relation|gap_log_ratio,15,0.5096978021978023,0.38445650183150193,0.6426874236874237,0.9546892997346919
rolling_star_k16,success,single|flow|action_relation|gap_path,15,0.4865008140008139,0.3517619047619047,0.6224883750508751,0.7763811150102832
rolling_star_k16,success,single|flow|action_relation|gap_endpoint,15,0.4862993487993489,0.34838896520146523,0.6268625610500609,0.7763811150102832
rolling_star_k16,success,single|flow|action_relation|gap_efficiency,15,0.48045685795685805,0.37532262413512424,0.5915992572242571,0.7057351460036874
rolling_star_k16,success,single|flow|action_relation|gap_curvature,15,0.4669149369149369,0.3376275946275947,0.5999796499796499,0.6091628911933872
rolling_star_k16,success,single|flow|action_relation|gap_settling_log_ratio,15,0.5366473341473341,0.4185304741554742,0.6481303418803418,0.5697495261536836
rolling_star_k16,success,single|flow|action_relation|front_path,15,0.5306003256003256,0.39771825396825394,0.6472964234839235,0.5317159321489416
rolling_star_k16,success,single|flow|action_relation|back_path,15,0.49361009361009356,0.3595021113146113,0.6244736721611721,0.954671023161672
rolling_star_k16,success,single|flow|action_relation|back_front_path_log_ratio,15,0.5332600732600733,0.43504181929181934,0.6377409951159951,0.7062891119569397
rolling_star_k16,success,single|flow|action_relation|back_front_early_log_ratio,15,0.474545177045177,0.38148908730158726,0.5668323412698412,0.6090184166329973
rolling_star_k16,success,single|flow|action_relation|back_front_late_log_ratio,15,0.4745655270655271,0.3621417124542125,0.5944029049654047,0.5893477680038375
rolling_star_k16,success,single|flow|action_relation|velocity_alignment_mean,15,0.5856410256410256,0.4597516025641026,0.7032987637362637,0.12507733264310025
rolling_star_k16,success,single|flow|action_relation|velocity_alignment_early,15,0.5232865282865283,0.43444963369963374,0.6111861009361009,0.700703412251682
rolling_star_k16,success,single|flow|action_relation|velocity_alignment_late,15,0.4987016687016687,0.39553141534391534,0.5959930046805046,1.0
rolling_star_k16,success,single|flow|action_relation|velocity_opposition_fraction,15,0.5031720594220594,0.39234853225478217,0.6166591117216115,0.8646775535945274
rolling_star_k16,success,single|flow|action_relation|mixed_velocity,15,0.4865008140008139,0.3543713878713878,0.616246922059422,0.7763811150102832
rolling_star_k16,success,single|flow|action_relation|front_time_center,15,0.4946754171754171,0.4041073463573464,0.5861844983719984,0.8645963890164582
rolling_star_k16,success,single|flow|action_relation|back_time_center,15,0.47349613349613345,0.3706970645095645,0.5808263380138381,0.315055200682099
rolling_star_k16,success,single|flow|action_relation|handoff_delay,15,0.48567460317460315,0.36463850732600733,0.6017083333333333,0.890380859375
rolling_star_k16,success,single|flow|action_relation|initial_alignment,15,0.6000803825803825,0.48036078042328045,0.7131180555555554,0.1577089872370102
rolling_star_k16,success,single|flow|action_relation|terminal_alignment,15,0.4864209401709401,0.3901752136752137,0.5886846764346764,0.5614013671875
rolling_star_k16,success,single|flow|action_relation|alignment_change,15,0.37780728530728525,0.25675572344322345,0.5066132478632478,0.09947144034990624
rolling_star_k16,success,single|flow|action_relation|front_terminal_norm,15,0.46367826617826624,0.3381334706959707,0.602124847374847,0.3341793830599732
rolling_star_k16,success,single|flow|action_relation|back_terminal_norm,15,0.46977207977207974,0.31716791310541304,0.6249074328449327,0.6906488569095801
rolling_star_k16,success,single|flow|action_relation|terminal_norm_log_ratio,15,0.534149369149369,0.3964074074074074,0.6683720238095237,0.5507741111556379
rolling_star_k16,success,single|flow|action_relation|front_settling_log_ratio,15,0.47830891330891323,0.3799464285714285,0.5756659035409035,0.5507273395584835
rolling_star_k16,success,single|flow|action_relation|back_settling_log_ratio,15,0.5033435083435084,0.41047054334554334,0.5996112128612129,0.9546892997346919
rolling_star_k16,success,single|flow|action_relation|settling_difference,15,0.519573667073667,0.3956782661782661,0.6366872201872201,0.6830913983096087
rolling_star_k16,success,single|flow|action_relation|lag_alignment_m2,15,0.48544871794871786,0.35486072954822956,0.6073693528693527,0.9499198498241285
rolling_star_k16,success,single|flow|action_relation|lag_alignment_m1,15,0.5484717134717134,0.4293067511192511,0.6646931725681725,0.3484936431918063
rolling_star_k16,success,single|flow|action_relation|lag_alignment_p1,15,0.5565710215710217,0.427738553113553,0.6865396825396826,0.5931627300097346
rolling_star_k16,success,single|flow|action_relation|lag_alignment_p2,15,0.5526129426129425,0.4018186813186813,0.6992187881562882,0.47000950845099443
rolling_star_k16,success,single|flow|action_shape|gap_initial,15,0.5267073667073666,0.3984398402523403,0.6485724206349207,0.49517287070250504
rolling_star_k16,success,single|flow|action_shape|gap_terminal,15,0.4969851444851444,0.41189033882783876,0.5908891941391939,0.6908856447493348
rolling_star_k16,success,single|flow|action_shape|gap_log_ratio,15,0.4928042328042329,0.3531110093610095,0.6292348901098899,0.8201374695011017
rolling_star_k16,success,single|flow|action_shape|gap_path,15,0.49052808302808304,0.36323214285714284,0.6211593406593405,0.954671023161672
rolling_star_k16,success,single|flow|action_shape|gap_endpoint,15,0.44917480667480675,0.328341218966219,0.5785055453805455,0.42120361328125
rolling_star_k16,success,single|flow|action_shape|gap_efficiency,15,0.4426129426129427,0.33515140415140404,0.5601965811965812,0.23273579009607182
rolling_star_k16,success,single|flow|action_shape|gap_curvature,15,0.438505291005291,0.3135152370777371,0.5711530830280831,0.30279541015625
rolling_star_k16,success,single|flow|action_shape|gap_settling_log_ratio,15,0.49320004070004064,0.3934897486772487,0.5847403846153844,0.9320659396048996
rolling_star_k16,success,single|flow|action_shape|front_path,15,0.520438542938543,0.3876819291819292,0.6439085012210012,0.569827428596361
rolling_star_k16,success,single|flow|action_shape|back_path,15,0.47937321937321936,0.34313049450549454,0.6163227513227513,0.7763371993702398
rolling_star_k16,success,single|flow|action_shape|back_front_path_log_ratio,15,0.49702380952380953,0.39597550366300377,0.6027691544566545,0.7545128626937244
rolling_star_k16,success,single|flow|action_shape|back_front_early_log_ratio,15,0.43218966218966226,0.3406760022385022,0.5252000661375661,0.14704239006797565
rolling_star_k16,success,single|flow|action_shape|back_front_late_log_ratio,15,0.4998707773707774,0.39959918091168084,0.613254298941799,0.67877197265625
rolling_star_k16,success,single|flow|action_shape|velocity_alignment_mean,15,0.540597273097273,0.4135454822954823,0.6606180555555555,0.4776449342505864
rolling_star_k16,success,single|flow|action_shape|velocity_alignment_early,15,0.5206461131461132,0.4201481227106227,0.6249910205535206,0.7980737221573262
rolling_star_k16,success,single|flow|action_shape|velocity_alignment_late,15,0.5261141636141636,0.43395757020757025,0.6248453144078142,0.5934362194320348
rolling_star_k16,success,single|flow|action_shape|velocity_opposition_fraction,15,0.5126409238909239,0.4153552604802605,0.6039119861619862,0.8260488636764323
rolling_star_k16,success,single|flow|action_shape|mixed_velocity,15,0.49052808302808304,0.3615609737484736,0.6200983669108668,0.954671023161672
rolling_star_k16,success,single|flow|action_shape|front_time_center,15,0.44523300773300784,0.3658148148148148,0.5252827635327635,0.29240780712641745
rolling_star_k16,success,single|flow|action_shape|back_time_center,15,0.5561975986975988,0.4823673941798941,0.6402365944240944,0.24828546343650038
rolling_star_k16,success,single|flow|action_shape|handoff_delay,15,0.5450172975172975,0.45727304639804645,0.6428370980870979,0.48963987323428293
rolling_star_k16,success,single|flow|action_shape|initial_alignment,15,0.5088624338624338,0.4056369556369556,0.6127241554741554,0.6907673187433123
rolling_star_k16,success,single|flow|action_shape|terminal_alignment,15,0.4413949938949939,0.34938049450549447,0.532796169108669,0.34485780095991736
rolling_star_k16,success,single|flow|action_shape|alignment_change,15,0.4451251526251526,0.32447825091575094,0.5615891330891329,0.3632943955710277
rolling_star_k16,success,single|flow|action_shape|front_terminal_norm,15,0.5647751322751323,0.4521164021164022,0.6669761904761904,0.19126730283569748
rolling_star_k16,success,single|flow|action_shape|back_terminal_norm,15,0.45757733007733015,0.32688652319902317,0.5937385785510785,0.42643498438261274
