statistic,layer,n,median,mean,q10,share_equal_1
gram_normalised,L2,3200,0.9636363636363636,0.9087575757575758,0.7575757575757576,0.1415625
gram_normalised,L3,3200,0.9636363636363636,0.8839393939393939,0.6363636363636365,0.1275
gram_normalised,L4,3200,0.9878787878787878,0.9374924242424243,0.8303030303030303,0.2528125
gram_normalised,L5,3200,0.9878787878787878,0.9018257575757577,0.709090909090909,0.2903125
gram_normalised,L12,3200,0.9878787878787878,0.9493295454545455,0.8666666666666667,0.36375
gram_normalised,L13,3200,0.9878787878787879,0.9513219696969698,0.8787878787878788,0.461875
gram_normalised,L14,3200,0.9878787878787879,0.9538901515151516,0.8787878787878788,0.385625
gram_normalised,L15,3200,0.9878787878787878,0.9513409090909093,0.8787878787878788,0.371875
gram_combinatorial,L2,3200,0.9636363636363636,0.9012121212121212,0.7212121212121212,0.1521875
gram_combinatorial,L3,3200,0.9636363636363636,0.879030303030303,0.5757575757575757,0.16875
gram_combinatorial,L4,3200,0.9878787878787878,0.9318068181818182,0.8181818181818181,0.2803125
gram_combinatorial,L5,3200,0.9878787878787878,0.8906439393939394,0.5636363636363637,0.3321875
gram_combinatorial,L12,3200,1.0,0.9354545454545453,0.806060606060606,0.5171875
gram_combinatorial,L13,3200,1.0,0.9419204545454545,0.8666666666666667,0.588125
gram_combinatorial,L14,3200,1.0,0.9478068181818182,0.8666666666666667,0.5478125
gram_combinatorial,L15,3200,1.0,0.9488863636363637,0.8787878787878789,0.5153125
schur_normalised,L2,3200,0.9151515151515152,0.8504204545454546,0.6121212121212121,0.070625
schur_normalised,L3,3200,0.8909090909090909,0.8032916666666666,0.4666666666666667,0.0575
schur_normalised,L4,3200,0.9393939393939394,0.8788674242424241,0.696969696969697,0.07625
schur_normalised,L5,3200,0.9636363636363636,0.883439393939394,0.6715151515151518,0.18375
schur_normalised,L12,3200,0.9757575757575758,0.9409696969696969,0.8424242424242425,0.26375
schur_normalised,L13,3200,0.9878787878787878,0.9459166666666667,0.8666666666666667,0.3196875
schur_normalised,L14,3200,0.9878787878787878,0.9485151515151515,0.8666666666666667,0.3125
schur_normalised,L15,3200,0.9757575757575758,0.9408522727272728,0.8424242424242425,0.2665625
schur_combinatorial,L2,3200,0.4424242424242424,0.47891666666666666,0.09090909090909094,0.00875
schur_combinatorial,L3,3200,0.39393939393939403,0.44688257575757573,0.07878787878787885,0.008125
schur_combinatorial,L4,3200,0.4424242424242424,0.485469696969697,0.09090909090909094,0.0075
schur_combinatorial,L5,3200,0.5515151515151515,0.5517272727272727,0.1272727272727272,0.025
schur_combinatorial,L12,3200,0.8545454545454545,0.7200378787878787,0.23636363636363633,0.10375
schur_combinatorial,L13,3200,0.8909090909090909,0.772871212121212,0.33333333333333326,0.1340625
schur_combinatorial,L14,3200,0.9030303030303031,0.7615113636363637,0.2727272727272727,0.1534375
schur_combinatorial,L15,3200,0.8909090909090909,0.7699242424242425,0.3212121212121213,0.120625
pc1_index_pearson,L2,3200,0.9117726614790873,0.8707857434778816,0.7255549523415328,0.0
pc1_index_pearson,L3,3200,0.9254885861205282,0.8602825281057187,0.6469173422849719,0.0
pc1_index_pearson,L4,3200,0.9486033734180965,0.9156796282543722,0.8162622657286077,0.0
pc1_index_pearson,L5,3200,0.9479532981010101,0.8567119956111189,0.5415154484361145,0.0
pc1_index_pearson,L12,3200,0.9743395714776789,0.9430558316166807,0.871540863879985,0.0
pc1_index_pearson,L13,3200,0.9780503795691474,0.9413051884517651,0.8839761594484039,0.0
pc1_index_pearson,L14,3200,0.9745533201755183,0.9488193730191524,0.8932303873543933,0.0
pc1_index_pearson,L15,3200,0.975142328917818,0.947895951173027,0.8913509725719226,0.0
pc1_index_spearman,L2,3200,0.9636363636363636,0.905409090909091,0.7212121212121212,0.1540625
pc1_index_spearman,L3,3200,0.9636363636363636,0.8826780303030304,0.6121212121212121,0.146875
pc1_index_spearman,L4,3200,0.9878787878787879,0.93675,0.8181818181818181,0.28375
pc1_index_spearman,L5,3200,0.9878787878787879,0.8947878787878787,0.6593939393939399,0.33
pc1_index_spearman,L12,3200,0.9878787878787879,0.9497348484848485,0.8545454545454545,0.441875
pc1_index_spearman,L13,3200,1.0,0.9518636363636364,0.8787878787878788,0.5271875
pc1_index_spearman,L14,3200,0.9878787878787879,0.9550492424242425,0.8787878787878788,0.4596875
pc1_index_spearman,L15,3200,0.9878787878787879,0.9531515151515153,0.8787878787878788,0.4365625
