quantity,family,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_fp,dev_precision,dev_lift
mobility_s9,anchor,per_task,True,L2,low,0.7,243,31,41,18,0.8868613138686131,1.31229780486713
mobility_s9,anchor,global,True,L12,low,0.975,172,15,18,5,0.9197860962566845,1.7428417708393027
load_entropy_s9,anchor,per_task,True,L3,low,0.85,322,45,58,32,0.8773841961852861,1.453000774065528
load_entropy_s9,anchor,global,True,L3,low,0.925,214,15,12,8,0.9344978165938864,1.2105769156948392
td_slope,A_primary_formation_slope,per_task,True,L3,high,0.95,58,30,29,19,0.6590909090909091,1.846783310434745
td_slope,A_primary_formation_slope,global,True,L15,low,0.96,115,17,14,9,0.8712121212121212,1.7085949342916085
td_late_early,A_primary_formation_slope,per_task,True,L3,high,0.96,53,25,24,15,0.6794871794871795,1.6574128249795745
td_late_early,A_primary_formation_slope,global,True,L15,low,0.96,114,18,15,10,0.8636363636363636,1.7361752579731409
pc1corr_slope,A_primary_formation_slope,per_task,True,all_median,high,0.95,75,12,24,12,0.8620689655172413,1.500244683157795
pc1corr_slope,A_primary_formation_slope,global,True,L14,high,0.99,28,1,2,0,0.9655172413793104,1.5198421760988239
pc1share_slope,A_primary_formation_slope,per_task,True,front_median,low,0.9,116,21,37,9,0.8467153284671532,1.4358128606717835
pc1share_slope,A_primary_formation_slope,global,True,L14,high,0.98,40,8,8,5,0.8333333333333334,1.5714512316427662
stretch_slope,A_primary_formation_slope,per_task,True,L14,high,0.9,109,13,23,11,0.8934426229508197,1.2689859019121728
stretch_slope,A_primary_formation_slope,global,True,L14,high,0.975,72,18,9,2,0.8,1.7667273621961288
centred_slope,A_primary_formation_slope,per_task,True,L3,high,0.96,52,25,25,15,0.6753246753246753,1.7289254961713898
centred_slope,A_primary_formation_slope,global,True,L15,low,0.96,118,17,14,9,0.8740740740740741,1.6800592635613982
pc1_index_corr_s9,A_secondary_endpoint,per_task,True,L2,low,0.995,4,1,2,1,0.8,1.857792229609057
pc1_index_corr_s9,A_secondary_endpoint,global,True,L5,low,0.975,49,8,2,1,0.8596491228070176,1.1378046134510234
arc_stretch_s9,A_secondary_endpoint,per_task,True,L14,high,0.9,110,12,18,12,0.9016393442622951,1.2187066693348922
arc_stretch_s9,A_secondary_endpoint,global,True,L14,low,0.975,16,8,4,1,0.6666666666666666,1.2000233855288998
fiedler_index_rho_s9,A_secondary_endpoint,per_task,True,L2,low,0.975,24,6,9,4,0.8,1.7022127268384368
fiedler_index_rho_s9,A_secondary_endpoint,global,True,L3,high,0.95,15,4,3,1,0.7894736842105263,1.5499019706429258
along_state_energy_s9,A_secondary_endpoint,per_task,True,back_median,low,0.95,29,1,14,0,0.9666666666666667,1.731664036995609
along_state_energy_s9,A_secondary_endpoint,global,True,L13,low,0.99,17,3,2,1,0.85,1.233052679379781
along_state_fraction_s9,A_secondary_endpoint,per_task,True,L2,low,0.96,29,6,6,3,0.8285714285714286,1.4975836735426462
along_state_fraction_s9,A_secondary_endpoint,global,True,front_median,low,0.95,13,3,2,1,0.8125,1.8769238820632979
pc1_state_cos_s9,A_secondary_endpoint,per_task,True,L2,low,0.925,32,5,9,5,0.8648648648648649,1.592077771710486
pc1_state_cos_s9,A_secondary_endpoint,global,True,L12,low,0.975,5,2,1,0,0.7142857142857143,1.0743038459589669
saa_slope,A_negative_control,per_task,True,L4,high,0.95,100,22,33,18,0.819672131147541,1.676434899302235
saa_slope,A_negative_control,global,True,L14,high,0.98,31,13,19,12,0.7045454545454546,2.1519820293503833
state_mobility_s9,B_state_channel,per_task,True,L2,low,0.96,180,23,42,16,0.8866995073891626,1.453280954182068
state_mobility_s9,B_state_channel,global,True,L3,low,0.99,92,4,2,1,0.9583333333333334,1.5740226804927226
state_mobility_mean,B_state_channel,per_task,True,L2,low,0.96,180,23,42,16,0.8866995073891626,1.453280954182068
state_mobility_mean,B_state_channel,global,True,L3,low,0.99,92,4,2,1,0.9583333333333334,1.5740226804927226
state_minus_action_mobility,B_state_channel,per_task,True,back_median,low,0.95,187,36,44,25,0.8385650224215246,1.4296546451529009
state_minus_action_mobility,B_state_channel,global,True,L4,high,0.995,11,2,4,2,0.8461538461538461,2.187635174504793
state_over_action_logratio,B_state_channel,per_task,True,all_median,low,0.96,169,41,44,28,0.8047619047619048,1.4932773502530274
state_over_action_logratio,B_state_channel,global,True,L3,low,0.99,89,5,2,1,0.9468085106382979,1.5554482497979416
