quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
shape_pr,shape_spectrum,L2,low,0.5,per_task,27,366,0.055441478439425054,0.025571159086145462,0.06870229007633588,13,364,0.034482758620689655,0.48148148148148145,0.07201919194967472,0.9539441948243933
shape_pr,shape_spectrum,L2,low,0.5,global,16,767,0.03285420944558522,0.053587647593097185,0.020434227330779056,8,766,0.0103359173126615,0.5,0.02839816359369541,0.7195615752884668
shape_pr,shape_spectrum,L2,low,0.6,per_task,20,213,0.04106776180698152,0.014881576189478097,0.08583690987124463,8,212,0.03636363636363636,0.4,0.0851561686203926,1.0079940333375803
shape_pr,shape_spectrum,L2,low,0.6,global,12,409,0.024640657084188913,0.028575420945993153,0.028503562945368172,5,409,0.012077294685990338,0.4166666666666667,0.03488485091022819,0.8170756704312291
shape_pr,shape_spectrum,L2,low,0.7,per_task,16,117,0.03285420944558522,0.008174386920980926,0.12030075187969924,7,117,0.056451612903225805,0.4375,0.09797579134022714,1.2278620078907785
shape_pr,shape_spectrum,L2,low,0.7,global,5,209,0.01026694045174538,0.014602109969957382,0.02336448598130841,1,209,0.004761904761904762,0.2,0.037283054007538764,0.6266784361759643
shape_pr,shape_spectrum,L2,low,0.75,per_task,11,73,0.022587268993839837,0.005100258506253057,0.13095238095238096,2,73,0.02666666666666667,0.18181818181818182,0.13389328642319134,0.9780354523413879
shape_pr,shape_spectrum,L2,low,0.75,global,4,139,0.008213552361396304,0.009711451128344862,0.027972027972027972,1,139,0.007142857142857143,0.25,0.038712764471473295,0.7225530998345528
shape_pr,shape_spectrum,L2,low,0.8,per_task,9,37,0.018480492813141684,0.002585062530566618,0.1956521739130435,1,37,0.02631578947368421,0.1111111111111111,0.19200116500327238,1.019015556023886
shape_pr,shape_spectrum,L2,low,0.8,global,3,87,0.006160164271047228,0.0060783902745755606,0.03333333333333333,1,87,0.011363636363636364,0.3333333333333333,0.0392713800653093,0.8487945490558049
shape_pr,shape_spectrum,L2,low,0.85,per_task,8,24,0.01642710472279261,0.0016767973171242926,0.25,1,24,0.04,0.125,0.22710153569779445,1.1008291918055397
shape_pr,shape_spectrum,L2,low,0.85,global,0,46,0.0,0.0032138615244882273,0.0,0,46,0.0,0.0,0.014303992366983456,0.0
shape_pr,shape_spectrum,L2,low,0.9,per_task,6,12,0.012320328542094456,0.0008383986585621463,0.3333333333333333,0,12,0.0,0.0,0.32343600681837814,1.0306005710752943
shape_pr,shape_spectrum,L2,low,0.9,global,0,25,0.0,0.0017466638720044715,0.0,0,25,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L2,low,0.925,per_task,5,8,0.01026694045174538,0.0005589324390414309,0.38461538461538464,0,8,0.0,0.0,0.3641544569172467,1.0561874976661008
shape_pr,shape_spectrum,L2,low,0.925,global,0,16,0.0,0.0011178648780828617,0.0,0,16,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L2,low,0.95,per_task,4,4,0.008213552361396304,0.00027946621952071543,0.5,0,4,0.0,0.0,0.45207629743158084,1.1060079965277811
shape_pr,shape_spectrum,L2,low,0.95,global,0,8,0.0,0.0005589324390414309,0.0,0,8,0.0,0.0,0.00925,0.0
