quantity,frame,mode,dev_max_tp_at_fpr_cap,dev_fp_at_that_point,dev_max_low_prior_tp
bandedness,shape_order,global,142,64,25
bandedness,shape_order,per_task,244,67,60
centroid_norm2,configuration_scale,global,79,38,38
centroid_norm2,configuration_scale,per_task,105,71,26
d_cv,shape_order,global,87,51,18
d_cv,shape_order,per_task,87,61,18
kernel_erank,control_published,global,87,49,40
kernel_erank,control_published,per_task,166,44,33
kernel_trace,configuration_scale,global,78,46,35
kernel_trace,configuration_scale,per_task,91,48,26
lam12_share,shape_spectrum,global,129,71,28
lam12_share,shape_spectrum,per_task,211,52,40
lam1_share,shape_spectrum,global,168,58,24
lam1_share,shape_spectrum,per_task,215,52,50
mobility,control_published,global,235,56,26
mobility,control_published,per_task,355,70,46
procrustes_layer,corpus_template,global,135,71,20
procrustes_layer,corpus_template,per_task,156,60,29
procrustes_prev,adjacent_query,global,170,44,28
procrustes_prev,adjacent_query,per_task,126,54,39
procrustes_self,own_history,global,113,49,26
procrustes_self,own_history,per_task,109,68,21
shape_erank,shape_spectrum,global,105,39,18
shape_erank,shape_spectrum,per_task,212,65,43
shape_pr,shape_spectrum,global,126,42,26
shape_pr,shape_spectrum,per_task,217,63,46
size,configuration_scale,global,109,69,15
size,configuration_scale,per_task,211,67,45
