cohort,chunk,alive,libero_goal,libero_long,libero_object,libero_spatial
development_main,4,14800,4000,2800,4000,4000
development_main,6,14800,4000,2800,4000,4000
development_main,8,13666,3195,2800,4000,3671
development_main,10,10516,1666,2800,4000,2050
development_main,12,8342,1373,2800,3409,760
development_main,14,4808,585,2799,1281,143
development_main,16,3554,484,2719,223,128
development_main,18,3059,301,2551,81,126
development_main,20,2776,129,2466,55,126
development_main,24,1312,107,1164,41,0
development_main,28,671,102,569,0,0
development_main,32,515,0,515,0,0
external_8b,4,15600,4000,4000,3600,4000
external_8b,6,15600,4000,4000,3600,4000
external_8b,8,14456,3179,4000,3600,3677
external_8b,10,11342,1672,4000,3600,2070
external_8b,12,9146,1383,4000,2999,764
external_8b,14,5753,601,4000,988,164
external_8b,16,4793,500,3918,229,146
external_8b,18,4300,327,3749,79,145
external_8b,20,3995,139,3654,60,142
external_8b,24,2174,111,2017,46,0
external_8b,28,769,107,662,0,0
external_8b,32,569,0,569,0,0
