fold,method,alpha,calibration,threshold,rank,groups
libero_goal_full_0,v7_calibrated,0.02,task_init,3.9079456329345703,70,70
libero_goal_full_0,v7_calibrated,0.05,task_init,3.3299684524536133,68,70
libero_goal_full_0,v8_calibrated,0.02,task_init,3.9079456329345703,70,70
libero_goal_full_0,v8_calibrated,0.05,task_init,3.3299684524536133,68,70
libero_goal_full_0,v82_calibrated,0.02,task_init,3.9079456329345703,70,70
libero_goal_full_0,v82_calibrated,0.05,task_init,3.3617894649505615,68,70
libero_goal_full_0,clock,0.02,task_init,19.0,70,70
libero_goal_full_0,clock,0.05,task_init,18.0,68,70
libero_goal_full_0,eef_motion_low,0.02,task_init,3.3329079151153564,70,70
libero_goal_full_0,eef_motion_low,0.05,task_init,3.0888068675994873,68,70
libero_goal_full_0,knn20,0.02,task_init,2.1338112354278564,70,70
libero_goal_full_0,knn20,0.05,task_init,1.9599847793579102,68,70
libero_goal_full_0,norm_only,0.02,task_init,7.359172821044922,70,70
libero_goal_full_0,norm_only,0.05,task_init,6.996034145355225,68,70
libero_goal_full_0,c4_assigned_radius,0.02,task_init,2.2266225814819336,70,70
libero_goal_full_0,c4_assigned_radius,0.05,task_init,1.5790314674377441,68,70
libero_goal_full_0,c32_assigned_radius,0.02,task_init,2.0229387283325195,70,70
libero_goal_full_0,c32_assigned_radius,0.05,task_init,1.614966869354248,68,70
libero_goal_full_0,c32_union_radius,0.02,task_init,1.7954775094985962,70,70
libero_goal_full_0,c32_union_radius,0.05,task_init,1.5852025747299194,68,70
libero_goal_full_0,cosine_knn20,0.02,task_init,0.42533838748931885,70,70
libero_goal_full_0,cosine_knn20,0.05,task_init,0.326732873916626,68,70
libero_goal_full_1,v7_calibrated,0.02,task_init,5.22994327545166,70,70
libero_goal_full_1,v7_calibrated,0.05,task_init,5.0558085441589355,68,70
libero_goal_full_1,v8_calibrated,0.02,task_init,5.22994327545166,70,70
libero_goal_full_1,v8_calibrated,0.05,task_init,5.0558085441589355,68,70
libero_goal_full_1,v82_calibrated,0.02,task_init,5.22994327545166,70,70
libero_goal_full_1,v82_calibrated,0.05,task_init,5.0558085441589355,68,70
libero_goal_full_1,clock,0.02,task_init,22.0,70,70
libero_goal_full_1,clock,0.05,task_init,18.0,68,70
libero_goal_full_1,eef_motion_low,0.02,task_init,1.5886257886886597,70,70
libero_goal_full_1,eef_motion_low,0.05,task_init,1.570481538772583,68,70
libero_goal_full_1,knn20,0.02,task_init,2.8088362216949463,70,70
libero_goal_full_1,knn20,0.05,task_init,2.4561617374420166,68,70
libero_goal_full_1,norm_only,0.02,task_init,9.165897369384766,70,70
libero_goal_full_1,norm_only,0.05,task_init,8.506902694702148,68,70
libero_goal_full_1,c4_assigned_radius,0.02,task_init,1.8959752321243286,70,70
libero_goal_full_1,c4_assigned_radius,0.05,task_init,1.764198660850525,68,70
libero_goal_full_1,c32_assigned_radius,0.02,task_init,2.335249185562134,70,70
