method,alpha,cohort,query_cutoff,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
v7_calibrated,0.02,all,7,32000,1096,30904,1,1,1095,30903,0.0009124087591240876,3.235827077400984e-05,0.5,1,7.0,7.0
v7_calibrated,0.02,all,10,32000,1096,30904,16,378,1080,30526,0.014598540145985401,0.012231426352575719,0.04060913705583756,16,9.0,10.0
v7_calibrated,0.02,all,13,32000,1096,30904,29,723,1067,30181,0.02645985401459854,0.023395029769609114,0.03856382978723404,29,10.0,10.0
v7_calibrated,0.02,all,20,32000,1096,30904,317,736,779,30168,0.2892335766423358,0.02381568728967124,0.3010446343779677,238,16.0,10.0
v7_calibrated,0.02,all,51,32000,1096,30904,664,749,432,30155,0.6058394160583942,0.024236344809733367,0.4699221514508139,551,21.0,10.0
v7_calibrated,0.02,A,7,16000,532,15468,1,1,531,15467,0.0018796992481203006,6.464959917248513e-05,0.5,1,7.0,7.0
v7_calibrated,0.02,A,10,16000,532,15468,8,181,524,15287,0.015037593984962405,0.011701577450219809,0.042328042328042326,8,9.0,10.0
v7_calibrated,0.02,A,13,16000,532,15468,11,354,521,15114,0.020676691729323307,0.022885958107059737,0.030136986301369864,11,10.0,10.0
v7_calibrated,0.02,A,20,16000,532,15468,159,359,373,15109,0.29887218045112784,0.023209206102922163,0.30694980694980695,123,16.0,10.0
v7_calibrated,0.02,A,51,16000,532,15468,331,366,201,15102,0.6221804511278195,0.023661753297129558,0.4748923959827834,282,21.0,11.0
v7_calibrated,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
v7_calibrated,0.02,B,10,16000,564,15436,8,197,556,15239,0.014184397163120567,0.012762373671935735,0.03902439024390244,8,9.0,10.0
v7_calibrated,0.02,B,13,16000,564,15436,18,369,546,15067,0.031914893617021274,0.023905156776366933,0.046511627906976744,18,11.0,10.0
v7_calibrated,0.02,B,20,16000,564,15436,158,377,406,15059,0.2801418439716312,0.024423425757968385,0.2953271028037383,115,16.0,10.0
v7_calibrated,0.02,B,51,16000,564,15436,333,383,231,15053,0.5904255319148937,0.024812127494169472,0.4650837988826816,269,21.0,10.0
v8_calibrated,0.02,all,7,32000,1096,30904,1,0,1095,30904,0.0009124087591240876,0.0,1.0,1,7.0,
v8_calibrated,0.02,all,10,32000,1096,30904,30,406,1066,30498,0.02737226277372263,0.013137457934247993,0.06880733944954129,30,9.5,10.0
v8_calibrated,0.02,all,13,32000,1096,30904,85,719,1011,30185,0.07755474452554745,0.02326559668651307,0.10572139303482588,85,11.0,10.0
v8_calibrated,0.02,all,20,32000,1096,30904,399,741,697,30163,0.36405109489051096,0.02397747864354129,0.35,314,16.0,10.0
v8_calibrated,0.02,all,51,32000,1096,30904,749,755,347,30149,0.6833941605839416,0.024430494434377427,0.49800531914893614,633,20.0,10.0
v8_calibrated,0.02,A,7,16000,532,15468,1,0,531,15468,0.0018796992481203006,0.0,1.0,1,7.0,
v8_calibrated,0.02,A,10,16000,532,15468,14,195,518,15273,0.02631578947368421,0.0126066718386346,0.06698564593301436,14,9.5,10.0
v8_calibrated,0.02,A,13,16000,532,15468,37,352,495,15116,0.06954887218045112,0.022756658908714766,0.09511568123393316,37,11.0,10.0
v8_calibrated,0.02,A,20,16000,532,15468,195,362,337,15106,0.36654135338345867,0.023403154900439618,0.3500897666068223,152,16.0,10.0
v8_calibrated,0.02,A,51,16000,532,15468,371,369,161,15099,0.6973684210526315,0.023855702094647012,0.5013513513513513,315,20.0,10.0
v8_calibrated,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
v8_calibrated,0.02,B,10,16000,564,15436,16,211,548,15225,0.028368794326241134,0.013669344389738275,0.07048458149779736,16,9.5,10.0
v8_calibrated,0.02,B,13,16000,564,15436,48,367,516,15069,0.0851063829787234,0.023775589530966573,0.11566265060240964,48,12.0,10.0
v8_calibrated,0.02,B,20,16000,564,15436,204,379,360,15057,0.3617021276595745,0.02455299300336875,0.34991423670668953,162,15.5,10.0
v8_calibrated,0.02,B,51,16000,564,15436,378,386,186,15050,0.6702127659574468,0.025006478362270018,0.49476439790575916,318,19.5,10.0
v82_calibrated,0.02,all,7,32000,1096,30904,1,1,1095,30903,0.0009124087591240876,3.235827077400984e-05,0.5,1,7.0,7.0
v82_calibrated,0.02,all,10,32000,1096,30904,34,334,1062,30570,0.03102189781021898,0.010807662438519286,0.09239130434782608,34,10.0,10.0
v82_calibrated,0.02,all,13,32000,1096,30904,94,629,1002,30275,0.08576642335766424,0.02035335231685219,0.13001383125864455,94,11.0,10.0
v82_calibrated,0.02,all,20,32000,1096,30904,414,659,682,30245,0.3777372262773723,0.021324100440072484,0.385834109972041,332,16.0,10.0
v82_calibrated,0.02,all,51,32000,1096,30904,759,677,337,30227,0.6925182481751825,0.02190654931400466,0.5285515320334262,638,19.0,11.0
v82_calibrated,0.02,A,7,16000,532,15468,1,1,531,15467,0.0018796992481203006,6.464959917248513e-05,0.5,1,7.0,7.0
v82_calibrated,0.02,A,10,16000,532,15468,18,163,514,15305,0.03383458646616541,0.010537884665115077,0.09944751381215469,18,10.0,10.0
v82_calibrated,0.02,A,13,16000,532,15468,42,312,490,15156,0.07894736842105263,0.02017067494181536,0.11864406779661017,42,11.0,10.0
v82_calibrated,0.02,A,20,16000,532,15468,205,325,327,15143,0.38533834586466165,0.021011119731057668,0.3867924528301887,165,16.0,10.0
v82_calibrated,0.02,A,51,16000,532,15468,379,334,153,15134,0.7124060150375939,0.021592966123610034,0.5315568022440392,318,19.0,11.0
v82_calibrated,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
v82_calibrated,0.02,B,10,16000,564,15436,16,171,548,15265,0.028368794326241134,0.011077999481731018,0.0855614973262032,16,9.5,10.0
v82_calibrated,0.02,B,13,16000,564,15436,52,317,512,15119,0.09219858156028368,0.020536408395957502,0.14092140921409213,52,11.0,10.0
v82_calibrated,0.02,B,20,16000,564,15436,209,334,355,15102,0.37056737588652483,0.021637729981860587,0.3848987108655617,167,15.0,10.0
v82_calibrated,0.02,B,51,16000,564,15436,380,343,184,15093,0.6737588652482269,0.022220782586162217,0.5255878284923928,320,19.0,11.0
clock,0.02,all,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
clock,0.02,all,10,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
clock,0.02,all,13,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
clock,0.02,all,20,32000,1096,30904,321,62,775,30842,0.29288321167883213,0.00200621278798861,0.8381201044386423,321,14.0,20.0
clock,0.02,all,51,32000,1096,30904,1015,442,81,30462,0.926094890510949,0.014302355682112348,0.696636925188744,975,23.0,38.0
clock,0.02,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
clock,0.02,A,10,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
clock,0.02,A,13,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
clock,0.02,A,20,16000,532,15468,151,25,381,15443,0.28383458646616544,0.0016162399793121284,0.8579545454545454,151,14.0,20.0
clock,0.02,A,51,16000,532,15468,488,221,44,15247,0.9172932330827067,0.014287561417119213,0.688293370944993,469,23.0,38.0
clock,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
clock,0.02,B,10,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
clock,0.02,B,13,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
clock,0.02,B,20,16000,564,15436,170,37,394,15399,0.30141843971631205,0.0023969940399067116,0.821256038647343,170,14.0,20.0
clock,0.02,B,51,16000,564,15436,527,221,37,15215,0.9343971631205674,0.014317180616740088,0.7045454545454546,506,23.0,38.0
eef_motion_low,0.02,all,7,32000,1096,30904,7,1261,1089,29643,0.006386861313868613,0.0408037794460264,0.005520504731861199,7,1.0,1.0
eef_motion_low,0.02,all,10,32000,1096,30904,8,1275,1088,29629,0.0072992700729927005,0.04125679523686254,0.006235385814497272,8,1.0,1.0
eef_motion_low,0.02,all,13,32000,1096,30904,54,1328,1042,29576,0.04927007299270073,0.042971783587885067,0.03907380607814761,54,13.0,1.0
eef_motion_low,0.02,all,20,32000,1096,30904,314,1350,782,29554,0.2864963503649635,0.04368366554491328,0.18870192307692307,278,16.0,1.0
eef_motion_low,0.02,all,51,32000,1096,30904,561,1375,535,29529,0.5118613138686131,0.04449262231426353,0.2897727272727273,437,19.0,1.0
eef_motion_low,0.02,A,7,16000,532,15468,5,629,527,14839,0.009398496240601503,0.04066459787949315,0.007886435331230283,5,1.0,1.0
eef_motion_low,0.02,A,10,16000,532,15468,6,635,526,14833,0.011278195488721804,0.04105249547452806,0.0093603744149766,6,4.0,1.0
eef_motion_low,0.02,A,13,16000,532,15468,24,658,508,14810,0.045112781954887216,0.042539436255495215,0.03519061583577713,24,13.0,1.0
eef_motion_low,0.02,A,20,16000,532,15468,155,667,377,14801,0.29135338345864664,0.043121282648047585,0.18856447688564476,136,16.0,1.0
eef_motion_low,0.02,A,51,16000,532,15468,283,680,249,14788,0.5319548872180451,0.04396172743728989,0.29387331256490135,216,19.0,1.0
eef_motion_low,0.02,B,7,16000,564,15436,2,632,562,14804,0.0035460992907801418,0.04094324954651464,0.0031545741324921135,2,1.0,1.0
eef_motion_low,0.02,B,10,16000,564,15436,2,640,562,14796,0.0035460992907801418,0.041461518528116095,0.003115264797507788,2,1.0,1.0
eef_motion_low,0.02,B,13,16000,564,15436,30,670,534,14766,0.05319148936170213,0.04340502720912153,0.04285714285714286,30,13.0,1.0
eef_motion_low,0.02,B,20,16000,564,15436,159,683,405,14753,0.28191489361702127,0.04424721430422389,0.18883610451306412,142,16.0,1.0
eef_motion_low,0.02,B,51,16000,564,15436,278,695,286,14741,0.4929078014184397,0.04502461777662607,0.2857142857142857,221,19.0,2.0
knn20,0.02,all,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
knn20,0.02,all,10,32000,1096,30904,20,727,1076,30177,0.01824817518248175,0.023524462852705152,0.02677376171352075,20,9.0,9.0
knn20,0.02,all,13,32000,1096,30904,111,1260,985,29644,0.10127737226277372,0.04077142117525239,0.08096280087527352,111,12.0,10.0
knn20,0.02,all,20,32000,1096,30904,404,1302,692,29602,0.3686131386861314,0.042130468547760806,0.23681125439624853,349,15.0,10.0
knn20,0.02,all,51,32000,1096,30904,773,1318,323,29586,0.7052919708029197,0.04264820088014497,0.3696795791487327,653,20.0,10.0
knn20,0.02,A,7,16000,532,15468,0,0,532,15468,0.0,0.0,,0,,
knn20,0.02,A,10,16000,532,15468,11,348,521,15120,0.020676691729323307,0.022498060512024826,0.03064066852367688,11,9.0,9.0
knn20,0.02,A,13,16000,532,15468,53,613,479,14855,0.09962406015037593,0.03963020429273339,0.07957957957957958,53,12.0,10.0
knn20,0.02,A,20,16000,532,15468,195,628,337,14840,0.36654135338345867,0.04059994828032066,0.23693803159173754,166,15.0,10.0
knn20,0.02,A,51,16000,532,15468,378,635,154,14833,0.7105263157894737,0.04105249547452806,0.37314906219151034,312,19.0,10.0
knn20,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
knn20,0.02,B,10,16000,564,15436,9,379,555,15057,0.015957446808510637,0.02455299300336875,0.023195876288659795,9,9.0,9.0
knn20,0.02,B,13,16000,564,15436,58,647,506,14789,0.10283687943262411,0.04191500388701736,0.08226950354609928,58,12.0,10.0
knn20,0.02,B,20,16000,564,15436,209,674,355,14762,0.37056737588652483,0.04366416169992226,0.23669309173272934,183,15.0,10.0
knn20,0.02,B,51,16000,564,15436,395,683,169,14753,0.700354609929078,0.04424721430422389,0.36641929499072357,341,20.0,10.0
norm_only,0.02,all,7,32000,1096,30904,1,0,1095,30904,0.0009124087591240876,0.0,1.0,1,7.0,
norm_only,0.02,all,10,32000,1096,30904,17,541,1079,30363,0.01551094890510949,0.017505824488739323,0.03046594982078853,17,9.0,10.0
norm_only,0.02,all,13,32000,1096,30904,40,938,1056,29966,0.0364963503649635,0.030352057986021228,0.0408997955010225,40,11.0,10.0
norm_only,0.02,all,20,32000,1096,30904,355,955,741,29949,0.3239051094890511,0.030902148589179394,0.27099236641221375,259,16.0,10.0
norm_only,0.02,all,51,32000,1096,30904,727,966,369,29938,0.6633211678832117,0.0312580895676935,0.42941523922031893,584,21.0,10.0
norm_only,0.02,A,7,16000,532,15468,1,0,531,15468,0.0018796992481203006,0.0,1.0,1,7.0,
norm_only,0.02,A,10,16000,532,15468,8,262,524,15206,0.015037593984962405,0.016938194983191105,0.02962962962962963,8,9.0,10.0
norm_only,0.02,A,13,16000,532,15468,15,460,517,15008,0.02819548872180451,0.02973881561934316,0.031578947368421054,15,10.0,10.0
norm_only,0.02,A,20,16000,532,15468,174,467,358,15001,0.32706766917293234,0.030191362813550556,0.2714508580343214,125,17.0,10.0
norm_only,0.02,A,51,16000,532,15468,358,473,174,14995,0.6729323308270677,0.030579260408585468,0.43080625752105894,290,21.0,10.0
norm_only,0.02,B,7,16000,564,15436,0,0,564,15436,0.0,0.0,,0,,
