cohort,method,extra_tp_vs_v7,extra_fp_vs_v7,lost_tp_vs_v7,lost_fp_vs_v7,earlier_tp_vs_v7
all,v7_frozen,0,0,0,0,0
all,v8_frozen,19,0,0,0,2
all,v82_frozen,48,0,0,0,6
all,knn20,103,59,7,3,145
all,c4_assigned_radius,101,58,8,2,93
all,c32_assigned_radius,96,47,13,6,94
all,c32_union_radius,97,35,13,6,82
all,norm_only,55,13,17,3,57
all,cosine_knn20,1,5,214,8,2
all,knn_euclidean_OR_cosine,103,64,7,3,146
all,knn_euclidean_AND_cosine_latched,1,0,214,8,1
primary,v7_frozen,0,0,0,0,0
primary,v8_frozen,19,0,0,0,2
primary,v82_frozen,48,0,0,0,6
primary,knn20,103,58,7,3,144
primary,c4_assigned_radius,101,57,8,2,92
primary,c32_assigned_radius,96,46,13,6,93
primary,c32_union_radius,97,34,13,6,81
primary,norm_only,55,13,17,3,56
primary,cosine_knn20,1,4,213,8,2
primary,knn_euclidean_OR_cosine,103,62,7,3,145
primary,knn_euclidean_AND_cosine_latched,1,0,213,8,1
unchanged_scene_controls,v7_frozen,0,0,0,0,0
unchanged_scene_controls,v8_frozen,0,0,0,0,0
unchanged_scene_controls,v82_frozen,0,0,0,0,0
unchanged_scene_controls,knn20,0,1,0,0,1
unchanged_scene_controls,c4_assigned_radius,0,1,0,0,1
unchanged_scene_controls,c32_assigned_radius,0,1,0,0,1
unchanged_scene_controls,c32_union_radius,0,1,0,0,1
unchanged_scene_controls,norm_only,0,0,0,0,1
unchanged_scene_controls,cosine_knn20,0,1,1,0,0
unchanged_scene_controls,knn_euclidean_OR_cosine,0,2,0,0,1
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,1,0,0
all_plus,v7_frozen,0,0,0,0,0
all_plus,v8_frozen,15,0,0,0,2
all_plus,v82_frozen,30,0,0,0,5
all_plus,knn20,73,53,6,2,79
all_plus,c4_assigned_radius,72,51,7,2,58
all_plus,c32_assigned_radius,67,44,11,5,54
all_plus,c32_union_radius,68,33,12,5,52
all_plus,norm_only,37,10,15,2,35
all_plus,cosine_knn20,1,4,123,7,1
all_plus,knn_euclidean_OR_cosine,73,57,6,2,80
all_plus,knn_euclidean_AND_cosine_latched,1,0,123,7,0
primary_plus,v7_frozen,0,0,0,0,0
primary_plus,v8_frozen,15,0,0,0,2
primary_plus,v82_frozen,30,0,0,0,5
primary_plus,knn20,73,53,6,2,79
primary_plus,c4_assigned_radius,72,51,7,2,58
primary_plus,c32_assigned_radius,67,44,11,5,54
primary_plus,c32_union_radius,68,33,12,5,52
primary_plus,norm_only,37,10,15,2,35
primary_plus,cosine_knn20,1,4,123,7,1
primary_plus,knn_euclidean_OR_cosine,73,57,6,2,80
primary_plus,knn_euclidean_AND_cosine_latched,1,0,123,7,0
all_pro,v7_frozen,0,0,0,0,0
all_pro,v8_frozen,4,0,0,0,0
all_pro,v82_frozen,18,0,0,0,1
all_pro,knn20,30,6,1,1,66
all_pro,c4_assigned_radius,29,7,1,0,35
all_pro,c32_assigned_radius,29,3,2,1,40
all_pro,c32_union_radius,29,2,1,1,30
all_pro,norm_only,18,3,2,1,22
all_pro,cosine_knn20,0,1,91,1,1
all_pro,knn_euclidean_OR_cosine,30,7,1,1,66
all_pro,knn_euclidean_AND_cosine_latched,0,0,91,1,1
primary_pro,v7_frozen,0,0,0,0,0
primary_pro,v8_frozen,4,0,0,0,0
primary_pro,v82_frozen,18,0,0,0,1
primary_pro,knn20,30,5,1,1,65
primary_pro,c4_assigned_radius,29,6,1,0,34
primary_pro,c32_assigned_radius,29,2,2,1,39
primary_pro,c32_union_radius,29,1,1,1,29
primary_pro,norm_only,18,3,2,1,21
primary_pro,cosine_knn20,0,0,90,1,1
primary_pro,knn_euclidean_OR_cosine,30,5,1,1,65
primary_pro,knn_euclidean_AND_cosine_latched,0,0,90,1,1
