cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,v7_frozen,830,327,503,217,8,110,495,0.6636085626911316,0.015904572564612324,0.9644444444444444,210,31.0,21.0
all,v8_frozen,830,327,503,236,8,91,495,0.7217125382262997,0.015904572564612324,0.9672131147540983,230,31.0,21.0
all,v82_frozen,830,327,503,265,8,62,495,0.8103975535168195,0.015904572564612324,0.9706959706959707,256,31.0,21.0
all,knn20,830,327,503,313,64,14,439,0.9571865443425076,0.1272365805168986,0.830238726790451,309,26.0,23.0
all,c4_assigned_radius,830,327,503,310,64,17,439,0.9480122324159022,0.1272365805168986,0.8288770053475936,305,25.0,21.5
all,c32_assigned_radius,830,327,503,300,49,27,454,0.9174311926605505,0.09741550695825049,0.8595988538681948,293,29.0,21.0
all,c32_union_radius,830,327,503,301,37,26,466,0.9204892966360856,0.073558648111332,0.8905325443786982,294,29.0,20.0
all,norm_only,830,327,503,255,18,72,485,0.7798165137614679,0.03578528827037773,0.9340659340659341,244,29.0,24.0
all,cosine_knn20,830,327,503,4,5,323,498,0.012232415902140673,0.009940357852882704,0.4444444444444444,4,19.5,7.0
all,knn_euclidean_OR_cosine,830,327,503,313,69,14,434,0.9571865443425076,0.13717693836978131,0.819371727748691,309,26.0,23.0
all,knn_euclidean_AND_cosine_latched,830,327,503,4,0,323,503,0.012232415902140673,0.0,1.0,4,27.0,
primary,v7_frozen,810,326,484,216,8,110,476,0.6625766871165644,0.01652892561983471,0.9642857142857143,209,30.5,21.0
primary,v8_frozen,810,326,484,235,8,91,476,0.7208588957055214,0.01652892561983471,0.9670781893004116,229,31.0,21.0
primary,v82_frozen,810,326,484,264,8,62,476,0.8098159509202454,0.01652892561983471,0.9705882352941176,255,31.0,21.0
primary,knn20,810,326,484,312,63,14,421,0.9570552147239264,0.13016528925619836,0.832,308,26.0,23.0
primary,c4_assigned_radius,810,326,484,309,63,17,421,0.9478527607361963,0.13016528925619836,0.8306451612903226,304,25.0,22.0
primary,c32_assigned_radius,810,326,484,299,48,27,436,0.9171779141104295,0.09917355371900827,0.861671469740634,292,29.0,21.0
primary,c32_union_radius,810,326,484,300,36,26,448,0.9202453987730062,0.0743801652892562,0.8928571428571429,293,29.0,20.0
primary,norm_only,810,326,484,254,18,72,466,0.7791411042944786,0.0371900826446281,0.9338235294117647,243,29.0,24.0
primary,cosine_knn20,810,326,484,4,4,322,480,0.012269938650306749,0.008264462809917356,0.5,4,19.5,10.0
primary,knn_euclidean_OR_cosine,810,326,484,312,67,14,417,0.9570552147239264,0.1384297520661157,0.8232189973614775,308,26.0,23.0
