cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,v7_frozen,700,161,539,73,6,88,533,0.453416149068323,0.011131725417439703,0.9240506329113924,60,19.0,14.5
all,v8_frozen,700,161,539,133,29,28,510,0.8260869565217391,0.05380333951762523,0.8209876543209876,116,17.0,15.0
all,v82_frozen,700,161,539,137,30,24,509,0.8509316770186336,0.055658627087198514,0.8203592814371258,121,16.0,14.0
all,knn20,700,161,539,120,7,41,532,0.7453416149068323,0.012987012987012988,0.9448818897637795,98,16.0,13.0
all,c4_assigned_radius,700,161,539,99,5,62,534,0.6149068322981367,0.00927643784786642,0.9519230769230769,78,17.0,14.0
all,c32_assigned_radius,700,161,539,105,8,56,531,0.6521739130434783,0.014842300556586271,0.9292035398230089,85,17.0,16.5
all,c32_union_radius,700,161,539,101,8,60,531,0.6273291925465838,0.014842300556586271,0.926605504587156,83,17.0,16.5
all,norm_only,700,161,539,82,6,79,533,0.5093167701863354,0.011131725417439703,0.9318181818181818,66,17.0,12.5
all,cosine_knn20,700,161,539,1,3,160,536,0.006211180124223602,0.0055658627087198514,0.25,1,7.0,8.0
all,knn_euclidean_OR_cosine,700,161,539,120,10,41,529,0.7453416149068323,0.01855287569573284,0.9230769230769231,98,16.0,12.5
all,knn_euclidean_AND_cosine_latched,700,161,539,1,0,160,539,0.006211180124223602,0.0,1.0,1,12.0,
primary,v7_frozen,700,161,539,73,6,88,533,0.453416149068323,0.011131725417439703,0.9240506329113924,60,19.0,14.5
primary,v8_frozen,700,161,539,133,29,28,510,0.8260869565217391,0.05380333951762523,0.8209876543209876,116,17.0,15.0
primary,v82_frozen,700,161,539,137,30,24,509,0.8509316770186336,0.055658627087198514,0.8203592814371258,121,16.0,14.0
primary,knn20,700,161,539,120,7,41,532,0.7453416149068323,0.012987012987012988,0.9448818897637795,98,16.0,13.0
primary,c4_assigned_radius,700,161,539,99,5,62,534,0.6149068322981367,0.00927643784786642,0.9519230769230769,78,17.0,14.0
primary,c32_assigned_radius,700,161,539,105,8,56,531,0.6521739130434783,0.014842300556586271,0.9292035398230089,85,17.0,16.5
primary,c32_union_radius,700,161,539,101,8,60,531,0.6273291925465838,0.014842300556586271,0.926605504587156,83,17.0,16.5
primary,norm_only,700,161,539,82,6,79,533,0.5093167701863354,0.011131725417439703,0.9318181818181818,66,17.0,12.5
primary,cosine_knn20,700,161,539,1,3,160,536,0.006211180124223602,0.0055658627087198514,0.25,1,7.0,8.0
primary,knn_euclidean_OR_cosine,700,161,539,120,10,41,529,0.7453416149068323,0.01855287569573284,0.9230769230769231,98,16.0,12.5
primary,knn_euclidean_AND_cosine_latched,700,161,539,1,0,160,539,0.006211180124223602,0.0,1.0,1,12.0,
unchanged_scene_controls,v7_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,v8_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,v82_frozen,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn20,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c4_assigned_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c32_assigned_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,c32_union_radius,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,norm_only,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,cosine_knn20,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn_euclidean_OR_cosine,0,0,0,0,0,0,0,,,,0,,
unchanged_scene_controls,knn_euclidean_AND_cosine_latched,0,0,0,0,0,0,0,,,,0,,
all_plus,v7_frozen,700,161,539,73,6,88,533,0.453416149068323,0.011131725417439703,0.9240506329113924,60,19.0,14.5
all_plus,v8_frozen,700,161,539,133,29,28,510,0.8260869565217391,0.05380333951762523,0.8209876543209876,116,17.0,15.0
all_plus,v82_frozen,700,161,539,137,30,24,509,0.8509316770186336,0.055658627087198514,0.8203592814371258,121,16.0,14.0
all_plus,knn20,700,161,539,120,7,41,532,0.7453416149068323,0.012987012987012988,0.9448818897637795,98,16.0,13.0
all_plus,c4_assigned_radius,700,161,539,99,5,62,534,0.6149068322981367,0.00927643784786642,0.9519230769230769,78,17.0,14.0
all_plus,c32_assigned_radius,700,161,539,105,8,56,531,0.6521739130434783,0.014842300556586271,0.9292035398230089,85,17.0,16.5
all_plus,c32_union_radius,700,161,539,101,8,60,531,0.6273291925465838,0.014842300556586271,0.926605504587156,83,17.0,16.5
all_plus,norm_only,700,161,539,82,6,79,533,0.5093167701863354,0.011131725417439703,0.9318181818181818,66,17.0,12.5
all_plus,cosine_knn20,700,161,539,1,3,160,536,0.006211180124223602,0.0055658627087198514,0.25,1,7.0,8.0
all_plus,knn_euclidean_OR_cosine,700,161,539,120,10,41,529,0.7453416149068323,0.01855287569573284,0.9230769230769231,98,16.0,12.5
all_plus,knn_euclidean_AND_cosine_latched,700,161,539,1,0,160,539,0.006211180124223602,0.0,1.0,1,12.0,
primary_plus,v7_frozen,700,161,539,73,6,88,533,0.453416149068323,0.011131725417439703,0.9240506329113924,60,19.0,14.5
