main_id,benchmark,category,task_name,analysis_role,length,failure,online_v7_first,v7_frozen,v8_frozen,v82_frozen,knn20,c4_assigned_radius,c32_assigned_radius,c32_union_radius,norm_only,cosine_knn20,knn_euclidean_OR_cosine,knn_euclidean_AND_cosine_latched
e81da71a8d25375f032cde4f,pro,Task,put_the_bowl_on_top_of_the_cabinet,perturbation,30,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f274507370fc61842ad0c2ca,pro,Position,put_the_bowl_on_the_plate,perturbation,30,True,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1
194892c0708d9f8664d6424c,pro,Position,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,25,25,25,25,23,28,21,24,24,-1,23,-1
2f4d4f0eda0749bfb9aaddcd,pro,Semantic,push_the_plate_to_the_front_of_the_stove,perturbation,30,True,-1,-1,10,10,-1,-1,-1,-1,-1,-1,-1,-1
0324390e05a35e51d2fec326,pro,Semantic,push_the_plate_to_the_front_of_the_stove,perturbation,30,True,-1,-1,14,12,18,19,-1,-1,-1,-1,18,-1
65882a857abe8d838ab310e9,pro,Position,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,15,15,15,15,15,16,16,16,14,-1,15,-1
f70e143572ef0af0559bae68,pro,Task,put_the_wine_bottle_on_the_rack,perturbation,30,True,-1,-1,18,18,-1,-1,-1,-1,-1,-1,-1,-1
f6d9b4b2ba304f5e4d563aee,pro,Semantic,put_the_bowl_on_the_plate,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4f9d5e7b9bbdf93d7d940d65,pro,Semantic,open_the_middle_drawer_of_the_cabinet,perturbation,13,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8e51d936d7fbd2d0032965d6,pro,Position,put_the_bowl_on_the_stove,perturbation,30,True,-1,-1,16,15,17,12,24,25,20,-1,17,-1
51d6628c37e27c41616f5526,pro,Environment,open_the_middle_drawer_of_the_cabinet,perturbation,30,True,-1,-1,21,21,-1,-1,-1,-1,-1,-1,-1,-1
6338e890143eda968df1abd7,pro,Task,put_the_bowl_on_the_plate,perturbation,30,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ee1d2eb4748c4251a79b476d,pro,Object,put_the_wine_bottle_on_the_rack,perturbation,13,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33ff6c71920fe4d303f252f1,pro,Position,turn_on_the_stove,perturbation,30,True,16,16,16,15,25,-1,-1,-1,-1,-1,25,-1
27fe724bfa9bbbbf78ddd081,pro,Position,put_the_wine_bottle_on_the_rack,perturbation,30,True,27,27,27,27,25,26,27,26,27,-1,25,-1
c563b73a8fb74dc5e5e9ecb1,pro,Position,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,30,True,15,15,15,15,15,16,16,16,15,-1,15,-1
6b3a448cdab47ca7356d0da4,pro,Environment,put_the_bowl_on_the_stove,perturbation,30,True,-1,-1,26,21,11,12,13,13,13,-1,11,-1
f07d70b205104776ffbe7625,pro,Position,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,30,True,16,16,16,16,16,16,16,16,16,-1,16,-1
b5b535c35e74e87225b17284,pro,Position,put_the_bowl_on_the_stove,perturbation,30,True,-1,-1,14,13,18,24,16,17,-1,-1,18,-1
45113a5dbe55bcbf0948d349,pro,Environment,put_the_bowl_on_the_plate,perturbation,30,True,-1,-1,-1,29,11,11,-1,-1,11,-1,11,-1
655e4d9cc0d5d1384821f7b5,pro,Semantic,put_the_bowl_on_the_plate,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a8664cf91aaca663685c532e,pro,Object,put_the_bowl_on_the_stove,perturbation,30,True,24,24,20,20,-1,-1,21,21,-1,-1,-1,-1
a5f07e0b6819c5fffb545caf,pro,Environment,push_the_plate_to_the_front_of_the_stove,perturbation,30,True,-1,-1,7,7,14,-1,14,-1,-1,-1,14,-1
5ce9512bbd0c43c09facbad4,pro,Object,put_the_wine_bottle_on_the_rack,perturbation,12,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a7723df10c9197ceedfca865,pro,Environment,put_the_bowl_on_the_stove,perturbation,30,True,-1,-1,26,24,11,12,-1,14,13,-1,11,-1
f29c549927a3e4d54f2dd42b,pro,Semantic,put_the_bowl_on_the_plate,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
e8bb0c8f00edd6bccab9a5bb,pro,Semantic,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,24,24,24,24,23,24,25,24,24,-1,23,-1
aeff200f6f79e966f7437918,pro,Environment,put_the_cream_cheese_in_the_bowl,perturbation,30,True,-1,-1,-1,-1,10,11,17,17,28,-1,10,-1
d2818523a59dba577bfb60dc,pro,Task,put_the_cream_cheese_in_the_bowl,perturbation,30,True,18,18,18,18,18,19,-1,-1,18,-1,18,-1
57798496be65dbc0c8c7fe3a,pro,Task,turn_on_the_stove,perturbation,5,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5280ce0d99be5231e4580a37,pro,Environment,push_the_plate_to_the_front_of_the_stove,perturbation,30,True,-1,-1,7,7,23,23,-1,29,-1,-1,23,-1
5bc918992d4b4f9de1d73447,pro,Task,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,30,True,24,24,24,24,25,25,26,26,24,-1,25,-1
449957cf8e517fb175b66ba5,pro,Object,turn_on_the_stove,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
610c14d39550a1066a5b5dd1,pro,Task,put_the_wine_bottle_on_the_rack,perturbation,30,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1c53e389597348e3bab3f462,pro,Environment,put_the_bowl_on_the_stove,perturbation,30,True,-1,-1,23,23,11,11,13,13,12,-1,11,-1
95e691ff2a5524fc21ec397c,pro,Semantic,put_the_bowl_on_the_plate,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4ec366c223802bd7b6435536,pro,Position,open_the_middle_drawer_of_the_cabinet,perturbation,30,True,23,23,16,15,14,15,12,18,-1,-1,14,-1
f18d2d9290f80f1ca702af9d,pro,Semantic,turn_on_the_stove,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1349671278775a828fe6a985,pro,Environment,push_the_plate_to_the_front_of_the_stove,perturbation,30,True,-1,-1,7,7,13,13,15,15,14,-1,13,-1
4186dfcba74465cf275e9569,pro,Position,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,30,True,15,15,15,15,15,16,16,16,15,-1,15,-1
683e25e47c63c14ba4c29479,pro,Semantic,put_the_bowl_on_top_of_the_cabinet,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9154c8425aad9f9320884f3a,pro,Position,open_the_middle_drawer_of_the_cabinet,perturbation,30,True,17,17,17,17,26,12,-1,17,-1,-1,26,-1
7fe18727c7e542924140a0e0,pro,Task,put_the_cream_cheese_in_the_bowl,perturbation,30,True,23,23,23,23,24,24,24,24,23,-1,24,-1
bea22852a7822a873c6c32b5,pro,Environment,put_the_cream_cheese_in_the_bowl,perturbation,30,True,-1,-1,-1,-1,11,11,-1,-1,-1,-1,11,-1
cc278ab371b9576e7e4284bb,pro,Semantic,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
d4dbd00bb0627252e7b934ca,pro,Task,put_the_bowl_on_the_stove,perturbation,30,True,17,17,17,17,16,17,-1,-1,16,-1,16,-1
c41c16efc1c9e0e20d6429fd,pro,Semantic,put_the_cream_cheese_in_the_bowl,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42df6dc1d07c6538b70bd4be,pro,Semantic,put_the_wine_bottle_on_the_rack,perturbation,14,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
af57904b5e8a7f1e5bcd3a65,pro,Object,put_the_bowl_on_the_stove,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81940fbd44b2db2a9493ec18,pro,Object,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1e2295ef0ce38808708ebd46,pro,Object,push_the_plate_to_the_front_of_the_stove,perturbation,13,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe8f3c46f8be8fcb9d44f7e2,pro,Task,put_the_wine_bottle_on_the_rack,perturbation,30,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
df72176207c1102df38a6196,pro,Semantic,turn_on_the_stove,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fab37ce7738b5b3cfb72fb7e,pro,Environment,put_the_bowl_on_top_of_the_cabinet,perturbation,30,True,-1,-1,23,23,13,23,11,12,24,-1,13,-1
69f31065e768a1e766c77444,pro,Semantic,put_the_cream_cheese_in_the_bowl,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
e9d3366a6d3f0dbe90f5a20c,pro,Environment,put_the_wine_bottle_on_the_rack,perturbation,30,True,-1,-1,-1,-1,10,11,10,-1,-1,-1,10,-1
007087a04e964d778acc69ee,pro,Environment,put_the_bowl_on_the_plate,perturbation,30,True,-1,-1,-1,-1,9,9,-1,10,10,-1,9,-1
20dd64012c8b9df3333bd838,pro,Task,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,25,25,25,12,11,11,12,12,11,-1,11,-1
a04c2d194f3ac5b34da518bb,pro,Semantic,put_the_bowl_on_top_of_the_cabinet,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3fdcd8a95d3f4f07c929b8be,pro,Task,open_the_middle_drawer_of_the_cabinet,perturbation,30,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45a0f1075ac18901922c25a1,pro,Position,put_the_bowl_on_the_plate,perturbation,30,True,13,13,13,13,12,13,12,12,11,-1,12,-1
262da1cf715d6b2679249d81,pro,Semantic,open_the_top_drawer_and_put_the_bowl_inside,perturbation,17,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09c394aa363bcee7a87b0675,pro,Task,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,-1,-1,16,15,26,11,28,28,28,-1,26,-1
1ee6f2665b19fbf4cc734c06,pro,Object,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,-1,-1,11,11,28,-1,28,29,-1,-1,28,-1
abc669f1d5d6564abcb4290f,pro,Object,put_the_cream_cheese_in_the_bowl,perturbation,30,True,-1,-1,10,10,20,20,-1,-1,-1,-1,20,-1
dc053fbcd4615fecc82af805,pro,Object,put_the_bowl_on_the_stove,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
047c78c532b031f9396e6ae8,pro,Environment,put_the_bowl_on_top_of_the_cabinet,perturbation,30,True,-1,-1,25,24,15,22,17,16,23,-1,15,-1
58e10c3acfa94a034dcb527e,pro,Object,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85614f4f5641e6ad19736c71,pro,Semantic,open_the_middle_drawer_of_the_cabinet,perturbation,13,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
086566a6dac80a7eb3b01672,pro,Environment,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,30,True,-1,-1,20,20,20,21,20,23,22,-1,20,-1
17af4b0bca5a1d7fc273bae1,pro,Environment,push_the_plate_to_the_front_of_the_stove,perturbation,30,True,-1,-1,7,7,11,11,14,13,12,-1,11,-1
ed7381814813797a677412c9,pro,Semantic,put_the_bowl_on_the_stove,perturbation,9,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f47db5528dd929b7b63de39c,pro,Position,put_the_bowl_on_the_plate,perturbation,30,True,-1,-1,-1,-1,18,-1,18,19,-1,-1,18,-1
25586f6560aa156f00878120,pro,Environment,put_the_bowl_on_the_stove,perturbation,30,True,-1,-1,20,18,10,12,10,13,13,-1,10,-1
8ef61fb801af6fc2129eda8b,pro,Object,put_the_bowl_on_the_plate,perturbation,7,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f9080d03adcabd9f40799206,pro,Position,open_the_middle_drawer_of_the_cabinet,perturbation,30,True,-1,-1,14,14,13,13,-1,-1,14,-1,13,-1
03558520e42af128bafc9674,pro,Semantic,turn_on_the_stove,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ed9750a550e3fb37bce709f4,pro,Position,put_the_cream_cheese_in_the_bowl,perturbation,30,True,14,14,9,9,12,14,14,13,14,-1,12,-1
2c200f3bc6b1d8ea6a742f30,pro,Task,open_the_top_drawer_and_put_the_bowl_inside,perturbation,30,True,-1,-1,16,15,11,10,20,12,11,-1,11,-1
117ad622ec7894b60f2a4448,pro,Environment,put_the_bowl_on_the_plate,perturbation,30,True,-1,-1,-1,-1,10,10,-1,-1,12,-1,10,-1
d37164dbb38aa6b2520852fc,pro,Semantic,put_the_wine_bottle_on_the_rack,perturbation,12,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c0db6d388bef738368a27183,pro,Semantic,put_the_bowl_on_the_plate,perturbation,8,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36f42034dc2b54ee49f7cd81,pro,Environment,open_the_middle_drawer_of_the_cabinet,perturbation,30,True,-1,-1,26,24,10,10,18,11,10,-1,10,-1
5f0b3af03fec5c626c35570c,pro,Task,put_the_wine_bottle_on_top_of_the_cabinet,perturbation,30,True,24,24,24,24,24,25,26,26,23,-1,24,-1
7437853666fddbbc90c98e49,pro,Task,put_the_bowl_on_top_of_the_cabinet,perturbation,30,True,24,24,24,24,11,12,13,13,24,-1,11,-1
