evidence_step,authority_steps,gate_close_count,gate_open_count,reached_query,min_horizontal_m,closures,closed_fully,closed_holding,lifted,success,stage,kind,main_id,failed,base_task,arm,timing,replicate,physical_class,target
,0,0,0,54,0.041,1,0,1,True,False,lifted_not_placed,fork,f30465c7d39039144d381adb,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
,0,0,2,55,0.053,1,0,1,True,False,lifted_not_placed,fork,f30465c7d39039144d381adb,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
,0,0,0,54,0.043,1,0,1,True,False,lifted_not_placed,fork,f30465c7d39039144d381adb,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,0,untouched,moka_pot_1
,0,0,0,55,0.048,1,0,1,True,False,lifted_not_placed,fork,f30465c7d39039144d381adb,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,1,untouched,moka_pot_1
,0,0,2,12,0.038,1,0,1,True,True,success,fork,ea40cec54e925f93ce4bdde9,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
,0,0,0,12,0.037,1,0,1,True,True,success,fork,ea40cec54e925f93ce4bdde9,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
8,72,4,0,37,0.003,0,0,0,True,False,lifted_not_placed,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,0,dropped_or_tipped,alphabet_soup_1
8,72,4,0,37,0.002,0,0,0,True,False,lifted_not_placed,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,1,dropped_or_tipped,alphabet_soup_1
8,72,4,0,47,0.0,0,0,0,True,False,lifted_not_placed,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,0,dropped_or_tipped,alphabet_soup_1
8,72,3,0,47,0.002,0,0,0,True,False,lifted_not_placed,fork,c84f432ff57dc50e5a34bd3b,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,1,dropped_or_tipped,alphabet_soup_1
,0,0,0,,0.425,0,0,0,False,False,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,0,dropped_or_tipped,ketchup_1
,0,0,0,,0.392,0,0,0,False,False,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,1,dropped_or_tipped,ketchup_1
,0,0,0,,0.366,0,0,0,False,False,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,0,dropped_or_tipped,ketchup_1
,0,0,0,,0.365,0,0,0,False,False,no_evidence,fork,e54fc6400ec4760576613b24,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,1,dropped_or_tipped,ketchup_1
,0,0,0,,0.339,0,0,0,False,False,no_evidence,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,0,dropped_or_tipped,ketchup_1
,0,0,0,,0.361,0,0,0,False,False,no_evidence,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,1,dropped_or_tipped,ketchup_1
259,41,3,0,,0.084,0,0,0,False,False,never_reached,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,0,dropped_or_tipped,ketchup_1
268,32,3,0,,0.129,0,0,0,False,False,never_reached,fork,c160bf544a107e2e14557a42,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,1,dropped_or_tipped,ketchup_1
0,186,6,0,45,0.006,1,0,1,False,False,closed_not_lifted,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full,mid,0,untouched,cream_cheese_1
0,201,12,0,45,0.008,1,1,0,False,False,closed_missed,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full,mid,1,untouched,cream_cheese_1
0,10,6,0,,0.105,0,0,0,True,False,lifted_not_placed,fork,ebcc1af39aae99b4e286b8cd,True,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,shared_full,late,0,untouched,cream_cheese_1
