tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,objective
112,0,0.2299794661190965,0.0,1.0,19,0,1.0,0.16964285714285715,0.8211477946109552,1.2178075695542503,112,20.0,14,4,0.2857142857142857,28,9,0.32142857142857145,72,11,0.1527777777777778,218,70,0.3211009174311927,18,1,0.05555555555555555,116,12,0.10344827586206896,14,2,0.14285714285714285,0.05555555555555555,0.19755464666094213,0.5147830989669571,7,flow_settling_log_ratio|per_task+partial_query_d1|per_task,2,2,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
107,0,0.21971252566735114,0.0,1.0,18,0,1.0,0.16822429906542055,0.829609434115498,1.2053864853479719,107,20.0,14,4,0.2857142857142857,28,8,0.2857142857142857,72,11,0.1527777777777778,218,69,0.3165137614678899,18,1,0.05555555555555555,116,12,0.10344827586206896,14,2,0.14285714285714285,0.05555555555555555,0.19179729784985805,0.49650888832047774,7,expert_load_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps+expert_load,3,False,True,primary,per_task,A
105,0,0.21560574948665298,0.0,1.0,17,0,1.0,0.1619047619047619,0.8026916123263544,1.2458084582468827,105,20.0,14,1,0.07142857142857142,28,2,0.07142857142857142,72,13,0.18055555555555555,218,72,0.3302752293577982,18,2,0.1111111111111111,116,5,0.04310344827586207,14,7,0.5,0.04310344827586207,0.1868432124510671,0.8382630097669017,7,conditional_query_d1|per_task+flow_settling_log_ratio|per_task+mobility|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
105,0,0.21560574948665298,0.0,1.0,19,0,1.0,0.18095238095238095,0.8187335303421008,1.2213986149830196,105,20.0,14,2,0.14285714285714285,28,7,0.25,72,10,0.1388888888888889,218,68,0.3119266055045872,18,1,0.05555555555555555,116,12,0.10344827586206896,14,2,0.14285714285714285,0.05555555555555555,0.1636476587893409,0.4965890750119305,7,flow_settling_log_ratio|per_task+mobility|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
104,0,0.2135523613963039,0.0,1.0,19,0,1.0,0.18269230769230768,0.8095880528532066,1.235196093217693,104,19.0,14,2,0.14285714285714285,28,0,0.0,72,13,0.18055555555555555,218,72,0.3302752293577982,18,3,0.16666666666666666,116,14,0.1206896551724138,14,0,0.0,0.0,0.13443489280136814,0.7848321519316415,7,conditional_effective_rank|per_task+expert_load_effective_rank|per_task,2,2,expert_load+token_graph,2,False,True,primary,per_task,A
91,0,0.1868583162217659,0.0,1.0,19,0,1.0,0.2087912087912088,0.7978737672973528,1.2533310919436689,91,19.0,14,2,0.14285714285714285,28,0,0.0,72,13,0.18055555555555555,218,61,0.2798165137614679,18,2,0.1111111111111111,116,13,0.11206896551724138,14,0,0.0,0.0,0.11805846982893124,0.7753075709805604,7,conditional_effective_rank|per_task+expert_load_effective_rank|per_task+mobility|per_task,3,3,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task,A
83,0,0.1704312114989733,0.0,1.0,19,0,1.0,0.2289156626506024,0.7857627581428359,1.2726487602485992,83,19.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,10,0.1388888888888889,218,54,0.24770642201834864,18,1,0.05555555555555555,116,13,0.11206896551724138,14,0,0.0,0.0,0.10468446579306614,0.7334430487513165,7,conditional_effective_rank|per_task+flow_settling_log_ratio|per_task,2,2,denoising_steps+token_graph,2,False,True,primary,per_task,A
81,0,0.16632443531827515,0.0,1.0,16,0,1.0,0.19753086419753085,0.7462053406991946,1.3401136998872183,81,20.0,14,2,0.14285714285714285,28,3,0.10714285714285714,72,7,0.09722222222222222,218,63,0.2889908256880734,18,2,0.1111111111111111,116,3,0.02586206896551724,14,1,0.07142857142857142,0.02586206896551724,0.1206592570593565,0.6347580081675496,7,conditional_query_d1|per_task+expert_load_effective_rank|per_task+partial_query_d1|per_task,3,3,adjacent_query+expert_load,2,False,True,primary,per_task,A
80,0,0.16427104722792607,0.0,1.0,19,0,1.0,0.2375,0.7811459949127956,1.2801704246229113,80,19.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,10,0.1388888888888889,218,52,0.23853211009174313,18,1,0.05555555555555555,116,12,0.10344827586206896,14,0,0.0,0.0,0.10214232270995502,0.7272706955806283,7,conditional_effective_rank|per_task+flow_settling_log_ratio|per_task+mobility|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
78,0,0.1601642710472279,0.0,1.0,18,0,1.0,0.23076923076923078,0.7951874300658266,1.2575651502906915,78,19.0,14,2,0.14285714285714285,28,0,0.0,72,10,0.1388888888888889,218,52,0.23853211009174313,18,1,0.05555555555555555,116,13,0.11206896551724138,14,0,0.0,0.0,0.09827180898722454,0.8126162881155635,7,conditional_effective_rank|per_task+expert_load_effective_rank|per_task+flow_settling_log_ratio|per_task,3,3,denoising_steps+expert_load+token_graph,3,False,True,primary,per_task,A
77,0,0.15811088295687886,0.0,1.0,23,0,1.0,0.2987012987012987,0.7315828326502669,1.3668992154686739,77,19.0,14,1,0.07142857142857142,28,6,0.21428571428571427,72,7,0.09722222222222222,218,50,0.22935779816513763,18,2,0.1111111111111111,116,11,0.09482758620689655,14,0,0.0,0.0,0.11689042905995047,0.636693818871548,7,flow_settling_log_ratio|per_task+partial_edge_std|per_task,2,2,denoising_steps+token_graph,2,False,True,primary,per_task,A
76,0,0.15605749486652978,0.0,1.0,22,0,1.0,0.2894736842105263,0.7393415717398456,1.3525548112312467,76,19.0,14,1,0.07142857142857142,28,5,0.17857142857142858,72,7,0.09722222222222222,218,50,0.22935779816513763,18,2,0.1111111111111111,116,11,0.09482758620689655,14,0,0.0,0.0,0.11178838824362394,0.6133490097161186,7,expert_load_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_edge_std|per_task,3,3,denoising_steps+expert_load+token_graph,3,False,True,primary,per_task,A
