tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode
400,70,0.8213552361396304,0.00489065884161252,0.851063829787234,36,32,0.5294117647058824,0.09,0.624014026803839,1.3638536847422005,470,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,47,0.6527777777777778,218,187,0.8577981651376146,18,12,0.6666666666666666,116,99,0.853448275862069,14,13,0.9285714285714286,0.6527777777777778,0.8105068611858959,0.12154877161594475,7,flow_endpoint|global+flow_path|global+v7_guard|global,3,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
400,71,0.8213552361396304,0.004960525396492699,0.8492569002123143,36,32,0.5294117647058824,0.09,0.6232681950542072,1.3625866151223267,471,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,47,0.6527777777777778,218,187,0.8577981651376146,18,12,0.6666666666666666,116,99,0.853448275862069,14,13,0.9285714285714286,0.6527777777777778,0.8105068611858959,0.12154877161594475,7,flow_endpoint|global+flow_path|global+flow_settling_log_ratio|global+v7_guard|global,4,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
395,70,0.811088295687885,0.00489065884161252,0.8494623655913979,36,32,0.5294117647058824,0.09113924050632911,0.6214014324655956,1.367010633079654,465,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,47,0.6527777777777778,218,183,0.8394495412844036,18,11,0.6111111111111112,116,99,0.853448275862069,14,13,0.9285714285714286,0.6111111111111112,0.7999491212703579,0.13761227296164386,7,flow_endpoint|global+v7_guard|global,2,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
395,71,0.811088295687885,0.004960525396492699,0.8476394849785408,36,32,0.5294117647058824,0.09113924050632911,0.6206532046549984,1.365721595604613,466,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,47,0.6527777777777778,218,183,0.8394495412844036,18,11,0.6111111111111112,116,99,0.853448275862069,14,13,0.9285714285714286,0.6111111111111112,0.7999491212703579,0.13761227296164386,7,flow_endpoint|global+flow_settling_log_ratio|global+v7_guard|global,3,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
395,70,0.811088295687885,0.00489065884161252,0.8494623655913979,33,32,0.5076923076923077,0.08354430379746836,0.6275813231198714,1.3535494672921393,465,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,46,0.6388888888888888,218,185,0.8486238532110092,18,11,0.6111111111111112,116,99,0.853448275862069,14,12,0.8571428571428571,0.6111111111111112,0.7890715286430927,0.1318915702309832,7,flow_path|global+mobility|global+v7_guard|global,3,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
395,71,0.811088295687885,0.004960525396492699,0.8476394849785408,33,32,0.5076923076923077,0.08354430379746836,0.6268198337413464,1.3522856797928229,466,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,46,0.6388888888888888,218,185,0.8486238532110092,18,11,0.6111111111111112,116,99,0.853448275862069,14,12,0.8571428571428571,0.6111111111111112,0.7890715286430927,0.1318915702309832,7,flow_path|global+flow_settling_log_ratio|global+mobility|global+v7_guard|global,4,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
394,68,0.8090349075975359,0.004750925731852163,0.8528138528138528,33,30,0.5238095238095238,0.08375634517766498,0.6289679050579057,1.3558940701995579,462,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,46,0.6388888888888888,218,184,0.8440366972477065,18,11,0.6111111111111112,116,99,0.853448275862069,14,12,0.8571428571428571,0.6111111111111112,0.7884162206483352,0.13154047675413275,7,flow_path|global+v7_guard|global,2,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
394,69,0.8090349075975359,0.004820792286732341,0.8509719222462203,33,30,0.5238095238095238,0.08375634517766498,0.6281984868455285,1.3546226870417009,463,25.0,14,12,0.8571428571428571,28,24,0.8571428571428571,72,46,0.6388888888888888,218,184,0.8440366972477065,18,11,0.6111111111111112,116,99,0.853448275862069,14,12,0.8571428571428571,0.6111111111111112,0.7884162206483352,0.13154047675413275,7,flow_path|global+flow_settling_log_ratio|global+v7_guard|global,3,1,adjacent_query+denoising_steps,2,False,True,secondary_with_v7,global
364,68,0.7474332648870636,0.004750925731852163,0.8425925925925926,85,48,0.6390977443609023,0.23351648351648352,0.5360944692922369,1.5717240912874944,432,22.0,14,11,0.7857142857142857,28,24,0.8571428571428571,72,42,0.5833333333333334,218,163,0.7477064220183486,18,11,0.6111111111111112,116,96,0.8275862068965517,14,11,0.7857142857142857,0.5833333333333334,0.7426155002758248,0.1314878213891291,7,conditional_energy|global+expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,secondary_with_v7,global
364,68,0.7474332648870636,0.004750925731852163,0.8425925925925926,85,48,0.6390977443609023,0.23351648351648352,0.5360944692922369,1.5717240912874944,432,22.0,14,11,0.7857142857142857,28,24,0.8571428571428571,72,42,0.5833333333333334,218,163,0.7477064220183486,18,11,0.6111111111111112,116,96,0.8275862068965517,14,11,0.7857142857142857,0.5833333333333334,0.7426155002758248,0.1314878213891291,7,expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global+state_action_alignment|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,secondary_with_v7,global
