cohort,detector,point,is_baseline,alarms,tp,fp,precision,suite_prior,suite_lift,task_prior,task_lift,lp_suite_tp,lp_suite_fp,lp_suite_precision,lp_suite_lift,lp_task_tp,lp_task_fp,lp_task_precision,lp_task_lift,budget
development_main,_control,all_running_at_chunk4,True,14800,487,14313,0.0329054054054054,0.0329054054054054,1.0,0.0329054054054054,1.0,487,14313,0.0329054054054054,1.0,349,14051,0.02423611111111111,1.0,
development_main,_control,all_running_at_chunk8,True,13666,487,13179,0.03563588467730133,0.03563588467730133,1.0,0.035635884677301326,1.0000000000000002,487,13179,0.03563588467730133,1.0,337,12913,0.025433962264150945,1.0,
development_main,_control,all_running_at_chunk12,True,8342,487,7855,0.058379285543035245,0.05837928554303523,1.0000000000000002,0.05837928554303524,1.0000000000000002,487,7855,0.058379285543035245,1.0000000000000002,236,7547,0.030322497751509702,1.0000000000000004,
development_main,_control,all_running_at_chunk16,True,3554,487,3067,0.13702870005627463,0.1370287000562746,1.0000000000000002,0.1370287000562746,1.0000000000000002,361,3065,0.10537069468768243,1.0000000000000002,164,2770,0.05589638718473074,1.0,
development_main,length_leak,length_at_cap,False,487,487,0,1.0,0.050336095629216766,19.86645939657597,0.1404260780287474,7.121184426978616,487,0,1.0,19.86645939657597,349,0,1.0,16.797016002887737,
development_main,survival_prior,alive_at_window_end,True,1237,487,750,0.3936944219886823,0.3936944219886824,0.9999999999999999,0.39369442198868226,1.0000000000000002,0,0,,,71,376,0.15883668903803133,1.0000000000000004,
external_8b,_control,all_running_at_chunk4,True,15600,564,15036,0.036153846153846154,0.036153846153846154,1.0,0.036153846153846154,1.0,564,15036,0.036153846153846154,1.0,413,14787,0.027171052631578946,1.0,
external_8b,_control,all_running_at_chunk8,True,14456,564,13892,0.03901494189263974,0.03901494189263974,1.0,0.03901494189263974,1.0,564,13892,0.03901494189263974,1.0,395,13638,0.02814793700562959,1.0,
external_8b,_control,all_running_at_chunk12,True,9146,564,8582,0.06166630220861579,0.06166630220861579,1.0,0.06166630220861579,1.0,564,8582,0.06166630220861579,1.0,296,8273,0.03454312055082273,1.0,
external_8b,_control,all_running_at_chunk16,True,4793,564,4229,0.11767160442311704,0.11767160442311704,1.0,0.11767160442311704,1.0,424,4223,0.09124166128685174,1.0000000000000002,206,3950,0.04956689124157844,1.0000000000000002,
external_8b,length_leak,length_at_cap,False,568,564,4,0.9929577464788732,0.047754401408450706,20.793010009401094,0.14741637323943665,6.7357358253963495,564,4,0.9929577464788732,20.793010009401094,413,4,0.9904076738609112,15.450804339693226,
external_8b,survival_prior,alive_at_window_end,True,1347,564,783,0.41870824053452116,0.41870824053452116,1.0,0.41870824053452116,1.0,0,0,,,74,384,0.1615720524017467,0.9999999999999997,
legacy_main16x32,_control,all_running_at_chunk4,True,2560,307,2253,0.119921875,0.119921875,1.0,0.119921875,1.0,91,1957,0.04443359375,1.0,91,1957,0.04443359375,1.0,
