quantity,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
query_hard_churn,L2,low,0.5,per_task,354,1015,0.7268993839835729,0.07091455320338154,0.25858290723155586,116,963,0.10750695088044486,0.327683615819209,0.19279158589611278,1.3412561862056327
query_hard_churn,L2,low,0.5,global,467,2343,0.9589322381930184,0.16369733808425907,0.16619217081850535,241,2252,0.09667067789811472,0.5160599571734475,0.1355348268792899,1.226195322966838
query_hard_churn,L2,low,0.6,per_task,337,612,0.6919917864476386,0.04275833158666946,0.35511064278187565,93,570,0.14027149321266968,0.27596439169139464,0.26159685023730267,1.3574729300438584
query_hard_churn,L2,low,0.6,global,455,1590,0.9342915811088296,0.11108782225948438,0.22249388753056235,172,1447,0.10623841877702285,0.378021978021978,0.18526287437805739,1.2009631626276582
query_hard_churn,L2,low,0.7,per_task,314,317,0.6447638603696099,0.022147697897016698,0.4976228209191759,74,282,0.20786516853932585,0.2356687898089172,0.36970351057164563,1.3460051275946445
query_hard_churn,L2,low,0.7,global,435,1113,0.893223819301848,0.07776147558163907,0.2810077519379845,115,946,0.10838831291234684,0.26436781609195403,0.24712478644217875,1.1371087294949815
query_hard_churn,L2,low,0.75,per_task,301,227,0.6180698151950719,0.0158597079578006,0.5700757575757576,65,204,0.241635687732342,0.2159468438538206,0.42490197625817877,1.3416641706306593
query_hard_churn,L2,low,0.75,global,415,899,0.8521560574948666,0.06281003283728079,0.3158295281582953,79,736,0.09693251533742331,0.19036144578313252,0.29256348076833083,1.079524783232901
query_hard_churn,L2,low,0.8,per_task,279,138,0.5728952772073922,0.009641584573464682,0.6690647482014388,48,121,0.28402366863905326,0.17204301075268819,0.5119128826398851,1.3069894720194122
query_hard_churn,L2,low,0.8,global,390,668,0.8008213552361396,0.04667085865995948,0.3686200378071834,57,527,0.0976027397260274,0.14615384615384616,0.34537368296678966,1.0673078349244955
query_hard_churn,L2,low,0.85,per_task,253,70,0.5195071868583162,0.00489065884161252,0.7832817337461301,37,55,0.40217391304347827,0.14624505928853754,0.6108245909968002,1.282334970286475
query_hard_churn,L2,low,0.85,global,332,426,0.6817248459958932,0.029763152378956194,0.43799472295514513,35,331,0.09562841530054644,0.10542168674698796,0.4141790659893478,1.0575008708103317
query_hard_churn,L2,low,0.9,per_task,201,32,0.4127310061601643,0.0022357297561657235,0.8626609442060086,27,23,0.54,0.13432835820895522,0.6735188852543206,1.2808266599388196
query_hard_churn,L2,low,0.9,global,231,180,0.47433264887063653,0.012575979878432194,0.5620437956204379,19,140,0.11949685534591195,0.08225108225108226,0.5150659956496256,1.0912073411322012
query_hard_churn,L2,low,0.925,per_task,182,20,0.3737166324435318,0.0013973310976035773,0.900990099009901,22,11,0.6666666666666666,0.12087912087912088,0.7170310262664479,1.256556642606277
query_hard_churn,L2,low,0.925,global,181,88,0.37166324435318276,0.00614825682945574,0.6728624535315985,15,65,0.1875,0.08287292817679558,0.6010966801262658,1.1193913987185182
query_hard_churn,L2,low,0.95,per_task,155,13,0.3182751540041068,0.0009082652134423251,0.9226190476190477,15,7,0.6818181818181818,0.0967741935483871,0.7371173737782367,1.2516582574766708
query_hard_churn,L2,low,0.95,global,118,29,0.24229979466119098,0.002026130091525187,0.8027210884353742,8,18,0.3076923076923077,0.06779661016949153,0.6847613210717861,1.1722640630153551
query_hard_churn,L2,low,0.96,per_task,135,13,0.27720739219712526,0.0009082652134423251,0.9121621621621622,12,7,0.631578947368421,0.08888888888888889,0.7329659858036174,1.244480889740164
query_hard_churn,L2,low,0.96,global,101,17,0.20739219712525667,0.0011877314329630407,0.8559322033898306,4,9,0.3076923076923077,0.039603960396039604,0.7336462524773312,1.1666824447062487
query_hard_churn,L2,low,0.975,per_task,97,9,0.19917864476386038,0.0006287989939216097,0.9150943396226415,1,3,0.25,0.010309278350515464,0.8034251577465751,1.1389913930368736
query_hard_churn,L2,low,0.975,global,63,6,0.1293634496919918,0.00041919932928107315,0.9130434782608695,0,2,0.0,0.0,0.7531867020738501,1.212240571623031
query_hard_churn,L2,low,0.98,per_task,74,7,0.15195071868583163,0.000489065884161252,0.9135802469135802,1,1,0.5,0.013513513513513514,0.7849792184756986,1.163827303208872
query_hard_churn,L2,low,0.98,global,49,3,0.10061601642710473,0.00020959966464053657,0.9423076923076923,0,0,0.0,0.0,0.796722750475603,1.1827297409860362
query_hard_churn,L2,low,0.99,per_task,33,2,0.06776180698151951,0.00013973310976035772,0.9428571428571428,0,1,0.0,0.0,0.7504059055994943,1.2564628500676585
query_hard_churn,L2,low,0.99,global,19,2,0.039014373716632446,0.00013973310976035772,0.9047619047619048,0,0,0.0,0.0,0.7805223796226909,1.1591748403156255
query_hard_churn,L2,low,0.995,per_task,20,1,0.04106776180698152,6.986655488017886e-05,0.9523809523809523,0,0,0.0,0.0,0.8181217245329089,1.1641066650866607
query_hard_churn,L2,low,0.995,global,8,1,0.01642710472279261,6.986655488017886e-05,0.8888888888888888,0,0,0.0,0.0,0.8467508252405278,1.0497644199359255
query_hard_churn,L2,high,0.5,per_task,26,550,0.053388090349075976,0.03842660518409837,0.04513888888888889,21,546,0.037037037037037035,0.8076923076923077,0.047718907576901205,0.9459329892694107
query_hard_churn,L2,high,0.5,global,28,891,0.057494866529774126,0.06225110039823936,0.030467899891186073,25,882,0.027563395810363836,0.8928571428571429,0.039504228061662656,0.7712566827942654
query_hard_churn,L2,high,0.6,per_task,12,303,0.024640657084188913,0.021169566128694195,0.0380952380952381,8,300,0.025974025974025976,0.6666666666666666,0.05281286163689183,0.721325012781112
query_hard_churn,L2,high,0.6,global,16,516,0.03285420944558522,0.03605114231817229,0.03007518796992481,14,512,0.026615969581749048,0.875,0.03782679411513274,0.7950763122665245
query_hard_churn,L2,high,0.7,per_task,4,140,0.008213552361396304,0.00978131768322504,0.027777777777777776,1,138,0.007194244604316547,0.25,0.05652577133499115,0.49141793418717133
query_hard_churn,L2,high,0.7,global,8,271,0.01642710472279261,0.01893383637252847,0.02867383512544803,5,269,0.01824817518248175,0.625,0.04098241183251455,0.6996619731076646
query_hard_churn,L2,high,0.75,per_task,4,96,0.008213552361396304,0.00670718926849717,0.04,1,94,0.010526315789473684,0.25,0.06741615140849301,0.5933296274601764
query_hard_churn,L2,high,0.75,global,6,179,0.012320328542094456,0.012506113323552016,0.032432432432432434,4,178,0.02197802197802198,0.6666666666666666,0.04410867089518869,0.7352847359535859
query_hard_churn,L2,high,0.8,per_task,3,53,0.006160164271047228,0.0037029274086494797,0.05357142857142857,1,51,0.019230769230769232,0.3333333333333333,0.08547005683385198,0.6267859242865348
query_hard_churn,L2,high,0.8,global,3,104,0.006160164271047228,0.007266121707538601,0.028037383177570093,1,103,0.009615384615384616,0.3333333333333333,0.05444058969861541,0.5150088074502097
query_hard_churn,L2,high,0.85,per_task,3,33,0.006160164271047228,0.002305596311045902,0.08333333333333333,1,32,0.030303030303030304,0.3333333333333333,0.10943821411036318,0.7614646676278514
query_hard_churn,L2,high,0.85,global,1,57,0.002053388090349076,0.0039823936281701946,0.017241379310344827,0,56,0.0,0.0,0.054115340262952095,0.31860428533881824
query_hard_churn,L2,high,0.9,per_task,1,15,0.002053388090349076,0.0010479983232026828,0.0625,0,14,0.0,0.0,0.14395265917412814,0.4341705138242615
