representation,family,direction,width,confirmations,quantile,risk_n,timely_n,tp,fp,recall,timely_fpr,precision,late_recall,persistent_recall,risk_task_macro_recall,risk_tasks_detected,risk_tasks,detected_risk_lead_median,early4_recall,pareto
L2,mobility,low,1,1,0.5,487,14313,366,7019,0.7515400410677618,0.4903933487039754,0.049559918754231554,0.6666666666666666,0.7571115973741794,0.7931727639987245,30,32,16.0,0.7063655030800822,False
L2,mobility,low,1,1,0.6,487,14313,351,5571,0.7207392197125256,0.38922657723747645,0.05927051671732523,0.5666666666666667,0.7308533916849015,0.7783315829610922,30,32,15.0,0.6714579055441479,False
L2,mobility,low,1,1,0.7,487,14313,323,4131,0.6632443531827515,0.2886187382100189,0.07251908396946564,0.5,0.6739606126914661,0.7290238437496139,28,32,13.0,0.6078028747433265,False
L2,mobility,low,1,1,0.75,487,14313,314,3392,0.6447638603696099,0.2369873541535667,0.08472746896923908,0.5,0.6542669584245077,0.7229910027982948,28,32,13.0,0.5831622176591376,False
L2,mobility,low,1,1,0.8,487,14313,298,2689,0.6119096509240246,0.18787116607280094,0.09976565115500502,0.43333333333333335,0.6236323851203501,0.6821200693172438,28,32,11.0,0.5503080082135524,False
L2,mobility,low,1,1,0.85,487,14313,271,1964,0.5564681724845996,0.13721791378467127,0.12125279642058165,0.36666666666666664,0.5689277899343544,0.6531071522596867,28,32,10.0,0.5010266940451745,False
L2,mobility,low,1,1,0.9,487,14313,239,1282,0.49075975359342916,0.0895689233563893,0.1571334648257725,0.3333333333333333,0.5010940919037199,0.5824423547495909,27,32,8.0,0.433264887063655,False
L2,mobility,low,1,1,0.925,487,14313,214,927,0.4394250513347023,0.06476629637392581,0.18755477651183172,0.3333333333333333,0.44638949671772427,0.5285284694636833,26,32,8.0,0.38193018480492813,False
L2,mobility,low,1,1,0.95,487,14313,184,582,0.37782340862423,0.0406623349402641,0.2402088772845953,0.3,0.38293216630196936,0.4886938447909869,25,32,8.0,0.3141683778234086,False
L2,mobility,low,1,1,0.96,487,14313,167,451,0.34291581108829566,0.031509816250960665,0.2702265372168285,0.26666666666666666,0.3479212253829322,0.43752527010112285,24,32,7.0,0.2813141683778234,False
