freeze_level,acceleration_level,periodicity_level,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.95,0.7,0.5,165,408,0.45706371191135736,0.2879581151832461,0.03908420346776511,0.4376731301939058,0.3533190578158459
0.95,0.7,0.55,165,407,0.45706371191135736,0.28846153846153844,0.03898840885142255,0.4376731301939058,0.3536977491961415
0.95,0.7,0.6,165,407,0.45706371191135736,0.28846153846153844,0.03898840885142255,0.4376731301939058,0.3536977491961415
0.95,0.7,0.65,164,407,0.45429362880886426,0.287215411558669,0.03898840885142255,0.43490304709141275,0.35193133047210295
0.95,0.7,0.7,161,407,0.44598337950138506,0.2834507042253521,0.03898840885142255,0.43213296398891965,0.34660925726587727
0.95,0.7,0.75,161,406,0.44598337950138506,0.2839506172839506,0.03889261423507999,0.43213296398891965,0.34698275862068967
0.95,0.7,0.8,161,406,0.44598337950138506,0.2839506172839506,0.03889261423507999,0.43213296398891965,0.34698275862068967
0.95,0.7,0.85,160,406,0.44321329639889195,0.2826855123674912,0.03889261423507999,0.4293628808864266,0.34519956850053934
0.95,0.7,0.9,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.42382271468144045,0.34162162162162163
0.95,0.7,0.95,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.41274238227146814,0.33260869565217394
0.95,0.75,0.5,160,408,0.44321329639889195,0.28169014084507044,0.03908420346776511,0.43213296398891965,0.34445640473627553
0.95,0.75,0.55,160,407,0.44321329639889195,0.2821869488536155,0.03898840885142255,0.43213296398891965,0.3448275862068966
0.95,0.75,0.6,160,407,0.44321329639889195,0.2821869488536155,0.03898840885142255,0.43213296398891965,0.3448275862068966
0.95,0.75,0.65,159,407,0.4404432132963989,0.28091872791519434,0.03898840885142255,0.4293628808864266,0.343042071197411
0.95,0.75,0.7,158,407,0.4376731301939058,0.27964601769911507,0.03898840885142255,0.4265927977839335,0.3412526997840173
0.95,0.75,0.75,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.75,0.8,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.75,0.85,157,406,0.43490304709141275,0.27886323268206037,0.03889261423507999,0.42382271468144045,0.33982683982683975
0.95,0.75,0.9,155,406,0.4293628808864266,0.27629233511586454,0.03889261423507999,0.4182825484764543,0.3362255965292842
0.95,0.75,0.95,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.8,0.5,159,407,0.4404432132963989,0.28091872791519434,0.03898840885142255,0.4293628808864266,0.343042071197411
0.95,0.8,0.55,159,407,0.4404432132963989,0.28091872791519434,0.03898840885142255,0.4293628808864266,0.343042071197411
0.95,0.8,0.6,159,407,0.4404432132963989,0.28091872791519434,0.03898840885142255,0.4293628808864266,0.343042071197411
0.95,0.8,0.65,158,407,0.4376731301939058,0.27964601769911507,0.03898840885142255,0.4265927977839335,0.3412526997840173
0.95,0.8,0.7,158,407,0.4376731301939058,0.27964601769911507,0.03898840885142255,0.4265927977839335,0.3412526997840173
0.95,0.8,0.75,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.8,0.8,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.8,0.85,157,406,0.43490304709141275,0.27886323268206037,0.03889261423507999,0.42382271468144045,0.33982683982683975
0.95,0.8,0.9,155,406,0.4293628808864266,0.27629233511586454,0.03889261423507999,0.4182825484764543,0.3362255965292842
0.95,0.8,0.95,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.85,0.5,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.85,0.55,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.85,0.6,158,406,0.4376731301939058,0.2801418439716312,0.03889261423507999,0.4265927977839335,0.34162162162162163
0.95,0.85,0.65,157,406,0.43490304709141275,0.27886323268206037,0.03889261423507999,0.42382271468144045,0.33982683982683975
0.95,0.85,0.7,157,406,0.43490304709141275,0.27886323268206037,0.03889261423507999,0.42382271468144045,0.33982683982683975
0.95,0.85,0.75,157,406,0.43490304709141275,0.27886323268206037,0.03889261423507999,0.42382271468144045,0.33982683982683975
0.95,0.85,0.8,157,406,0.43490304709141275,0.27886323268206037,0.03889261423507999,0.42382271468144045,0.33982683982683975
0.95,0.85,0.85,156,406,0.43213296398891965,0.2775800711743772,0.03889261423507999,0.42105263157894735,0.3380281690140845
0.95,0.85,0.9,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4155124653739612,0.3344191096634093
0.95,0.85,0.95,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.9,0.5,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4182825484764543,0.3344191096634093
0.95,0.9,0.55,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4182825484764543,0.3344191096634093
0.95,0.9,0.6,154,406,0.4265927977839335,0.275,0.03889261423507999,0.4182825484764543,0.3344191096634093
0.95,0.9,0.65,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.9,0.7,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.9,0.75,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.9,0.8,153,406,0.42382271468144045,0.2737030411449016,0.03889261423507999,0.4155124653739612,0.33260869565217394
0.95,0.9,0.85,152,406,0.42105263157894735,0.2724014336917563,0.03889261423507999,0.41274238227146814,0.3307943416757345
0.95,0.9,0.9,151,406,0.4182825484764543,0.2710951526032316,0.03889261423507999,0.4099722991689751,0.3289760348583878
0.95,0.9,0.95,150,406,0.4155124653739612,0.2697841726618705,0.03889261423507999,0.407202216066482,0.3271537622682661
