cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high
development_main,all,relative_freeze,14800,487,14313,30,457,361,309,52,178,14261,0.6344969199178645,0.0036330608537693005,0.8559556786703602,0.6,0.6367614879649891,10.0,0.5564681724845996,0.45585215605749485,0.3470225872689938,0.31006160164271046,0.5328600105304726,0.7094017094017094,0.0009611888759456215,0.006980349230402985,0.7280246002689779,0.944767887715794
development_main,all,flow_acceleration,14800,487,14313,30,457,383,234,149,253,14164,0.4804928131416838,0.01041011667714665,0.6109660574412533,0.6,0.4726477024070022,11.0,0.41683778234086244,0.3757700205338809,0.28336755646817247,0.23819301848049282,0.31436911890504704,0.617406684960492,0.0022938968441540385,0.021093668649618914,0.42008196721311475,0.8160509936362619
development_main,all,recurrence_loss,14800,487,14313,30,457,2195,305,1890,182,12423,0.6262833675564682,0.13204778872353803,0.13895216400911162,0.36666666666666664,0.6433260393873085,9.0,0.6098562628336756,0.5770020533880903,0.39014373716632444,0.1971252566735113,0.4427406748137245,0.8324876269035534,0.07873232428498776,0.18988070525898712,0.08261933163557193,0.22696041523035423
development_main,all,confirmed_turbulence,14800,487,14313,30,457,162,138,24,349,14289,0.28336755646817247,0.0016767973171242926,0.8518518518518519,0.3,0.28227571115973743,8.0,0.22792607802874743,0.19096509240246407,0.1437371663244353,0.09034907597535935,0.18830772885650934,0.4111916866028707,0.0003458532198934772,0.0033589003524856632,0.7854528850145288,0.9452081549657534
development_main,all,intrinsic_guard_v7,14800,487,14313,30,457,449,382,67,105,14246,0.784394250513347,0.0046810591769719835,0.8507795100222717,0.6333333333333333,0.7943107221006565,9.0,0.6817248459958932,0.5585215605749486,0.42505133470225875,0.351129363449692,0.7028564690026954,0.838855851391329,0.0013870299069559055,0.008941076216451025,0.75,0.9300075757575756
external_8b,all,relative_freeze,15600,564,15036,41,523,402,343,59,221,14977,0.6081560283687943,0.003923915935089119,0.8532338308457711,0.6097560975609756,0.6080305927342257,14.0,0.5319148936170213,0.4645390070921986,0.3617021276595745,0.32978723404255317,0.4877367399499832,0.6864523753122577,0.001451364453049178,0.007268217270113572,0.7220582892557568,0.9280051282051281
external_8b,all,flow_acceleration,15600,564,15036,41,523,494,289,205,275,14831,0.5124113475177305,0.013633945198191008,0.5850202429149798,0.6585365853658537,0.5009560229445507,10.0,0.42907801418439717,0.38652482269503546,0.2907801418439716,0.24822695035460993,0.3605368234250222,0.6626163281808403,0.004807219233796904,0.024505217011398298,0.3993844794015167,0.7727300785634118
external_8b,all,recurrence_loss,15600,564,15036,41,523,2193,341,1852,223,13184,0.6046099290780141,0.12317105613195,0.15549475604195168,0.4146341463414634,0.6195028680688337,9.0,0.5904255319148937,0.5567375886524822,0.38120567375886527,0.20035460992907803,0.4030566363235942,0.8372641509433962,0.07236320547114847,0.1773271135403362,0.09490434335664487,0.24498287266713908
external_8b,all,confirmed_turbulence,15600,564,15036,41,523,198,167,31,397,15005,0.29609929078014185,0.0020617185421654693,0.8434343434343434,0.34146341463414637,0.2925430210325048,6.0,0.22163120567375885,0.18617021276595744,0.12411347517730496,0.09042553191489362,0.17969792921758757,0.472639982886104,0.0008706557324716315,0.0034973285347383565,0.725142543859649,0.9191934876717486
external_8b,all,intrinsic_guard_v7,15600,564,15036,41,523,519,439,80,125,14956,0.7783687943262412,0.005320563979781857,0.8458574181117534,0.7317073170731707,0.7820267686424475,12.0,0.6719858156028369,0.5868794326241135,0.4450354609929078,0.39184397163120566,0.688951873385013,0.8362743302038012,0.0023698984514905082,0.009112314851254074,0.7284801379231733,0.9104477611940298
