cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,total_alarm_rate,before_half_tp,before_half_recall
development_main,all,published_v7,14800,487,14313,30,457,449,382,67,105,14246,0.784394250513347,0.0046810591769719835,0.8507795100222717,0.6333333333333333,0.7943107221006565,9.0,0.6817248459958932,0.5585215605749486,0.42505133470225875,0.351129363449692,0.7048521077951729,0.8375274730944249,0.0014461692810513146,0.008813926332135793,0.7388719310514279,0.9344806763285024,0.030337837837837837,31,0.06365503080082136
development_main,all,constant,14800,487,14313,30,457,426,350,76,137,14237,0.7186858316221766,0.005309858170893593,0.8215962441314554,0.6333333333333333,0.7242888402625821,12.0,0.6016427104722792,0.5154004106776181,0.42299794661190965,0.3613963039014374,0.5914912473717667,0.7995558086560364,0.001380543313462026,0.011062879553460955,0.7684958322066379,0.9104055351477707,0.028783783783783785,21,0.043121149897330596
development_main,all,early_strict,14800,487,14313,30,457,428,351,77,136,14236,0.7207392197125256,0.0053797247257737725,0.8200934579439252,0.6333333333333333,0.7264770240700219,12.0,0.6057494866529775,0.5195071868583162,0.42915811088295686,0.3613963039014374,0.5928932635000903,0.8020625111664615,0.0010334760134266623,0.012140095664517073,0.7704872112779537,0.9293038493038492,0.02891891891891892,20,0.04106776180698152
development_main,all,early_loose,14800,487,14313,30,457,425,346,79,141,14234,0.7104722792607803,0.00551945783553413,0.8141176470588235,0.6333333333333333,0.7155361050328227,12.0,0.6036960985626283,0.5154004106776181,0.4209445585215606,0.3613963039014374,0.5976903613039897,0.7850771917962587,0.0015862589411979966,0.010976147971182399,0.740072202166065,0.9042469906778892,0.028716216216216218,20,0.04106776180698152
development_main,all,time_only,14800,487,14313,30,457,428,222,206,265,14107,0.45585215605749485,0.014392510305316845,0.5186915887850467,0.6,0.44638949671772427,13.0,0.45585215605749485,0.45585215605749485,0.45585215605749485,0.45585215605749485,0.08187220250038586,0.7418329630764515,0.0002781201205645643,0.04241630646168333,0.43161597148624303,0.92,0.02891891891891892,0,0.0
external_8b,all,published_v7,15600,564,15036,41,523,519,439,80,125,14956,0.7783687943262412,0.005320563979781857,0.8458574181117534,0.7317073170731707,0.7820267686424475,12.0,0.6719858156028369,0.5868794326241135,0.4450354609929078,0.39184397163120566,0.6938716527073256,0.8368569806158531,0.0022847108972088507,0.009074094298969366,0.7285108268605491,0.9119350302649613,0.033269230769230766,46,0.08156028368794327
external_8b,all,constant,15600,564,15036,41,523,511,419,92,145,14944,0.7429078014184397,0.006118648576749135,0.8199608610567515,0.7317073170731707,0.7437858508604207,13.0,0.6400709219858156,0.5620567375886525,0.45567375886524825,0.39361702127659576,0.6249778368794326,0.8268937529488274,0.0025621780604971173,0.01040779268320812,0.747248471372985,0.8810457487483332,0.032756410256410254,47,0.08333333333333333
external_8b,all,early_strict,15600,564,15036,41,523,511,420,91,144,14945,0.7446808510638298,0.006052141527001862,0.821917808219178,0.7317073170731707,0.745697896749522,13.0,0.6400709219858156,0.5673758865248227,0.4592198581560284,0.39361702127659576,0.6233130775241201,0.8221825033099094,0.002430522523992477,0.011278003578794882,0.7653784403669724,0.8905336684592003,0.032756410256410254,42,0.07446808510638298
external_8b,all,early_loose,15600,564,15036,41,523,510,415,95,149,14941,0.7358156028368794,0.006318169725990955,0.8137254901960784,0.7317073170731707,0.7361376673040153,13.0,0.6365248226950354,0.5602836879432624,0.45567375886524825,0.3971631205673759,0.6216934355295329,0.8160972326695435,0.0028969477488735933,0.010890174996964621,0.7162120453787121,0.8868414355607301,0.032692307692307694,50,0.08865248226950355
external_8b,all,time_only,15600,564,15036,41,523,487,274,213,290,14823,0.4858156028368794,0.014166001596169193,0.5626283367556468,0.6341463414634146,0.47418738049713194,13.0,0.4858156028368794,0.4858156028368794,0.4858156028368794,0.4858156028368794,0.1276777175219726,0.7352081111052435,0.0006606219826131561,0.04090606352484663,0.4571536014010265,0.9226053010067803,0.031217948717948717,0,0.0
