cohort,detector,gained_tp,lost_tp,gained_fp,removed_fp,common_detected_failures,earlier_common_tp,later_common_tp,unchanged_common_tp
development_main,published_v7,49,17,28,37,333,213,65,55
development_main,constant,0,0,0,0,350,0,0,350
development_main,early_strict,5,4,8,7,346,20,8,318
development_main,early_loose,4,8,14,11,342,13,29,300
development_main,time_only,31,159,164,34,191,42,145,4
external_8b,published_v7,50,30,32,44,389,231,86,72
external_8b,constant,0,0,0,0,419,0,0,419
external_8b,early_strict,3,2,8,9,417,21,27,369
external_8b,early_loose,4,8,17,14,411,26,36,349
external_8b,time_only,37,182,170,49,237,45,185,7
