detector,detector_role,group,budget_chunks,tp,fp,risk_n,timely_n,recall,precision,timely_fpr,median_lead_chunks
freeze,branch: relative freeze,all,0,253,17,307,2253,0.8241042345276873,0.937037037037037,0.007545494895694629,18.0
freeze,branch: relative freeze,all,2,237,17,307,2253,0.7719869706840391,0.9330708661417323,0.007545494895694629,18.0
freeze,branch: relative freeze,all,4,204,15,307,2253,0.6644951140065146,0.9315068493150684,0.006657789613848202,18.0
freeze,branch: relative freeze,all,8,158,13,307,2253,0.5146579804560261,0.9239766081871345,0.005770084332001775,19.0
freeze,branch: relative freeze,all,12,158,13,307,2253,0.5146579804560261,0.9239766081871345,0.005770084332001775,19.0
freeze,branch: relative freeze,libero_goal,0,40,0,42,982,0.9523809523809523,1.0,0.0,5.0
freeze,branch: relative freeze,libero_goal,2,39,0,42,982,0.9285714285714286,1.0,0.0,5.0
freeze,branch: relative freeze,libero_goal,4,34,0,42,982,0.8095238095238095,1.0,0.0,5.0
freeze,branch: relative freeze,libero_goal,8,0,0,42,982,0.0,,0.0,
freeze,branch: relative freeze,libero_goal,12,0,0,42,982,0.0,,0.0,
freeze,branch: relative freeze,libero_long,0,172,14,216,296,0.7962962962962963,0.9247311827956989,0.0472972972972973,19.0
freeze,branch: relative freeze,libero_long,2,169,14,216,296,0.7824074074074074,0.9234972677595629,0.0472972972972973,19.0
freeze,branch: relative freeze,libero_long,4,166,14,216,296,0.7685185185185185,0.9222222222222223,0.0472972972972973,19.0
freeze,branch: relative freeze,libero_long,8,158,13,216,296,0.7314814814814815,0.9239766081871345,0.04391891891891892,19.0
freeze,branch: relative freeze,libero_long,12,158,13,216,296,0.7314814814814815,0.9239766081871345,0.04391891891891892,19.0
freeze,branch: relative freeze,libero_spatial,0,41,3,49,975,0.8367346938775511,0.9318181818181818,0.003076923076923077,2.0
freeze,branch: relative freeze,libero_spatial,2,29,3,49,975,0.5918367346938775,0.90625,0.003076923076923077,2.0
freeze,branch: relative freeze,libero_spatial,4,4,1,49,975,0.08163265306122448,0.8,0.0010256410256410256,4.5
freeze,branch: relative freeze,libero_spatial,8,0,0,49,975,0.0,,0.0,
freeze,branch: relative freeze,libero_spatial,12,0,0,49,975,0.0,,0.0,
acceleration,sub-condition: flow acceleration (only enters via turbulence),all,0,102,33,307,2253,0.3322475570032573,0.7555555555555555,0.014647137150466045,10.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),all,2,91,32,307,2253,0.2964169381107492,0.7398373983739838,0.014203284509542832,12.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),all,4,84,32,307,2253,0.2736156351791531,0.7241379310344828,0.014203284509542832,13.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),all,8,65,32,307,2253,0.21172638436482086,0.6701030927835051,0.014203284509542832,15.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),all,12,49,31,307,2253,0.15960912052117263,0.6125,0.013759431868619618,15.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_goal,0,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_goal,2,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_goal,4,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_goal,8,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_goal,12,0,0,42,982,0.0,,0.0,
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_long,0,94,32,216,296,0.4351851851851852,0.746031746031746,0.10810810810810811,12.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_long,2,89,32,216,296,0.41203703703703703,0.7355371900826446,0.10810810810810811,12.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_long,4,82,32,216,296,0.37962962962962965,0.7192982456140351,0.10810810810810811,13.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_long,8,64,32,216,296,0.2962962962962963,0.6666666666666666,0.10810810810810811,15.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_long,12,49,31,216,296,0.22685185185185186,0.6125,0.10472972972972973,15.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_spatial,0,7,1,49,975,0.14285714285714285,0.875,0.0010256410256410256,0.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_spatial,2,1,0,49,975,0.02040816326530612,1.0,0.0,4.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_spatial,4,1,0,49,975,0.02040816326530612,1.0,0.0,4.0
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_spatial,8,0,0,49,975,0.0,,0.0,
acceleration,sub-condition: flow acceleration (only enters via turbulence),libero_spatial,12,0,0,49,975,0.0,,0.0,
periodicity,sub-condition: recurrence loss (only enters via turbulence),all,0,103,228,307,2253,0.3355048859934853,0.311178247734139,0.10119840213049268,8.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),all,2,103,228,307,2253,0.3355048859934853,0.311178247734139,0.10119840213049268,8.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),all,4,96,228,307,2253,0.3127035830618892,0.2962962962962963,0.10119840213049268,9.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),all,8,57,227,307,2253,0.18566775244299674,0.2007042253521127,0.10075454948956947,10.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),all,12,6,27,307,2253,0.019543973941368076,0.18181818181818182,0.011984021304926764,13.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_goal,0,41,6,42,982,0.9761904761904762,0.8723404255319149,0.006109979633401222,7.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_goal,2,41,6,42,982,0.9761904761904762,0.8723404255319149,0.006109979633401222,7.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_goal,4,39,6,42,982,0.9285714285714286,0.8666666666666667,0.006109979633401222,7.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_goal,8,14,6,42,982,0.3333333333333333,0.7,0.006109979633401222,9.5
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_goal,12,2,6,42,982,0.047619047619047616,0.25,0.006109979633401222,13.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_long,0,16,21,216,296,0.07407407407407407,0.43243243243243246,0.07094594594594594,6.5
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_long,2,16,21,216,296,0.07407407407407407,0.43243243243243246,0.07094594594594594,6.5
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_long,4,12,21,216,296,0.05555555555555555,0.36363636363636365,0.07094594594594594,8.5
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_long,8,7,21,216,296,0.032407407407407406,0.25,0.07094594594594594,12.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_long,12,4,21,216,296,0.018518518518518517,0.16,0.07094594594594594,16.5
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_spatial,0,46,201,49,975,0.9387755102040817,0.1862348178137652,0.20615384615384616,9.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_spatial,2,46,201,49,975,0.9387755102040817,0.1862348178137652,0.20615384615384616,9.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_spatial,4,45,201,49,975,0.9183673469387755,0.18292682926829268,0.20615384615384616,9.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_spatial,8,36,200,49,975,0.7346938775510204,0.15254237288135594,0.20512820512820512,10.0
periodicity,sub-condition: recurrence loss (only enters via turbulence),libero_spatial,12,0,0,49,975,0.0,,0.0,
turbulence,branch: confirmed turbulence (acceleration AND periodicity),all,0,18,9,307,2253,0.05863192182410423,0.6666666666666666,0.0039946737683089215,3.0
turbulence,branch: confirmed turbulence (acceleration AND periodicity),all,2,12,8,307,2253,0.03908794788273615,0.6,0.003550821127385708,4.0
turbulence,branch: confirmed turbulence (acceleration AND periodicity),all,4,7,8,307,2253,0.02280130293159609,0.4666666666666667,0.003550821127385708,6.0
turbulence,branch: confirmed turbulence (acceleration AND periodicity),all,8,2,8,307,2253,0.006514657980456026,0.2,0.003550821127385708,8.5
turbulence,branch: confirmed turbulence (acceleration AND periodicity),all,12,0,8,307,2253,0.0,0.0,0.003550821127385708,
turbulence,branch: confirmed turbulence (acceleration AND periodicity),libero_goal,0,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
turbulence,branch: confirmed turbulence (acceleration AND periodicity),libero_goal,2,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
turbulence,branch: confirmed turbulence (acceleration AND periodicity),libero_goal,4,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
turbulence,branch: confirmed turbulence (acceleration AND periodicity),libero_goal,8,1,0,42,982,0.023809523809523808,1.0,0.0,9.0
