head_name,quantile,threshold,dev_alone_tp,dev_alone_fp,ext_alone_tp,ext_alone_fp,dev_or_tp,dev_or_fp,ext_or_tp,ext_or_fp,ext_gain_tp,ext_gain_fp,ext_or_median_lead
A_frontback_conditional_query_d1,0.9,1.5519285202026367,302,1604,353,2174,401,1622,459,2199,112,2142,19.0
A_frontback_conditional_query_d1,0.95,1.37596595287323,183,651,227,992,353,679,415,1036,68,979,17.0
A_frontback_conditional_query_d1,0.975,1.2020796537399292,95,249,101,392,328,284,378,441,31,384,17.0
A_frontback_conditional_query_d1,0.99,0.9822430610656738,33,51,31,77,309,89,357,130,10,73,17.0
A_frontback_conditional_energy,0.9,1.3840491771697998,150,788,197,1379,372,823,431,1421,84,1364,16.0
A_frontback_conditional_energy,0.95,1.2632328271865845,76,152,99,471,345,189,392,519,45,462,16.5
A_frontback_conditional_energy,0.975,1.1456667184829712,28,18,38,138,316,55,361,190,14,133,17.0
A_frontback_conditional_energy,0.99,1.0003950595855713,8,2,15,8,306,40,348,65,1,8,17.0
A_frontback_flow_path,0.9,0.16829495131969452,261,1402,313,1503,434,1431,511,1535,164,1478,16.0
A_frontback_flow_path,0.95,0.13900740444660187,228,652,275,690,422,681,496,726,149,669,16.0
A_frontback_flow_path,0.975,0.1108940839767456,191,240,239,269,406,272,486,309,139,252,15.0
A_frontback_flow_path,0.99,0.07214609533548355,128,28,152,50,376,62,440,97,93,40,14.5
B_flowpath_front,0.9,0.029511719942092896,476,5765,543,5749,480,5767,548,5751,201,5694,24.0
B_flowpath_front,0.95,0.060826972126960754,428,2537,491,3313,454,2540,514,3318,167,3261,23.0
B_flowpath_front,0.975,0.08997783064842224,366,1315,419,2004,429,1322,484,2014,137,1957,22.0
B_flowpath_front,0.99,0.1246352568268776,239,704,264,1109,382,720,426,1131,79,1074,20.0
B_flowpath_back,0.9,0.04589541628956795,464,7004,540,7752,485,7006,558,7754,211,7697,23.0
B_flowpath_back,0.95,0.09320861101150513,435,3582,507,4435,480,3585,549,4439,202,4382,21.0
B_flowpath_back,0.975,0.13734270632266998,404,1653,471,2714,469,1659,542,2722,195,2665,19.0
B_flowpath_back,0.99,0.19556301832199097,327,595,396,1456,443,609,516,1474,169,1417,18.0
C_curvature_all9,0.9,0.17200301587581635,333,837,388,985,434,854,496,1005,149,948,19.0
C_curvature_all9,0.95,0.2273680418729782,264,306,288,423,405,330,459,457,112,400,18.0
C_curvature_all9,0.975,0.2794798016548157,173,129,202,168,372,153,426,210,79,153,18.0
C_curvature_all9,0.99,0.34602510929107666,91,34,123,42,331,67,388,90,41,33,17.0
C_curvature_s4,0.9,0.17175590991973877,265,959,327,1181,410,976,465,1210,118,1153,19.0
C_curvature_s4,0.95,0.22361180186271667,193,373,248,487,386,401,438,526,91,469,18.0
C_curvature_s4,0.975,0.2694421112537384,123,163,179,186,356,193,413,235,66,178,17.0
C_curvature_s4,0.99,0.32594558596611023,76,47,107,56,334,78,385,107,38,50,17.0
C_curvature_s3,0.9,0.17087972164154053,252,829,307,1091,402,848,460,1122,113,1065,19.0
C_curvature_s3,0.95,0.22668322920799255,159,254,221,342,374,281,439,388,92,331,17.0
C_curvature_s3,0.975,0.2758181393146515,100,86,142,90,352,120,412,142,65,85,17.0
C_curvature_s3,0.99,0.33942413330078125,56,15,72,20,332,52,380,75,33,18,17.0
C_curvature_s2,0.9,0.1935015171766281,315,670,378,1334,428,687,489,1355,142,1298,19.0
C_curvature_s2,0.95,0.2571863830089569,213,248,289,462,390,273,458,499,111,442,18.0
C_curvature_s2,0.975,0.31634777784347534,125,83,179,133,358,115,418,178,71,121,18.0
C_curvature_s2,0.99,0.3950110077857971,59,20,83,31,333,54,383,81,36,24,17.0
