window,quantile,confirm,slope,threshold,dev0_tp,dev0_fp,dev12_tp
6,0.95,1,0.0,2.1040691782392806,477,3143,362
6,0.95,1,-0.0015,2.1040691782392806,478,3296,368
6,0.95,1,-0.003,2.1040691782392806,480,3440,371
6,0.95,2,0.0,2.1040691782392806,451,791,266
6,0.95,2,-0.0015,2.1040691782392806,452,836,273
6,0.95,2,-0.003,2.1040691782392806,458,883,279
6,0.975,1,0.0,2.2919724189157935,464,1663,307
6,0.975,1,-0.0015,2.2919724189157935,468,1752,314
6,0.975,1,-0.003,2.2919724189157935,470,1854,318
6,0.975,2,0.0,2.2919724189157935,438,419,234
6,0.975,2,-0.0015,2.2919724189157935,442,447,239
6,0.975,2,-0.003,2.2919724189157935,444,475,243
6,0.99,1,0.0,2.4882471434998408,444,697,251
6,0.99,1,-0.0015,2.4882471434998408,445,758,253
6,0.99,1,-0.003,2.4882471434998408,449,828,262
6,0.99,2,0.0,2.4882471434998408,427,205,214
6,0.99,2,-0.0015,2.4882471434998408,431,219,217
6,0.99,2,-0.003,2.4882471434998408,434,234,219
8,0.95,1,0.0,2.442637298574168,480,2170,348
8,0.95,1,-0.0015,2.442637298574168,483,2270,348
8,0.95,1,-0.003,2.442637298574168,483,2372,353
8,0.95,2,0.0,2.442637298574168,453,453,262
8,0.95,2,-0.0015,2.442637298574168,453,478,264
8,0.95,2,-0.003,2.442637298574168,457,508,266
8,0.975,1,0.0,2.656704615475031,465,1110,303
8,0.975,1,-0.0015,2.656704615475031,466,1202,304
8,0.975,1,-0.003,2.656704615475031,469,1275,307
8,0.975,2,0.0,2.656704615475031,439,221,238
8,0.975,2,-0.0015,2.656704615475031,440,233,239
8,0.975,2,-0.003,2.656704615475031,444,247,245
8,0.99,1,0.0,2.9158151976760007,450,433,247
8,0.99,1,-0.0015,2.9158151976760007,455,465,254
8,0.99,1,-0.003,2.9158151976760007,459,502,261
8,0.99,2,0.0,2.9158151976760007,427,126,211
8,0.99,2,-0.0015,2.9158151976760007,429,131,213
8,0.99,2,-0.003,2.9158151976760007,431,136,215
10,0.95,1,0.0,2.722432024447781,475,1272,310
10,0.95,1,-0.0015,2.722432024447781,476,1375,317
10,0.95,1,-0.003,2.722432024447781,478,1474,319
10,0.95,2,0.0,2.722432024447781,452,365,238
10,0.95,2,-0.0015,2.722432024447781,454,398,245
10,0.95,2,-0.003,2.722432024447781,455,423,251
10,0.975,1,0.0,2.945542029430125,466,561,269
10,0.975,1,-0.0015,2.945542029430125,466,607,272
10,0.975,1,-0.003,2.945542029430125,468,664,278
10,0.975,2,0.0,2.945542029430125,440,169,222
10,0.975,2,-0.0015,2.945542029430125,445,178,225
10,0.975,2,-0.003,2.945542029430125,446,191,226
10,0.99,1,0.0,3.2550364538733843,444,228,225
10,0.99,1,-0.0015,3.2550364538733843,445,241,225
10,0.99,1,-0.003,3.2550364538733843,447,254,227
10,0.99,2,0.0,3.2550364538733843,427,121,203
10,0.99,2,-0.0015,3.2550364538733843,428,125,204
10,0.99,2,-0.003,3.2550364538733843,429,129,205
