task,denoise,family,conditional_auc,auc_ci_low,auc_ci_high,conditional_pairs,mixed_scenes
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_identity,0.4765625,0.3877551020408163,0.5542168674698795,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_scalar,0.609375,0.42857142857142855,0.75,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,routed_full,0.546875,0.36140963855421687,0.6855345911949685,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,shared_identity,0.609375,0.43859649122807015,0.7796870353850726,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,hidden_identity,0.6171875,0.4010714285714286,0.8,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,routed_identity,0.5703125,0.5,0.63,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,routed_scalar,0.4609375,0.3111111111111111,0.5886683130699085,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,routed_full,0.453125,0.2592483660130719,0.6111111111111112,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,shared_identity,0.5859375,0.41025179856115107,0.7605633802816901,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,hidden_identity,0.6015625,0.3823446794448116,0.7857142857142857,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,routed_identity,0.5859375,0.3554901960784314,0.7090941328175371,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,routed_scalar,0.546875,0.34285714285714286,0.6666666666666666,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,routed_full,0.5,0.3380111997284914,0.6055608974358974,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,shared_identity,0.578125,0.41249555687203787,0.7375051229508196,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2,hidden_identity,0.6171875,0.42857142857142855,0.7592681623931623,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,routed_identity,0.546875,0.4583235981308411,0.6225513318534961,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,routed_scalar,0.5859375,0.3508552631578947,0.7142857142857143,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,routed_full,0.609375,0.375,0.7187536002304147,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,shared_identity,0.5703125,0.4090909090909091,0.7065217391304348,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,hidden_identity,0.609375,0.3923866033755274,0.7720755347593581,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4,routed_identity,0.515625,0.3734589520874194,0.6086956521739131,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4,routed_scalar,0.59375,0.38521071369432025,0.7340425531914894,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4,routed_full,0.640625,0.47619047619047616,0.7619047619047619,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4,shared_identity,0.5625,0.3684210526315789,0.7117117117117117,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4,hidden_identity,0.59375,0.37349397590361444,0.7625,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,5,routed_identity,0.5390625,0.40425531914893614,0.6119423374928635,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,5,routed_scalar,0.6171875,0.3548387096774194,0.7556922117516629,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,5,routed_full,0.59375,0.3548387096774194,0.7215909090909091,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,5,shared_identity,0.6015625,0.3805309734513274,0.7684412955465584,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,5,hidden_identity,0.59375,0.37349397590361444,0.7625,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,6,routed_identity,0.65625,0.578125,0.7247763761467889,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,6,routed_scalar,0.578125,0.4098360655737705,0.7101544622425628,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,6,routed_full,0.6015625,0.4583333333333333,0.7027027027027027,128,7
