method,kind,alpha,rank,calibration_units,threshold,exceedances,success_calibration_episodes,fold
route_ja_k20,episode,0.01,546,550,0.8391428589820862,3,550,libero_goal_20260908
route_ja_k20,episode,0.03,535,550,0.8007083535194397,15,550,libero_goal_20260908
route_ja_k20,episode,0.05,524,550,0.7823214530944824,26,550,libero_goal_20260908
route_ja_k20,episode,0.1,496,550,0.7612916827201843,54,550,libero_goal_20260908
route_ja_k20,episode,0.15,469,550,0.7496725916862488,81,550,libero_goal_20260908
route_ja_k20,episode,0.2,441,550,0.7381309270858765,109,550,libero_goal_20260908
route_ja_k20,task_init,0.01,71,70,inf,0,550,libero_goal_20260908
route_ja_k20,task_init,0.03,69,70,0.8391785621643066,1,550,libero_goal_20260908
route_ja_k20,task_init,0.05,68,70,0.8391428589820862,2,550,libero_goal_20260908
route_ja_k20,task_init,0.1,64,70,0.8018869161605835,6,550,libero_goal_20260908
route_ja_k20,task_init,0.15,61,70,0.793363094329834,9,550,libero_goal_20260908
route_ja_k20,task_init,0.2,57,70,0.7823214530944824,13,550,libero_goal_20260908
route_wj_site_k20,episode,0.01,546,550,0.09699040651321411,4,550,libero_goal_20260908
route_wj_site_k20,episode,0.03,535,550,0.08802244812250137,15,550,libero_goal_20260908
route_wj_site_k20,episode,0.05,524,550,0.08565935492515564,26,550,libero_goal_20260908
route_wj_site_k20,episode,0.1,496,550,0.0822729766368866,54,550,libero_goal_20260908
route_wj_site_k20,episode,0.15,469,550,0.08025962114334106,81,550,libero_goal_20260908
route_wj_site_k20,episode,0.2,441,550,0.0779753029346466,109,550,libero_goal_20260908
route_wj_site_k20,task_init,0.01,71,70,inf,0,550,libero_goal_20260908
route_wj_site_k20,task_init,0.03,69,70,0.09699040651321411,1,550,libero_goal_20260908
route_wj_site_k20,task_init,0.05,68,70,0.09492506086826324,2,550,libero_goal_20260908
route_wj_site_k20,task_init,0.1,64,70,0.08827860653400421,6,550,libero_goal_20260908
route_wj_site_k20,task_init,0.15,61,70,0.08634453266859055,9,550,libero_goal_20260908
route_wj_site_k20,task_init,0.2,57,70,0.0838119387626648,13,550,libero_goal_20260908
route_wj_aligned_k20,episode,0.01,546,550,0.09730309247970581,4,550,libero_goal_20260908
route_wj_aligned_k20,episode,0.03,535,550,0.08845419436693192,15,550,libero_goal_20260908
route_wj_aligned_k20,episode,0.05,524,550,0.08604642748832703,26,550,libero_goal_20260908
route_wj_aligned_k20,episode,0.1,496,550,0.08278020471334457,54,550,libero_goal_20260908
route_wj_aligned_k20,episode,0.15,469,550,0.0806671753525734,81,550,libero_goal_20260908
route_wj_aligned_k20,episode,0.2,441,550,0.07842579483985901,109,550,libero_goal_20260908
route_wj_aligned_k20,task_init,0.01,71,70,inf,0,550,libero_goal_20260908
route_wj_aligned_k20,task_init,0.03,69,70,0.09730309247970581,1,550,libero_goal_20260908
route_wj_aligned_k20,task_init,0.05,68,70,0.09543367475271225,2,550,libero_goal_20260908
route_wj_aligned_k20,task_init,0.1,64,70,0.0886521264910698,6,550,libero_goal_20260908
route_wj_aligned_k20,task_init,0.15,61,70,0.0867706686258316,9,550,libero_goal_20260908
route_wj_aligned_k20,task_init,0.2,57,70,0.08438075333833694,13,550,libero_goal_20260908
route_hellinger_aligned_k20,episode,0.01,546,550,0.05065915733575821,4,550,libero_goal_20260908
route_hellinger_aligned_k20,episode,0.03,535,550,0.04480302706360817,15,550,libero_goal_20260908
route_hellinger_aligned_k20,episode,0.05,524,550,0.043334078043699265,26,550,libero_goal_20260908
route_hellinger_aligned_k20,episode,0.1,496,550,0.04161893203854561,54,550,libero_goal_20260908
route_hellinger_aligned_k20,episode,0.15,469,550,0.04064703360199928,81,550,libero_goal_20260908
route_hellinger_aligned_k20,episode,0.2,441,550,0.039828162640333176,109,550,libero_goal_20260908
route_hellinger_aligned_k20,task_init,0.01,71,70,inf,0,550,libero_goal_20260908
route_hellinger_aligned_k20,task_init,0.03,69,70,0.051017917692661285,1,550,libero_goal_20260908
route_hellinger_aligned_k20,task_init,0.05,68,70,0.047833025455474854,2,550,libero_goal_20260908
route_hellinger_aligned_k20,task_init,0.1,64,70,0.04531044885516167,6,550,libero_goal_20260908
route_hellinger_aligned_k20,task_init,0.15,61,70,0.044290442019701004,9,550,libero_goal_20260908
route_hellinger_aligned_k20,task_init,0.2,57,70,0.04362170770764351,13,550,libero_goal_20260908
