calibration,score_kind,method,window,scope,metric,estimate,lo,hi,tasks,first_query
episode,calibrated_rank,ac_reference,q8_13,all,auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36,8
episode,calibrated_rank,ac_reference,q8_13,all,control_auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36,8
episode,calibrated_rank,ac_reference,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,calibrated_rank,ac_reference,q8_13,all,delta_control,0.0,0.0,0.0,36,8
episode,calibrated_rank,ac_reference,q8_13,all,delta_old_ac,0.01246364611757177,-0.0011114583442766307,0.029689146276223502,36,8
episode,calibrated_rank,ac_reference,q8_13,excluding_S05,auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35,8
episode,calibrated_rank,ac_reference,q8_13,excluding_S05,control_auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35,8
episode,calibrated_rank,ac_reference,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,calibrated_rank,ac_reference,q8_13,excluding_S05,delta_control,0.0,0.0,0.0,35,8
episode,calibrated_rank,ac_reference,q8_13,excluding_S05,delta_old_ac,0.012937784753936664,-0.0011212946797156946,0.031260815222299516,35,8
episode,calibrated_rank,relative_low,q8_13,all,auc,0.6811629576380717,0.6358558476737293,0.7249282049497552,36,8
episode,calibrated_rank,relative_low,q8_13,all,control_auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36,8
episode,calibrated_rank,relative_low,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,calibrated_rank,relative_low,q8_13,all,delta_control,-0.05605345568698187,-0.09966648260914454,-0.013722811656489312,36,8
episode,calibrated_rank,relative_low,q8_13,all,delta_old_ac,-0.04358980956941009,-0.08862013184884572,0.0018160593799103706,36,8
episode,calibrated_rank,relative_low,q8_13,excluding_S05,auc,0.679966529264282,0.6340020085871023,0.722895972986296,35,8
episode,calibrated_rank,relative_low,q8_13,excluding_S05,control_auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35,8
episode,calibrated_rank,relative_low,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,calibrated_rank,relative_low,q8_13,excluding_S05,delta_control,-0.058999094467405096,-0.10434125524115746,-0.01615169350373822,35,8
episode,calibrated_rank,relative_low,q8_13,excluding_S05,delta_old_ac,-0.046061309713468425,-0.09310374525619389,-0.0013183748899273302,35,8
episode,calibrated_rank,relative_low_soft,q8_13,all,auc,0.6813900062325157,0.635405986200464,0.7248996325952968,36,8
episode,calibrated_rank,relative_low_soft,q8_13,all,control_auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36,8
episode,calibrated_rank,relative_low_soft,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,calibrated_rank,relative_low_soft,q8_13,all,delta_control,-0.055826407092538055,-0.1020600416874569,-0.014362421572829753,36,8
episode,calibrated_rank,relative_low_soft,q8_13,all,delta_old_ac,-0.043362760974966275,-0.09037182355249777,0.0012358310368844997,36,8
episode,calibrated_rank,relative_low_soft,q8_13,excluding_S05,auc,0.6794925829772758,0.6320827009138213,0.724723984786539,35,8
episode,calibrated_rank,relative_low_soft,q8_13,excluding_S05,control_auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35,8
episode,calibrated_rank,relative_low_soft,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,calibrated_rank,relative_low_soft,q8_13,excluding_S05,delta_control,-0.05947304075441128,-0.10672554261935405,-0.01687018429173697,35,8
episode,calibrated_rank,relative_low_soft,q8_13,excluding_S05,delta_old_ac,-0.046535256000474604,-0.09488228224179661,-0.001395228334305817,35,8
episode,calibrated_rank,relative_magnitude,q8_13,all,auc,0.6775233529613776,0.6404758115338457,0.7137724602056572,36,8
episode,calibrated_rank,relative_magnitude,q8_13,all,control_auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36,8
episode,calibrated_rank,relative_magnitude,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,calibrated_rank,relative_magnitude,q8_13,all,delta_control,-0.05969306036367609,-0.10945751701634941,-0.01007293198042715,36,8
episode,calibrated_rank,relative_magnitude,q8_13,all,delta_old_ac,-0.04722941424610433,-0.09988351091514765,0.005347042903410069,36,8
episode,calibrated_rank,relative_magnitude,q8_13,excluding_S05,auc,0.6762862142210091,0.6390050077776962,0.7140516661934815,35,8
episode,calibrated_rank,relative_magnitude,q8_13,excluding_S05,control_auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35,8
episode,calibrated_rank,relative_magnitude,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,calibrated_rank,relative_magnitude,q8_13,excluding_S05,delta_control,-0.06267940951067807,-0.11439225152280315,-0.011195444125596,35,8
episode,calibrated_rank,relative_magnitude,q8_13,excluding_S05,delta_old_ac,-0.049741624756741425,-0.10434490696512841,0.004255278208969085,35,8
episode,raw_score,ac_reference,q8_13,all,auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
episode,raw_score,ac_reference,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
episode,raw_score,ac_reference,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,raw_score,ac_reference,q8_13,all,delta_control,0.0,0.0,0.0,36,8
episode,raw_score,ac_reference,q8_13,all,delta_old_ac,-0.007060297221012864,-0.01612870304411103,0.0020184897954804008,36,8
episode,raw_score,ac_reference,q8_13,excluding_S05,auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
episode,raw_score,ac_reference,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
episode,raw_score,ac_reference,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,raw_score,ac_reference,q8_13,excluding_S05,delta_control,0.0,0.0,0.0,35,8
episode,raw_score,ac_reference,q8_13,excluding_S05,delta_old_ac,-0.007353726666967256,-0.016783268884626553,0.0021377729584401654,35,8
episode,raw_score,relative_low,q8_13,all,auc,0.6579115082111956,0.6076102969234866,0.7060895741079904,36,8
episode,raw_score,relative_low,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
episode,raw_score,relative_low,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,raw_score,relative_low,q8_13,all,delta_control,-0.0597809617752734,-0.10518860199949129,-0.01634323177554724,36,8
episode,raw_score,relative_low,q8_13,all,delta_old_ac,-0.06684125899628628,-0.11187949442771741,-0.024144589644037925,36,8
episode,raw_score,relative_low,q8_13,excluding_S05,auc,0.6561301633871973,0.6039639990703769,0.7040770893851253,35,8
episode,raw_score,relative_low,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
episode,raw_score,relative_low,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,raw_score,relative_low,q8_13,excluding_S05,delta_control,-0.06254394892358585,-0.11089504709081438,-0.016872587329102007,35,8
episode,raw_score,relative_low,q8_13,excluding_S05,delta_old_ac,-0.06989767559055314,-0.1181950503252503,-0.027120704284967306,35,8
episode,raw_score,relative_low_soft,q8_13,all,auc,0.6621105831358515,0.6107737137791678,0.7088461172301734,36,8
episode,raw_score,relative_low_soft,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
episode,raw_score,relative_low_soft,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,raw_score,relative_low_soft,q8_13,all,delta_control,-0.0555818868506176,-0.0992133542242981,-0.01569053047571554,36,8
episode,raw_score,relative_low_soft,q8_13,all,delta_old_ac,-0.06264218407163046,-0.10532904616756104,-0.02401827047764221,36,8
episode,raw_score,relative_low_soft,q8_13,excluding_S05,auc,0.6597204030720206,0.6073686959391899,0.7083133844263109,35,8
episode,raw_score,relative_low_soft,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
episode,raw_score,relative_low_soft,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,raw_score,relative_low_soft,q8_13,excluding_S05,delta_control,-0.058953709238762655,-0.10383957052910901,-0.017076054962028256,35,8
episode,raw_score,relative_low_soft,q8_13,excluding_S05,delta_old_ac,-0.0663074359057299,-0.11046393190485933,-0.02669649901026572,35,8
episode,raw_score,relative_magnitude,q8_13,all,auc,0.6475741765717029,0.5987827904367077,0.6943417694414729,36,8
episode,raw_score,relative_magnitude,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
episode,raw_score,relative_magnitude,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36,8
episode,raw_score,relative_magnitude,q8_13,all,delta_control,-0.07011829341476605,-0.12019590309863236,-0.021822099637097823,36,8
episode,raw_score,relative_magnitude,q8_13,all,delta_old_ac,-0.07717859063577892,-0.12829605571351546,-0.030252915056380517,36,8
episode,raw_score,relative_magnitude,q8_13,excluding_S05,auc,0.6455078060177034,0.5957010693898751,0.693481600341252,35,8
episode,raw_score,relative_magnitude,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
episode,raw_score,relative_magnitude,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35,8
episode,raw_score,relative_magnitude,q8_13,excluding_S05,delta_control,-0.07316630629307982,-0.12661159459771076,-0.02405594856051721,35,8
episode,raw_score,relative_magnitude,q8_13,excluding_S05,delta_old_ac,-0.0805200329600471,-0.13464281284238588,-0.0328556815144265,35,8
task_init,calibrated_rank,ac_reference,q8_13,all,auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
task_init,calibrated_rank,ac_reference,q8_13,all,control_auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
task_init,calibrated_rank,ac_reference,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,calibrated_rank,ac_reference,q8_13,all,delta_control,0.0,0.0,0.0,36,8
task_init,calibrated_rank,ac_reference,q8_13,all,delta_old_ac,0.005518247576146767,-0.004110272052138444,0.01589870343121242,36,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,control_auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,delta_control,0.0,0.0,0.0,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,delta_old_ac,0.005924373252146099,-0.0038184720633207864,0.016412076103000505,35,8
task_init,calibrated_rank,relative_low,q8_13,all,auc,0.6730342708649564,0.6253352658091405,0.720100337148442,36,8
task_init,calibrated_rank,relative_low,q8_13,all,control_auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
task_init,calibrated_rank,relative_low,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,calibrated_rank,relative_low,q8_13,all,delta_control,-0.05336119311267621,-0.09397495990205627,-0.014712119034315943,36,8
task_init,calibrated_rank,relative_low,q8_13,all,delta_old_ac,-0.047842945536529444,-0.09001818971186938,-0.007679390994733113,36,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,auc,0.6717266837764928,0.6238875323389224,0.7174727978266107,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,control_auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,delta_control,-0.05604632118175469,-0.09776503572702898,-0.017827468790915305,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,delta_old_ac,-0.050121947929608585,-0.09388989617836102,-0.010156402559329553,35,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,auc,0.6793130708964746,0.6350385311093422,0.7228663424931132,36,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,control_auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
