setting,method,scope,events,detected,median_delay_detected,within2_fraction_all_events,recall_before0,recall_before2,recall_before4
cohort_transfer,entropy_high__current,all_observed_releases_in_failures,397,0,,0.0,0.0,0.0,0.0
cohort_transfer,entropy_high__current,drop_related_primary_reason,208,0,,0.0,0.0,0.0,0.0
cohort_transfer,entropy_high__mean,all_observed_releases_in_failures,397,0,,0.0,0.0,0.0,0.0
cohort_transfer,entropy_high__mean,drop_related_primary_reason,208,0,,0.0,0.0,0.0,0.0
cohort_transfer,entropy_low__current,all_observed_releases_in_failures,397,39,2.0,0.030226700251889168,0.037783375314861464,0.022670025188916875,0.015113350125944584
cohort_transfer,entropy_low__current,drop_related_primary_reason,208,38,2.5,0.057692307692307696,0.0673076923076923,0.038461538461538464,0.02403846153846154
cohort_transfer,entropy_low__mean,all_observed_releases_in_failures,397,23,0.0,0.010075566750629723,0.030226700251889168,0.022670025188916875,0.022670025188916875
cohort_transfer,entropy_low__mean,drop_related_primary_reason,208,23,0.0,0.019230769230769232,0.057692307692307696,0.04326923076923077,0.04326923076923077
cohort_transfer,margin_low__current,all_observed_releases_in_failures,397,13,-7.0,0.0,0.020151133501259445,0.020151133501259445,0.020151133501259445
cohort_transfer,margin_low__current,drop_related_primary_reason,208,5,-10.0,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232
cohort_transfer,margin_low__mean,all_observed_releases_in_failures,397,8,-16.5,0.0,0.020151133501259445,0.020151133501259445,0.020151133501259445
cohort_transfer,margin_low__mean,drop_related_primary_reason,208,7,-16.0,0.0,0.03365384615384615,0.03365384615384615,0.03365384615384615
cohort_transfer,token_collapse__current,all_observed_releases_in_failures,397,21,4.0,0.005037783375314861,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307
cohort_transfer,token_collapse__current,drop_related_primary_reason,208,20,4.0,0.009615384615384616,0.0,0.0,0.0
cohort_transfer,token_collapse__mean,all_observed_releases_in_failures,397,44,-12.0,0.0,0.11083123425692695,0.11083123425692695,0.11083123425692695
cohort_transfer,token_collapse__mean,drop_related_primary_reason,208,19,-11.0,0.0,0.09134615384615384,0.09134615384615384,0.09134615384615384
cohort_transfer,flow_path_high__current,all_observed_releases_in_failures,397,68,2.0,0.07556675062972293,0.06297229219143577,0.012594458438287154,0.007556675062972292
cohort_transfer,flow_path_high__current,drop_related_primary_reason,208,68,2.0,0.14423076923076922,0.1201923076923077,0.02403846153846154,0.014423076923076924
