setting,method,checkpoint,eligible_episodes,scored_episodes,overall_coverage,eligible_score_coverage,scored_failures,scored_successes,failure_coverage,auc,ap,task_macro_auc,task_macro_ap,macro_tasks
cohort_transfer,entropy_high__current,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5559956341187768,0.04304993150138409,0.46803025096048156,0.04753835361376385,36
cohort_transfer,entropy_high__current,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5658051291557472,0.04317880471026972,0.48780655544272794,0.04697140128164877,36
cohort_transfer,entropy_high__current,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5496537798957425,0.04422949939163007,0.3478093732986662,0.04463685277113575,36
cohort_transfer,entropy_high__current,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.428243176434739,0.04217438029930142,0.41762346267768174,0.16756181153518457,32
cohort_transfer,entropy_high__current,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.43770561085688225,0.10293139073120258,0.44167962815161316,0.364667338043293,29
cohort_transfer,entropy_high__current,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.45545369773045624,0.24717446978624924,0.3803729363347784,0.4531552261700177,25
cohort_transfer,entropy_high__current,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.5765071629507621,0.05342036808888462,0.4308935297109364,0.14905112752390784,36
cohort_transfer,entropy_high__current,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.4473718159160332,0.029889832815963597,0.31336158605991227,0.04728349599160882,36
cohort_transfer,entropy_high__current,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.44935287697233495,0.02995613014696274,0.3647763179600098,0.09075115070868428,36
cohort_transfer,entropy_high__mean,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5559956341187768,0.04304993150138409,0.46803025096048156,0.04753835361376385,36
cohort_transfer,entropy_high__mean,q3,15600,15600,1.0,1.0,564,15036,1.0,0.535546131365102,0.03714747279252602,0.42324901149141936,0.0460601588720639,36
cohort_transfer,entropy_high__mean,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5737007433979814,0.04548876058306119,0.36139062662129323,0.07717980279905565,36
cohort_transfer,entropy_high__mean,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5637596218144899,0.07267540530561592,0.32987620848556687,0.16289762042900235,32
cohort_transfer,entropy_high__mean,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.504001548961331,0.13012710475992403,0.37087503703896185,0.347862715167177,29
cohort_transfer,entropy_high__mean,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.5393168357821415,0.23430804845716294,0.3432512166133368,0.44590760791914585,25
cohort_transfer,entropy_high__mean,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.531929928455395,0.03818540510655366,0.2829861094445367,0.12686051030522108,36
cohort_transfer,entropy_high__mean,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5520000816008482,0.03988942533708931,0.37209065965485,0.04564785167072069,36
