method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.7235852479934692,515,491,24
euclidean,1,task_init,2.667430877685547,68,66,2
euclidean,2,episode,1.799415111541748,515,491,24
euclidean,2,task_init,2.9237396717071533,68,66,2
euclidean,3,episode,1.850653052330017,515,491,24
euclidean,3,task_init,3.1913013458251953,68,66,2
euclidean,4,episode,1.8985594511032104,515,491,24
euclidean,4,task_init,3.253664016723633,68,66,2
euclidean,5,episode,1.9311155080795288,515,491,24
euclidean,5,task_init,3.2926039695739746,68,66,2
euclidean,6,episode,1.9692871570587158,515,491,24
euclidean,6,task_init,3.3523166179656982,68,66,2
euclidean,7,episode,2.0076823234558105,515,491,24
euclidean,7,task_init,3.407292604446411,68,66,2
euclidean,8,episode,2.0732321739196777,515,491,24
euclidean,8,task_init,3.4647457599639893,68,66,2
euclidean,9,episode,2.116704225540161,515,491,24
euclidean,9,task_init,3.5247275829315186,68,66,2
euclidean,10,episode,2.139631509780884,515,491,24
euclidean,10,task_init,3.574434757232666,68,66,2
euclidean,20,episode,2.3335700035095215,515,491,24
euclidean,20,task_init,3.875976085662842,68,66,2
cosine,1,episode,0.23988792300224304,515,491,24
cosine,1,task_init,0.29254934191703796,68,66,2
cosine,2,episode,0.2521437704563141,515,491,24
cosine,2,task_init,0.30409204959869385,68,66,2
cosine,3,episode,0.26216405630111694,515,491,24
cosine,3,task_init,0.306155800819397,68,66,2
cosine,4,episode,0.27266281843185425,515,491,24
cosine,4,task_init,0.3163905143737793,68,66,2
cosine,5,episode,0.28063371777534485,515,491,24
cosine,5,task_init,0.32628992199897766,68,66,2
cosine,6,episode,0.2882763147354126,515,491,24
cosine,6,task_init,0.3315677344799042,68,66,2
cosine,7,episode,0.2922670543193817,515,491,24
cosine,7,task_init,0.33677801489830017,68,66,2
cosine,8,episode,0.2991769015789032,515,491,24
cosine,8,task_init,0.3408186733722687,68,66,2
cosine,9,episode,0.3059203624725342,515,491,24
cosine,9,task_init,0.3453232944011688,68,66,2
cosine,10,episode,0.30912232398986816,515,491,24
cosine,10,task_init,0.3493537902832031,68,66,2
cosine,20,episode,0.34071505069732666,515,491,24
cosine,20,task_init,0.38027602434158325,68,66,2
cosine_neighbors_euclidean_score,1,episode,5.254745960235596,515,491,24
cosine_neighbors_euclidean_score,1,task_init,7.200985431671143,68,66,2
cosine_neighbors_euclidean_score,2,episode,4.866522789001465,515,491,24
cosine_neighbors_euclidean_score,2,task_init,6.684910774230957,68,66,2
cosine_neighbors_euclidean_score,3,episode,4.628996849060059,515,491,24
cosine_neighbors_euclidean_score,3,task_init,6.727137088775635,68,66,2
cosine_neighbors_euclidean_score,4,episode,4.406538486480713,515,491,24
cosine_neighbors_euclidean_score,4,task_init,6.311358451843262,68,66,2
cosine_neighbors_euclidean_score,5,episode,4.344214916229248,515,491,24
cosine_neighbors_euclidean_score,5,task_init,6.474106311798096,68,66,2
cosine_neighbors_euclidean_score,6,episode,4.21164083480835,515,491,24
cosine_neighbors_euclidean_score,6,task_init,6.503512859344482,68,66,2
cosine_neighbors_euclidean_score,7,episode,4.210337162017822,515,491,24
cosine_neighbors_euclidean_score,7,task_init,6.5924882888793945,68,66,2
cosine_neighbors_euclidean_score,8,episode,4.263607501983643,515,491,24
cosine_neighbors_euclidean_score,8,task_init,6.474578380584717,68,66,2
cosine_neighbors_euclidean_score,9,episode,4.281144618988037,515,491,24
cosine_neighbors_euclidean_score,9,task_init,6.428180694580078,68,66,2
cosine_neighbors_euclidean_score,10,episode,4.216744422912598,515,491,24
cosine_neighbors_euclidean_score,10,task_init,6.347506046295166,68,66,2
cosine_neighbors_euclidean_score,20,episode,4.427421569824219,515,491,24
cosine_neighbors_euclidean_score,20,task_init,5.741111755371094,68,66,2
euclidean_neighbors_cosine_score,1,episode,0.3543741703033447,515,491,24
euclidean_neighbors_cosine_score,1,task_init,0.4792589843273163,68,66,2
euclidean_neighbors_cosine_score,2,episode,0.34812048077583313,515,491,24
euclidean_neighbors_cosine_score,2,task_init,0.4489014744758606,68,66,2
euclidean_neighbors_cosine_score,3,episode,0.3687404990196228,515,491,24
euclidean_neighbors_cosine_score,3,task_init,0.4875961244106293,68,66,2
euclidean_neighbors_cosine_score,4,episode,0.37442201375961304,515,491,24
euclidean_neighbors_cosine_score,4,task_init,0.5201402902603149,68,66,2
euclidean_neighbors_cosine_score,5,episode,0.37770193815231323,515,491,24
euclidean_neighbors_cosine_score,5,task_init,0.5064794421195984,68,66,2
euclidean_neighbors_cosine_score,6,episode,0.3953467309474945,515,491,24
euclidean_neighbors_cosine_score,6,task_init,0.5310757756233215,68,66,2
euclidean_neighbors_cosine_score,7,episode,0.39854806661605835,515,491,24
euclidean_neighbors_cosine_score,7,task_init,0.5290956497192383,68,66,2
euclidean_neighbors_cosine_score,8,episode,0.4056186378002167,515,491,24
euclidean_neighbors_cosine_score,8,task_init,0.5228496789932251,68,66,2
euclidean_neighbors_cosine_score,9,episode,0.4112185835838318,515,491,24
euclidean_neighbors_cosine_score,9,task_init,0.5364689230918884,68,66,2
euclidean_neighbors_cosine_score,10,episode,0.41656696796417236,515,491,24
euclidean_neighbors_cosine_score,10,task_init,0.5449244976043701,68,66,2
euclidean_neighbors_cosine_score,20,episode,0.473927766084671,515,491,24
euclidean_neighbors_cosine_score,20,task_init,0.5538575649261475,68,66,2
cosine_without_center,1,episode,0.21778583526611328,515,491,24
cosine_without_center,1,task_init,0.2951450049877167,68,66,2
cosine_without_center,2,episode,0.22248511016368866,515,491,24
cosine_without_center,2,task_init,0.29755374789237976,68,66,2
cosine_without_center,3,episode,0.23257574439048767,515,491,24
cosine_without_center,3,task_init,0.30302831530570984,68,66,2
cosine_without_center,4,episode,0.2410351037979126,515,491,24
cosine_without_center,4,task_init,0.30550146102905273,68,66,2
cosine_without_center,5,episode,0.25062674283981323,515,491,24
cosine_without_center,5,task_init,0.30942949652671814,68,66,2
cosine_without_center,6,episode,0.25606149435043335,515,491,24
cosine_without_center,6,task_init,0.3174479603767395,68,66,2
cosine_without_center,7,episode,0.2603304386138916,515,491,24
cosine_without_center,7,task_init,0.3241025507450104,68,66,2
cosine_without_center,8,episode,0.26645734906196594,515,491,24
cosine_without_center,8,task_init,0.3293275833129883,68,66,2
cosine_without_center,9,episode,0.2721855044364929,515,491,24
cosine_without_center,9,task_init,0.3335460126399994,68,66,2
cosine_without_center,10,episode,0.2764488458633423,515,491,24
cosine_without_center,10,task_init,0.33950287103652954,68,66,2
cosine_without_center,20,episode,0.31186920404434204,515,491,24
cosine_without_center,20,task_init,0.37768545746803284,68,66,2
