method,k,calibration,threshold,units,rank,exceedances
euclidean,1,episode,1.2062362432479858,557,531,26
euclidean,1,task_init,1.888258695602417,70,68,2
euclidean,2,episode,1.2455137968063354,557,531,26
euclidean,2,task_init,2.0564610958099365,70,68,2
euclidean,3,episode,1.2871527671813965,557,531,26
euclidean,3,task_init,2.1352837085723877,70,68,2
euclidean,4,episode,1.3237948417663574,557,531,26
euclidean,4,task_init,2.261077880859375,70,68,2
euclidean,5,episode,1.3577771186828613,557,531,26
euclidean,5,task_init,2.354783535003662,70,68,2
euclidean,6,episode,1.385069489479065,557,531,26
euclidean,6,task_init,2.4185967445373535,70,68,2
euclidean,7,episode,1.398590087890625,557,531,26
euclidean,7,task_init,2.4545462131500244,70,68,2
euclidean,8,episode,1.413230299949646,557,531,26
euclidean,8,task_init,2.4854695796966553,70,68,2
euclidean,9,episode,1.4300892353057861,557,531,26
euclidean,9,task_init,2.5189709663391113,70,68,2
euclidean,10,episode,1.444332480430603,557,531,26
euclidean,10,task_init,2.548034429550171,70,68,2
euclidean,20,episode,1.575398564338684,557,531,26
euclidean,20,task_init,2.761309862136841,70,68,2
cosine,1,episode,0.21625323593616486,557,531,26
cosine,1,task_init,0.28770601749420166,70,68,2
cosine,2,episode,0.22572746872901917,557,531,26
cosine,2,task_init,0.28843608498573303,70,68,2
cosine,3,episode,0.23892822861671448,557,531,26
cosine,3,task_init,0.30086395144462585,70,68,2
cosine,4,episode,0.24480082094669342,557,531,26
cosine,4,task_init,0.31279247999191284,70,68,2
cosine,5,episode,0.258480042219162,557,531,26
cosine,5,task_init,0.3202730417251587,70,68,2
cosine,6,episode,0.2663480043411255,557,531,26
cosine,6,task_init,0.3257100582122803,70,68,2
cosine,7,episode,0.2714051902294159,557,531,26
cosine,7,task_init,0.33112502098083496,70,68,2
cosine,8,episode,0.27661973237991333,557,531,26
cosine,8,task_init,0.33829641342163086,70,68,2
cosine,9,episode,0.2813609540462494,557,531,26
cosine,9,task_init,0.3439789414405823,70,68,2
cosine,10,episode,0.28506961464881897,557,531,26
cosine,10,task_init,0.34937506914138794,70,68,2
cosine,20,episode,0.3197823464870453,557,531,26
cosine,20,task_init,0.40082550048828125,70,68,2
cosine_neighbors_euclidean_score,1,episode,3.6410324573516846,557,531,26
cosine_neighbors_euclidean_score,1,task_init,5.075396537780762,70,68,2
cosine_neighbors_euclidean_score,2,episode,3.1021907329559326,557,531,26
cosine_neighbors_euclidean_score,2,task_init,4.917975902557373,70,68,2
cosine_neighbors_euclidean_score,3,episode,3.0824882984161377,557,531,26
cosine_neighbors_euclidean_score,3,task_init,4.661070346832275,70,68,2
cosine_neighbors_euclidean_score,4,episode,2.946927309036255,557,531,26
cosine_neighbors_euclidean_score,4,task_init,4.29689884185791,70,68,2
cosine_neighbors_euclidean_score,5,episode,2.991450548171997,557,531,26
cosine_neighbors_euclidean_score,5,task_init,4.314425945281982,70,68,2
cosine_neighbors_euclidean_score,6,episode,2.845266342163086,557,531,26
cosine_neighbors_euclidean_score,6,task_init,4.158993721008301,70,68,2
cosine_neighbors_euclidean_score,7,episode,2.869215250015259,557,531,26
cosine_neighbors_euclidean_score,7,task_init,4.004467010498047,70,68,2
cosine_neighbors_euclidean_score,8,episode,2.790020704269409,557,531,26
cosine_neighbors_euclidean_score,8,task_init,4.07271146774292,70,68,2
cosine_neighbors_euclidean_score,9,episode,2.794757843017578,557,531,26
cosine_neighbors_euclidean_score,9,task_init,3.841841220855713,70,68,2
cosine_neighbors_euclidean_score,10,episode,2.790797472000122,557,531,26
cosine_neighbors_euclidean_score,10,task_init,3.9118893146514893,70,68,2
cosine_neighbors_euclidean_score,20,episode,2.7932865619659424,557,531,26
cosine_neighbors_euclidean_score,20,task_init,3.3775370121002197,70,68,2
euclidean_neighbors_cosine_score,1,episode,0.2768875062465668,557,531,26
euclidean_neighbors_cosine_score,1,task_init,0.44390591979026794,70,68,2
euclidean_neighbors_cosine_score,2,episode,0.293621301651001,557,531,26
euclidean_neighbors_cosine_score,2,task_init,0.40356653928756714,70,68,2
euclidean_neighbors_cosine_score,3,episode,0.30931851267814636,557,531,26
euclidean_neighbors_cosine_score,3,task_init,0.44964924454689026,70,68,2
euclidean_neighbors_cosine_score,4,episode,0.32504335045814514,557,531,26
euclidean_neighbors_cosine_score,4,task_init,0.45865732431411743,70,68,2
euclidean_neighbors_cosine_score,5,episode,0.3396745026111603,557,531,26
euclidean_neighbors_cosine_score,5,task_init,0.504924476146698,70,68,2
euclidean_neighbors_cosine_score,6,episode,0.3404843807220459,557,531,26
euclidean_neighbors_cosine_score,6,task_init,0.4998912811279297,70,68,2
euclidean_neighbors_cosine_score,7,episode,0.3548901379108429,557,531,26
euclidean_neighbors_cosine_score,7,task_init,0.5083791017532349,70,68,2
euclidean_neighbors_cosine_score,8,episode,0.35731449723243713,557,531,26
euclidean_neighbors_cosine_score,8,task_init,0.5175089240074158,70,68,2
euclidean_neighbors_cosine_score,9,episode,0.3710790276527405,557,531,26
